method,family,n,mae_mean,rmse_mean,corr_mean,mae_sd,rmse_sd,corr_sd
sinBP_M,reference,455,18.35412720159378,21.431800109225772,0.06275276034253999,12.128806845141774,12.189889735579282,0.38178109059337323
sinBP_D_current,reference,444,18.737964902775836,21.527036599758752,0.07403878631776978,12.582157513910023,12.782541806397974,0.36270557020673067
RTBP_scaled_mul_0p25,scaled_mul,439,18.95985530775765,23.05875423082985,-0.154894188469097,12.067547479312326,11.052754910085266,0.4207432015165794
RTBP_scaled_mul_0p1,scaled_mul,439,18.96276896823532,22.913333372648996,-0.15209549680162276,12.064137021438485,11.182835799608261,0.43053721928245614
RTBP_scaled_mul_0p5,scaled_mul,439,18.98132235639872,23.14035314146222,-0.15813078063461639,12.134760167040815,11.07920442806093,0.4190798354542572
RTBP_scaled_mul_1,scaled_mul,439,19.00439699973946,23.18325489386366,-0.16027825959279315,12.19110023975566,11.12541149627516,0.41818611036659753
RTBP_scaled_mul_2,scaled_mul,439,19.020247993822444,23.202218050316766,-0.1614993011927325,12.22589467488377,11.159869914200891,0.4175169549229505
RTBP_scaled_div_2,scaled_div,439,19.165303085815474,22.518837985991297,-0.11526417287330051,12.328882209444574,11.951818446533453,0.4374571150163031
RTBP_scaled_div_1,scaled_div,439,19.250237775221134,22.628686107954486,-0.11988700119443044,12.33735458785361,11.954340276856682,0.4430174051874543
RTBP_plus_AsymxE,interaction,439,19.26353139976514,22.637063145748037,-0.06764437968305423,11.622167330676234,11.183607706701205,0.4400326459333718
RTBP_scaled_div_0p5,scaled_div,439,19.371974190092185,22.74874672808172,-0.12664475738866626,12.336767705999883,11.951081368745838,0.44969375028654374
RTBP_plus_AxE,interaction,439,19.447164812721375,23.47571490385663,-0.14441186938754175,12.142612154271447,11.4050367591294,0.42549228542328965
RTBP_scaled_div_0p25,scaled_div,439,19.51990574732239,22.828744448796506,-0.13559427947112696,12.306139889467653,11.937502262888735,0.45887692373183137
RTBP,reference,446,19.52964387798674,22.237804092704614,-0.035074684519363145,12.603634770445995,12.940566399524437,0.4502573434316734
RTBP_plus_all_interactions,interaction,439,19.577504036164648,23.572265561614238,-0.07653075261929537,11.766492497286817,11.35629092565722,0.37894873327403356
RTBP_plus_RxE,interaction,439,19.591763096189773,23.722911655087366,-0.15465981406198234,12.217792579767686,11.423805997355553,0.42589982275027494
RTBP_scaled_div_0p1,scaled_div,439,19.647879789785463,22.81959314593137,-0.14947971235361485,12.235690401232791,11.90101133363698,0.47780190898074115
RTBP_plus_E_over_A,normalized,439,19.705593757579823,24.438057104183503,-0.2718521497933839,12.161019368374987,11.053123222504382,0.44166811007956824
RTBP_plus_HRxE,interaction,439,19.727974376015617,24.070443067706066,-0.16404410488183002,12.345146179511692,11.519110383468222,0.4249956905619887
RTBP_plus_E,additive,439,19.73390451991117,24.014500993917324,-0.16539238802579903,12.291076514264088,11.494497724230959,0.42230263458475875
RTBP_plus_FxE,interaction,439,19.760891609942103,23.999830214306545,-0.18080971933284412,12.473503186368061,11.618894033426743,0.4281254093840857
