method,family,n,mae_mean,rmse_mean,corr_mean,mae_sd,rmse_sd,corr_sd
sinBP_M,reference,455,21.893376700305062,26.252794352648284,0.006825238512712889,12.162338933819047,12.189588212622485,0.2755794207795478
RTBP_scaled_div_2,scaled_div,439,23.27243687792472,27.675486696521197,-0.08832694525966202,12.380958815153944,11.933632259307293,0.2318168357986739
RTBP_scaled_mul_2,scaled_mul,439,23.280082837536533,27.616156028157178,-0.20762311590962015,12.599972551767209,12.151106705884521,0.2513774412192398
RTBP_scaled_mul_1,scaled_mul,439,23.282330516267457,27.660742235010844,-0.21473137127138217,12.619397919599589,12.145480885609018,0.2542830755176593
RTBP_scaled_mul_0p5,scaled_mul,439,23.296746619598345,27.748295967228284,-0.2280477637538212,12.666814980512616,12.155847437193472,0.2594039476293334
RTBP_scaled_mul_0p25,scaled_mul,439,23.35473174863607,27.92970721927183,-0.25033693894870596,12.776407257935253,12.21767042308532,0.2670914538537593
sinBP_D_current,reference,444,23.405078796261556,27.54777423953696,-0.09213054468790606,12.317095158857843,12.460529794079926,0.05394291723871556
RTBP_scaled_div_1,scaled_div,439,23.48021453344083,27.962287179760136,-0.10012227961895329,12.335060438548421,11.882181017572309,0.24983627715066653
RTBP_scaled_mul_0p1,scaled_mul,439,23.663899879458974,28.42152223429398,-0.28618895435352626,12.965360982735527,12.411334591156233,0.27979511458648526
RTBP_scaled_div_0p5,scaled_div,439,23.776449307420794,28.33284919867534,-0.11612579305529484,12.290843315856128,11.84344539653855,0.2741050485528608
RTBP_plus_E_over_A,normalized,439,23.92971083401158,28.35712286625672,-0.15430868068120335,13.184992401026236,13.087677116157767,0.3606849592801195
RTBP_plus_E,additive,439,24.11333052815023,28.746866794847012,-0.16341561006483613,12.385476414419117,11.86663134955568,0.23517183247370257
RTBP_scaled_div_0p25,scaled_div,439,24.1452690783457,28.7522225135812,-0.13782477554488662,12.292124117114243,11.856952592987383,0.304081015065154
RTBP_plus_RxE,interaction,439,24.151878133821214,28.84374885550911,-0.1646145124404043,12.36764152796046,11.777770190408853,0.2329375403886846
RTBP_plus_AxE,interaction,439,24.168551476303346,28.899754822554087,-0.19952458076238183,12.278641368670527,11.719765474851357,0.2545656422428966
RTBP_plus_HRxE,interaction,439,24.17849522244267,28.874190429204965,-0.17400577953753596,12.524891323289573,11.99815688380582,0.2413863145593277
RTBP,reference,446,24.27373220711487,29.058853466862097,-0.2055539253118431,14.054501320370465,14.840695541569607,0.2596193729988672
RTBP_plus_FxE,interaction,439,24.38571783649208,29.088096513923325,-0.17429785579430374,12.632054931080859,12.063946735552816,0.2542966431146658
RTBP_plus_AsymxE,interaction,439,24.395481433723994,29.58561132426555,-0.25587890589421625,12.573071811953461,12.087386329420827,0.28707449912481375
RTBP_plus_all_interactions,interaction,439,24.504614787945894,29.71536505073866,-0.19620416950089842,12.125951139977131,11.445872396421708,0.25955227989174506
RTBP_scaled_div_0p1,scaled_div,439,24.57929146276637,29.261903635235665,-0.17684231713781137,12.453736925536203,12.020977668314998,0.34315909270531203
