method,family,n,mae_mean,rmse_mean,corr_mean,mae_sd,rmse_sd,corr_sd
sinBP_D_current,reference,444,14.758991989364887,19.119330619742477,0.28453649028411526,1.4494367862871094,1.969060262675854,0.12251781626296235
RTBP_scaled_mul_0p5,scaled_mul,439,14.979134828884009,21.006019488747736,0.2474365835229281,2.013385320760389,5.069653272353177,0.24774846973180942
RTBP_scaled_mul_2,scaled_mul,439,15.029721623222594,21.191955242156503,0.23688367805493898,1.9848845019675911,5.1469272586832435,0.24319451902133746
RTBP_scaled_mul_1,scaled_mul,439,15.034969129450399,21.25877211897901,0.23987642812338486,2.0288438227191614,5.366007131932638,0.24696067650165487
RTBP_scaled_mul_0p25,scaled_mul,439,15.051233447053354,21.159632823205882,0.24943954935335388,2.107771721203365,5.5539373498289395,0.2539812846774254
sinBP_M,reference,455,15.08266899542825,19.517550745675727,0.26258613257045826,1.3498791658062206,1.4900207215645151,0.14675574650396703
RTBP_scaled_div_1,scaled_div,439,15.143805411766158,20.23795461267012,0.2696100551149363,1.62099436500471,3.055162067621761,0.14307522864696864
RTBP_scaled_div_2,scaled_div,439,15.16519117011236,20.184373488654668,0.28376281410118154,1.615489677493505,2.993900737178741,0.14286047033757998
RTBP_plus_HRxE,interaction,439,15.20388863753197,21.68935458326261,0.2222223483902504,2.2258479359142878,5.959844173038133,0.23905225379815007
RTBP_plus_AxE,interaction,439,15.209485775538832,21.521651168058316,0.24807457688634543,2.0605619812714315,6.193315014720756,0.23881717046896928
RTBP_scaled_div_0p5,scaled_div,439,15.222280602157573,20.419688935616392,0.24554558174562074,1.6542398586593063,3.2254495708872346,0.14827330885088372
RTBP_plus_E,additive,439,15.22483190670923,21.63370298895537,0.22447263549394422,2.193688225000174,5.950746895766108,0.23724325832979218
RTBP_scaled_mul_0p1,scaled_mul,439,15.2845304354958,21.542802093647534,0.23994497995955283,2.2881304817199295,6.275813592175364,0.25743148577098796
RTBP_plus_AsymxE,interaction,439,15.289709483294018,21.313396244950866,0.25870239610845785,2.301575394635721,6.3964917812717506,0.26207560942074304
RTBP_plus_RxE,interaction,439,15.327443799261662,21.608391007161316,0.22395410531661378,2.187257015567517,5.932477257810047,0.24200985524121338
RTBP_plus_all_interactions,interaction,439,15.328896512097893,21.805376161072587,0.21969809267795498,1.9575028165320656,6.166894947144312,0.22933893602252822
RTBP_scaled_div_0p25,scaled_div,439,15.457091071035961,20.75319364864198,0.21137125294956535,1.7195293281403474,3.5363404551269872,0.16359367865022068
RTBP_plus_FxE,interaction,439,15.526505393938077,21.916155621207498,0.19693242318357265,2.362110323707902,6.051010856179757,0.24493429817241927
RTBP_scaled_div_0p1,scaled_div,439,15.856701519289526,21.26999018338892,0.16406918761290248,1.9899964113599211,4.295875039625274,0.203871189292114
RTBP,reference,446,15.973371360591795,21.8763733275156,0.16946089924825458,2.6084253801949147,6.302938876244612,0.23743048920628657
RTBP_plus_E_over_A,normalized,439,16.63088512056347,30.385323923089725,0.18432624017525234,3.4453397226058757,23.247954840894764,0.2177654117453513
