method,family,n,mae_mean,rmse_mean,corr_mean,mae_sd,rmse_sd,corr_sd
sinBP_D_current,reference,444,18.890175271124562,24.02655742862185,0.2197746397486143,2.1515741863600977,2.549606572806159,0.19475080357396127
RTBP_scaled_mul_1,scaled_mul,439,19.22069169360592,25.75029712186919,0.13673474536376076,2.2000816709509317,4.027638958094906,0.090162704577919
RTBP_scaled_mul_2,scaled_mul,439,19.265708207970068,25.973104841542703,0.13778223850576202,2.244025774320426,4.439376392853917,0.09896407283872405
RTBP_scaled_mul_0p5,scaled_mul,439,19.29199284982052,26.016732981123955,0.12350248016174155,2.192568569322602,4.3803196941757605,0.09546361488982731
sinBP_M,reference,455,19.355482378420287,24.505668819126946,0.1714762667599289,2.414365809358939,2.430173641191665,0.19848748942622899
RTBP_scaled_mul_0p25,scaled_mul,439,19.425845523664176,26.410869760700784,0.09846605987434756,2.1994016176897477,4.842068509929662,0.10381169974396977
RTBP_scaled_div_1,scaled_div,439,19.48757097484347,25.39448499759866,0.14740362132433463,2.2615326272652236,3.0214640042343475,0.1721996202675708
RTBP_scaled_div_0p5,scaled_div,439,19.570512454165616,25.603837192846356,0.12442597304841858,2.208811740064788,2.9588305220044067,0.17074077830058335
RTBP_scaled_div_2,scaled_div,439,19.574242577678508,25.56011464018051,0.15435110279672706,2.2835533567742714,3.271077091772339,0.17054777895518375
RTBP_scaled_mul_0p1,scaled_mul,439,19.724795050483237,27.053254050329503,0.03800894121842401,2.2777339726151813,5.305628786029454,0.11794868006729603
RTBP_plus_HRxE,interaction,439,19.728194065024418,26.616572512912825,0.09539451592190698,2.1411176593524788,4.275075709404732,0.115496984244298
RTBP_plus_E,additive,439,19.733974948008182,26.52932741763861,0.10236848356093464,2.048865236197563,4.203509731255382,0.1248018892301296
RTBP_plus_AxE,interaction,439,19.789304020170427,26.655876975227592,0.0807672316441115,2.1527925971460613,4.5141404814899015,0.13916678533531424
RTBP_plus_RxE,interaction,439,19.82048625963435,26.57722759485365,0.07926412775021181,2.235517003997107,4.293720226382007,0.13369965113682175
RTBP_scaled_div_0p25,scaled_div,439,19.84495421728645,26.021399237173547,0.08755235050704928,2.0515273765382966,2.901952641745887,0.17976303918832712
RTBP_plus_all_interactions,interaction,439,19.887882993267517,27.1739434309256,0.08554249723078704,2.260887210290828,4.58901580226366,0.12689515692279998
RTBP_plus_FxE,interaction,439,19.98777638429986,26.811611285654198,0.07722689734672403,1.9125132199789037,4.112261333771277,0.15034522287284738
RTBP_plus_AsymxE,interaction,439,20.04656848634201,27.288569064416777,0.003505363016639537,2.9463446662226636,5.242063882526339,0.18045607178805695
RTBP_scaled_div_0p1,scaled_div,439,20.388573207827783,26.794047390307583,0.02307118471750535,1.7848672412486244,3.0268155024477967,0.20581513111608157
RTBP,reference,446,20.48920211596294,27.530684141575268,-0.059793896264373717,2.348721319671495,4.836345880749595,0.14728552705156797
RTBP_plus_E_over_A,normalized,439,20.933058254786147,36.41065534347216,0.1333487431342753,3.2146712851306933,25.26426028581501,0.1907097597784997
