method,family,n,mae_mean,rmse_mean,corr_mean,mae_sd,rmse_sd,corr_sd
sinBP_M,reference,455,2.745889421587507,3.4265251971235893,-0.15847812956720736,1.1286389793807847,1.7308825837420732,0.20248241023541225
RTBP,reference,446,2.830857240110782,3.503351337737123,0.18005989995294744,1.1391812765435168,1.6416045463593933,0.3019142977439552
sinBP_D_current,reference,444,2.8671887415615225,3.5638252655152156,0.07137182091857339,1.3064591856727628,1.848765682592539,0.3676195728577394
RTBP_scaled_div_2,scaled_div,439,3.2769207549631254,4.160502832293216,-0.04224511149451301,1.4537355927116382,2.0609378104898264,0.32474607745372835
RTBP_plus_AxE,interaction,439,3.2860615989849764,4.194303603599673,0.1066852845337974,1.480122934439919,2.0750987733492137,0.2984817959967072
RTBP_scaled_mul_0p1,scaled_mul,439,3.3074979854314464,4.2141675477193665,0.14396355039770636,1.5458084752537076,2.120828854608014,0.26523228078980987
RTBP_plus_E,additive,439,3.3078984500964936,4.200438736552894,0.10804525834361742,1.5047599367640836,2.0805398389641314,0.26950591289898973
RTBP_plus_FxE,interaction,439,3.3141916426863376,4.2032090903246715,0.11601371935562607,1.5245630623714113,2.0938887926123986,0.2642153429193699
RTBP_scaled_div_1,scaled_div,439,3.3200440931120694,4.209592786701317,-0.028988703060730602,1.5031092746603218,2.1111607471861014,0.3226553962289657
RTBP_scaled_mul_0p25,scaled_mul,439,3.3250594100924067,4.242163171703448,0.14155405065341214,1.5538750486578876,2.148962354051406,0.2723912775308489
RTBP_plus_HRxE,interaction,439,3.328443926021883,4.2254500431252735,0.09513832209154405,1.5425374821683693,2.1149876657708564,0.28295220079069816
RTBP_plus_all_interactions,interaction,439,3.331180498578896,4.258177656830713,0.17538645323432622,1.5972255949780327,2.21784686394652,0.297849375245426
RTBP_plus_RxE,interaction,439,3.3314991629632567,4.234128225482285,0.09492719575156308,1.5592226649541616,2.136815728361382,0.2930956160509777
RTBP_scaled_mul_2,scaled_mul,439,3.333663302439491,4.259707556350185,0.1581757802542849,1.5580116821569008,2.1712289363388964,0.270767755927941
RTBP_scaled_mul_0p5,scaled_mul,439,3.334379403454622,4.256690082794416,0.14582530691077308,1.5604083277842953,2.1655385155856295,0.27340099143973307
RTBP_scaled_mul_1,scaled_mul,439,3.3357039869395315,4.260634954786131,0.15251751951148151,1.5606483679614174,2.171223310156507,0.27214338539122485
RTBP_plus_AsymxE,interaction,439,3.3373490848174363,4.247303632651951,0.12542314970343468,1.619672541271441,2.183524881020123,0.3665410011636766
RTBP_scaled_div_0p5,scaled_div,439,3.36625828444791,4.2629622047038405,-0.009048924037702567,1.5661293392015185,2.1728311966841845,0.3210044873553416
RTBP_scaled_div_0p25,scaled_div,439,3.401312872657995,4.304237042701375,0.018196748848881283,1.6276764645961377,2.227591248729553,0.32275168268349363
RTBP_scaled_div_0p1,scaled_div,439,3.409157290519141,4.313828824782948,0.06275305794295513,1.6674592365679153,2.247112381751037,0.33071092934289237
RTBP_plus_E_over_A,normalized,439,3.617382671430306,4.776520431330104,0.09712977681332735,2.020921601381461,2.9823850100435045,0.2906805253625381
