status,n_samples,n_groups,split,window_seconds,estimator,method,target,mape_mean,mape_std,mae_mean,mae_std,rmse_mean,rmse_std,corr_mean,corr_std,fold_details
ok,455,11,timeseries,0,huber,SinBP_M,ref_DBP,21.688453494391787,2.564901837706151,14.159571644669905,1.1844081199829726,19.78036936450605,1.8149174166544717,0.3397613310027991,0.10902041078770887,"[{'fold': 1, 'n_test_points': 75, 'n_eval_points': 75, 'mape': 20.362953214126716, 'mae': 14.460815872123034, 'rmse': 20.425944977277165, 'corr': 0.3825765132092537}, {'fold': 2, 'n_test_points': 75, 'n_eval_points': 75, 'mape': 20.578642418718605, 'mae': 13.979850597311202, 'rmse': 19.369180827547858, 'corr': 0.27866091998636766}, {'fold': 3, 'n_test_points': 75, 'n_eval_points': 75, 'mape': 26.15610739563393, 'mae': 15.897350029706447, 'rmse': 22.500054430768287, 'corr': 0.21777893402102028}, {'fold': 4, 'n_test_points': 75, 'n_eval_points': 75, 'mape': 21.47885355757865, 'mae': 13.838142765992876, 'rmse': 18.947499057239842, 'corr': 0.502788069419101}, {'fold': 5, 'n_test_points': 75, 'n_eval_points': 75, 'mape': 19.86571088590103, 'mae': 12.62169895821596, 'rmse': 17.65916752969711, 'corr': 0.317002218378253}]"
ok,455,11,timeseries,5,huber,SinBP_M,ref_DBP,22.14175081746345,4.382849837808253,14.330901391849707,1.9238860468639267,19.97902785546503,3.4543047667560254,0.37452687213761926,0.17213972663668353,"[{'fold': 1, 'n_test_points': 75, 'n_eval_points': 27, 'mape': 18.05502566197346, 'mae': 13.980388624801638, 'rmse': 19.497721080856003, 'corr': 0.36379951677300365}, {'fold': 2, 'n_test_points': 75, 'n_eval_points': 21, 'mape': 22.174864984953548, 'mae': 14.064356696736162, 'rmse': 19.01594240066183, 'corr': 0.318860629213597}, {'fold': 3, 'n_test_points': 75, 'n_eval_points': 20, 'mape': 27.235791652115545, 'mae': 16.74053685595145, 'rmse': 25.29473022911418, 'corr': 0.12201657732806798}, {'fold': 4, 'n_test_points': 75, 'n_eval_points': 24, 'mape': 25.723033949756463, 'mae': 15.331772610067434, 'rmse': 20.369257888026134, 'corr': 0.515227289543517}, {'fold': 5, 'n_test_points': 75, 'n_eval_points': 20, 'mape': 17.52003783851824, 'mae': 11.537452171691857, 'rmse': 15.717487678667007, 'corr': 0.5527303478299109}]"
ok,455,11,timeseries,10,huber,SinBP_M,ref_DBP,22.250344747068944,5.342448835641108,14.410622876258035,2.667340887332708,20.39352434494925,4.74411365875286,0.3216147402913418,0.18807968360102664,"[{'fold': 1, 'n_test_points': 75, 'n_eval_points': 17, 'mape': 19.36235037160082, 'mae': 14.545161311419568, 'rmse': 19.600917191294137, 'corr': 0.33861459767555324}, {'fold': 2, 'n_test_points': 75, 'n_eval_points': 12, 'mape': 18.72298396011901, 'mae': 12.276887663170234, 'rmse': 17.286960813604264, 'corr': 0.3911808720807239}, {'fold': 3, 'n_test_points': 75, 'n_eval_points': 13, 'mape': 30.016244020532646, 'mae': 18.168056544543184, 'rmse': 28.14538676243737, 'corr': 0.006835435798478685}, {'fold': 4, 'n_test_points': 75, 'n_eval_points': 16, 'mape': 25.58525201348426, 'mae': 15.559298409022182, 'rmse': 20.94048667036861, 'corr': 0.3607522092495135}, {'fold': 5, 'n_test_points': 75, 'n_eval_points': 10, 'mape': 17.564893369607983, 'mae': 11.503710453135005, 'rmse': 15.993870287041855, 'corr': 0.5106905866524396}]"
ok,455,11,timeseries,20,huber,SinBP_M,ref_DBP,22.291572741252295,4.80127434321637,14.500205879529508,2.4014575028845537,20.23118178978926,4.626767264164916,0.37539948860696903,0.23665023745132743,"[{'fold': 1, 'n_test_points': 75, 'n_eval_points': 17, 'mape': 19.36235037160082, 'mae': 14.545161311419568, 'rmse': 19.600917191294137, 'corr': 0.33861459767555324}, {'fold': 2, 'n_test_points': 75, 'n_eval_points': 10, 'mape': 21.358803671278352, 'mae': 13.707707516128641, 'rmse': 18.71893402548344, 'corr': 0.38383566067691316}, {'fold': 3, 'n_test_points': 75, 'n_eval_points': 13, 'mape': 30.016244020532646, 'mae': 18.168056544543184, 'rmse': 28.14538676243737, 'corr': 0.006835435798478685}, {'fold': 4, 'n_test_points': 75, 'n_eval_points': 10, 'mape': 23.155572273241667, 'mae': 14.576393572421154, 'rmse': 18.6968006826895, 'corr': 0.6370211622314605}, {'fold': 5, 'n_test_points': 75, 'n_eval_points': 10, 'mape': 17.564893369607983, 'mae': 11.503710453135005, 'rmse': 15.993870287041855, 'corr': 0.5106905866524396}]"
ok,444,11,timeseries,0,huber,SinBP_D_no_stiffness,ref_DBP,21.742200888270727,3.5257531532475195,14.565691391941915,1.336036220904334,19.40885752962142,1.9665964361098527,0.3095620197755077,0.0927680601434672,"[{'fold': 1, 'n_test_points': 74, 'n_eval_points': 74, 'mape': 17.96056545705598, 'mae': 14.065007623966602, 'rmse': 19.532917887402125, 'corr': 0.32780511435806103}, {'fold': 2, 'n_test_points': 74, 'n_eval_points': 74, 'mape': 19.626689290713355, 'mae': 13.502683759021886, 'rmse': 17.466665746216073, 'corr': 0.40767535494558305}, {'fold': 3, 'n_test_points': 74, 'n_eval_points': 74, 'mape': 26.846705672294853, 'mae': 16.394985766712818, 'rmse': 21.934685963880263, 'corr': 0.15561253457349097}, {'fold': 4, 'n_test_points': 74, 'n_eval_points': 74, 'mape': 23.651379469613694, 'mae': 15.523236476438855, 'rmse': 20.644392469734047, 'corr': 0.3229942213538937}, {'fold': 5, 'n_test_points': 74, 'n_eval_points': 74, 'mape': 20.625664551675765, 'mae': 13.342543333569415, 'rmse': 17.465625580874594, 'corr': 0.3337228736465094}]"
ok,446,11,timeseries,0,huber,SinBP_D_fit_only,ref_DBP,21.855149306835063,3.5223498172778083,14.641111557511774,1.3544352153091457,19.5028521180028,1.8650688544663734,0.3028913663884386,0.09010955028537179,"[{'fold': 1, 'n_test_points': 74, 'n_eval_points': 74, 'mape': 17.981099646907403, 'mae': 14.079877610511685, 'rmse': 19.64387759915106, 'corr': 0.31843598920880317}, {'fold': 2, 'n_test_points': 74, 'n_eval_points': 74, 'mape': 20.165093113817754, 'mae': 13.826691401828514, 'rmse': 18.066954904980754, 'corr': 0.36221242075873394}, {'fold': 3, 'n_test_points': 74, 'n_eval_points': 74, 'mape': 27.05077166183743, 'mae': 16.558753641901934, 'rmse': 21.993953125831364, 'corr': 0.1444896539843914}, {'fold': 4, 'n_test_points': 74, 'n_eval_points': 74, 'mape': 23.572502359338806, 'mae': 15.496059089706561, 'rmse': 20.471768408784357, 'corr': 0.33635082400629496}, {'fold': 5, 'n_test_points': 74, 'n_eval_points': 74, 'mape': 20.50627975227392, 'mae': 13.244176043610187, 'rmse': 17.337706551266447, 'corr': 0.3529679439839697}]"
ok,444,11,timeseries,0,ridge,SinBP_D_full,ref_DBP,21.57517088451558,3.480457306738455,14.753581949509101,1.453182678676812,19.111930301119834,1.9827551777927572,0.2860568034158325,0.12347156734479599,"[{'fold': 1, 'n_test_points': 74, 'n_eval_points': 74, 'mape': 18.021290285404234, 'mae': 14.342675470671596, 'rmse': 18.69073486503032, 'corr': 0.3923595063783477}, {'fold': 2, 'n_test_points': 74, 'n_eval_points': 74, 'mape': 20.53453890512098, 'mae': 14.50381988409985, 'rmse': 17.925370489699727, 'corr': 0.30241787416300303}, {'fold': 3, 'n_test_points': 74, 'n_eval_points': 74, 'mape': 26.92840038129059, 'mae': 16.733022341075745, 'rmse': 21.885166162596224, 'corr': 0.07947264334315596}, {'fold': 4, 'n_test_points': 74, 'n_eval_points': 74, 'mape': 22.898231043210075, 'mae': 15.40338862251893, 'rmse': 20.22770889668818, 'corr': 0.2879256530141976}, {'fold': 5, 'n_test_points': 74, 'n_eval_points': 74, 'mape': 19.493393807552025, 'mae': 12.78500342917939, 'rmse': 16.83067109158471, 'corr': 0.36810834018045835}]"
ok,444,11,timeseries,0,ridge,SinBP_D_no_stiffness,ref_DBP,21.58326417809418,3.471388974316354,14.758991989364887,1.4494367862871094,19.119330619742477,1.969060262675854,0.28453649028411526,0.12251781626296235,"[{'fold': 1, 'n_test_points': 74, 'n_eval_points': 74, 'mape': 18.0332602864137, 'mae': 14.351817127943963, 'rmse': 18.695954389909925, 'corr': 0.39253833558667617}, {'fold': 2, 'n_test_points': 74, 'n_eval_points': 74, 'mape': 20.58180592937185, 'mae': 14.531979707706062, 'rmse': 17.95148216434909, 'corr': 0.2989645309277793}, {'fold': 3, 'n_test_points': 74, 'n_eval_points': 74, 'mape': 26.918502644819515, 'mae': 16.721596285704173, 'rmse': 21.86574040556869, 'corr': 0.08015691658895152}, {'fold': 4, 'n_test_points': 74, 'n_eval_points': 74, 'mape': 22.89795112717711, 'mae': 15.408552866525556, 'rmse': 20.238158242253025, 'corr': 0.28651769072202343}, {'fold': 5, 'n_test_points': 74, 'n_eval_points': 74, 'mape': 19.484800902688733, 'mae': 12.78101395894469, 'rmse': 16.84531789663166, 'corr': 0.36450497759514583}]"
ok,446,11,timeseries,5,huber,SinBP_D_fit_only,ref_DBP,21.997298746231493,3.4142012672237065,14.791747984352137,1.3231386131835217,19.21075978344234,1.7807582251595435,0.36762290531466774,0.12612752425882182,"[{'fold': 1, 'n_test_points': 74, 'n_eval_points': 23, 'mape': 18.651183139892836, 'mae': 15.260009784568197, 'rmse': 19.73365874450831, 'corr': 0.3039293004232554}, {'fold': 2, 'n_test_points': 74, 'n_eval_points': 20, 'mape': 21.65498837539622, 'mae': 14.399162057410994, 'rmse': 18.54056608269355, 'corr': 0.37692733456023897}, {'fold': 3, 'n_test_points': 74, 'n_eval_points': 20, 'mape': 25.419300742787655, 'mae': 15.337708788883305, 'rmse': 20.397734231945428, 'corr': 0.20067993226294215}, {'fold': 4, 'n_test_points': 74, 'n_eval_points': 24, 'mape': 25.563281235592488, 'mae': 16.232800225077316, 'rmse': 20.928378444404142, 'corr': 0.4186012693702113}, {'fold': 5, 'n_test_points': 74, 'n_eval_points': 20, 'mape': 18.697740237488276, 'mae': 12.729059065820879, 'rmse': 16.45346141366028, 'corr': 0.537976689956691}]"
ok,446,11,timeseries,20,huber,SinBP_D_fit_only,ref_DBP,21.68652383187365,3.7970333144303394,14.792486210877803,1.7910670758921325,19.219294967546457,2.847942595962926,0.3882059640363088,0.2705728773132151,"[{'fold': 1, 'n_test_points': 74, 'n_eval_points': 14, 'mape': 18.253417817587973, 'mae': 15.319819470981075, 'rmse': 19.57855987985714, 'corr': 0.3052753867310856}, {'fold': 2, 'n_test_points': 74, 'n_eval_points': 10, 'mape': 20.247481346314693, 'mae': 13.267850411017752, 'rmse': 16.55753236375607, 'corr': 0.6533685900682711}, {'fold': 3, 'n_test_points': 74, 'n_eval_points': 13, 'mape': 26.910118125923, 'mae': 15.953252736516198, 'rmse': 21.483824967514682, 'corr': -0.0027337579336081295}, {'fold': 4, 'n_test_points': 74, 'n_eval_points': 10, 'mape': 24.380042416509127, 'mae': 16.816502449275482, 'rmse': 22.40847121991494, 'corr': 0.3493174950972531}, {'fold': 5, 'n_test_points': 74, 'n_eval_points': 10, 'mape': 18.641559453033466, 'mae': 12.605005986598504, 'rmse': 16.068086406689456, 'corr': 0.6358021062185425}]"
