n,groups,mae_mean,rmse_mean,corr_mean,mae_sd,rmse_sd,corr_sd,axis,target,split,window_s,method
446,11,4.763264826624985,6.592488385572105,0.0991619553699107,1.0181696225107744,1.7213284928250692,0.12429092847637704,group_centered,ref_SBP,timeseries,0,RTBP
455,11,4.616242845006794,6.360617577425726,-0.030250111691139076,0.9971139095937224,1.78175074660076,0.23595051104705164,group_centered,ref_SBP,timeseries,0,SinBP_M
444,11,4.304406373828972,6.156501782051201,0.1199260613305357,0.722406614135811,1.375708591513769,0.17154887551485107,group_centered,ref_SBP,timeseries,0,SinBP_D_full
444,11,4.298824752292123,6.148956038428482,0.12591674603426636,0.7232474263362678,1.3774064003932793,0.1690173521254792,group_centered,ref_SBP,timeseries,0,SinBP_D_no_stiff
446,11,4.168905793626743,5.785070327840524,0.04092785259480114,0.6812225173597387,1.1162955065759157,0.30919212097805215,group_centered,ref_SBP,timeseries,10,RTBP
455,11,4.08358800017854,5.3864087489491315,-0.15689094580294594,0.7468911925981051,1.0387876457499408,0.35457734960182535,group_centered,ref_SBP,timeseries,10,SinBP_M
444,11,3.807154878407335,5.330738755616736,0.14463231872197208,0.7410605107106303,1.2521431751394085,0.420951275917525,group_centered,ref_SBP,timeseries,10,SinBP_D_full
444,11,3.796447771947446,5.336174334775839,0.1492470823448438,0.741902733956413,1.288880183411002,0.4194139947197003,group_centered,ref_SBP,timeseries,10,SinBP_D_no_stiff
446,11,4.101360318465365,5.670630592308457,0.09619384615313895,0.8717787027124232,1.2596925923496467,0.3862796577508737,group_centered,ref_SBP,timeseries,20,RTBP
455,11,4.1399252918177325,5.532514857892616,-0.18065272152225353,0.7770334260600495,1.1241784893497095,0.3605499820878011,group_centered,ref_SBP,timeseries,20,SinBP_M
444,11,3.582684825284031,4.950248257151851,0.1901821444887907,0.6853570814947467,0.8267163235965934,0.43034522404496534,group_centered,ref_SBP,timeseries,20,SinBP_D_full
444,11,3.5651622381156187,4.941039050257224,0.19788645507382313,0.6937764630288006,0.8332860748518975,0.4319216231096886,group_centered,ref_SBP,timeseries,20,SinBP_D_no_stiff
446,11,4.369777390389578,6.007990949570504,0.04592357798542546,0.8379375179825876,1.20806472001718,0.3318878690831599,group_centered,ref_SBP,timeseries,30,RTBP
455,11,4.015249354424077,5.363831858748132,-0.1811878436384636,0.5376478750370904,0.837943800531658,0.3425229547050265,group_centered,ref_SBP,timeseries,30,SinBP_M
444,11,3.678098786953888,5.119907549669234,0.18029988954263163,1.0383847811761013,1.7572657082761862,0.48764179255487783,group_centered,ref_SBP,timeseries,30,SinBP_D_full
444,11,3.6679949738148685,5.1273133799982125,0.1839984511135188,1.035451121584072,1.7802695119094802,0.48401759745946904,group_centered,ref_SBP,timeseries,30,SinBP_D_no_stiff
446,11,4.386479437245957,6.078576374105337,0.08028344816169629,2.2701759982622645,3.522192703753559,0.11011975162251109,group_centered,ref_SBP,groupkfold,0,RTBP
455,11,4.237389288938873,6.128894089732773,-0.03948971601333928,2.1505330624365926,3.4129653909043705,0.15839287022117532,group_centered,ref_SBP,groupkfold,0,SinBP_M
444,11,4.347944386126834,6.065454719556383,0.11284917264550678,2.286369413718007,3.571630404433558,0.16556476051034139,group_centered,ref_SBP,groupkfold,0,SinBP_D_full
