n,groups,mae,rmse,corr,mae_sd,rmse_sd,corr_sd,target,split,window,est,method
446,11,20.683773388254398,28.0773147458864,-0.05982671816240739,2.5094880242903312,5.543156543529939,0.14845424964812862,ref_SBP,timeseries,0,ols,RTBP
455,11,19.494348318173795,24.730042114860417,0.1712325347897692,2.4356154543145925,2.3709835816121063,0.1989185249108036,ref_SBP,timeseries,0,ols,SinBP_M
444,11,19.2313658226909,24.725642246555548,0.21364755693644627,2.01323367287734,2.3467381201801483,0.20833173286002912,ref_SBP,timeseries,0,ols,SinBP_D_full
444,11,18.957361476430243,24.159716926114754,0.21590316293503542,2.080093910557659,2.45562903546573,0.18785006815137759,ref_SBP,timeseries,0,ols,SinBP_D_no_stiff
446,11,19.036003308301478,24.205533121489474,0.21301560013144555,2.0843127907882857,2.3895458990244625,0.19795175668902293,ref_SBP,timeseries,0,ols,SinBP_D_fit_only
462,11,18.92971171354956,23.763023174554956,0.21973968338171992,2.671792382343001,2.8971130499662765,0.16327475074642056,ref_SBP,timeseries,0,ols,SinBP_D_E_only
446,11,20.48920211596294,27.530684141575268,-0.059793896264373717,2.348721319671495,4.836345880749595,0.14728552705156797,ref_SBP,timeseries,0,ridge,RTBP
455,11,19.355482378420287,24.505668819126946,0.1714762667599289,2.414365809358939,2.430173641191665,0.19848748942622899,ref_SBP,timeseries,0,ridge,SinBP_M
444,11,18.87955061522286,24.015948669887585,0.22086102407109198,2.1534462980385394,2.5432849449796127,0.19352395918951384,ref_SBP,timeseries,0,ridge,SinBP_D_full
444,11,18.890175271124562,24.02655742862185,0.2197746397486143,2.1515741863600977,2.549606572806159,0.19475080357396127,ref_SBP,timeseries,0,ridge,SinBP_D_no_stiff
446,11,18.96658227180371,24.051839238389594,0.21779636937891417,2.205409227032935,2.5413995407500862,0.20802722312424263,ref_SBP,timeseries,0,ridge,SinBP_D_fit_only
462,11,18.991701608624034,23.760525984248304,0.21973968338171995,2.619814344569031,2.900667572651314,0.16327475074642056,ref_SBP,timeseries,0,ridge,SinBP_D_E_only
446,11,21.195411286682656,28.71757899437147,-0.05140074428574053,3.721089372458937,7.6547523217525795,0.2847925047579027,ref_SBP,timeseries,5,ols,RTBP
455,11,20.310884617848963,25.729590994830186,0.021804412159646503,2.9737203359909645,2.725771548742229,0.3096625518446176,ref_SBP,timeseries,5,ols,SinBP_M
444,11,19.78187372931413,24.762857501800287,0.1637108593337663,3.574905810331518,4.025564575891991,0.3199594740035692,ref_SBP,timeseries,5,ols,SinBP_D_full
444,11,19.620114744062196,24.495510056741953,0.14769906735338795,3.6075329484106917,4.068836048589439,0.301281995724066,ref_SBP,timeseries,5,ols,SinBP_D_no_stiff
446,11,19.41233146764838,24.264478649623825,0.16499316689905777,3.802892231877634,4.222903997262555,0.3362429619664837,ref_SBP,timeseries,5,ols,SinBP_D_fit_only
462,11,19.90330780821564,24.363738030438075,0.21797934197641525,2.9607411417333145,3.1672366550043822,0.19551863131233022,ref_SBP,timeseries,5,ols,SinBP_D_E_only
446,11,20.975364973069574,28.121327104571577,-0.05099885286190688,3.4641787644689743,6.844507772943725,0.2827920475569368,ref_SBP,timeseries,5,ridge,RTBP
455,11,20.233637721117542,25.528466883377497,0.021905923086512413,2.937096853282922,2.695736917401123,0.3077936481155256,ref_SBP,timeseries,5,ridge,SinBP_M
444,11,19.605090725697725,24.390711519049983,0.1535670431250792,3.6112501510229595,4.104492185667851,0.30925566938551385,ref_SBP,timeseries,5,ridge,SinBP_D_full
444,11,19.617316407163393,24.406284430469416,0.15142707479384784,3.621564908156773,4.120492763607875,0.3097097186308531,ref_SBP,timeseries,5,ridge,SinBP_D_no_stiff
446,11,19.395669378372823,24.164271868972175,0.17206515658624483,3.8727704298484746,4.348741241944459,0.3529225614761587,ref_SBP,timeseries,5,ridge,SinBP_D_fit_only
462,11,19.9472802588933,24.362368418769346,0.21797934197641516,2.9171385556814653,3.1590886162448544,0.1955186313123303,ref_SBP,timeseries,5,ridge,SinBP_D_E_only
446,11,21.36445719381594,28.37972263922284,-0.024735951717582055,3.998503597852815,7.250136284328773,0.34858963457977576,ref_SBP,timeseries,10,ols,RTBP
455,11,21.10772752809795,26.670717969538487,0.02837932587323788,2.518259471166577,2.7273704129677343,0.43567533873455444,ref_SBP,timeseries,10,ols,SinBP_M
444,11,19.73948885410909,24.802379002427692,0.21343623188442457,3.757153705547242,4.150160241541178,0.4286121642154995,ref_SBP,timeseries,10,ols,SinBP_D_full
444,11,20.028572144110562,24.793054884375064,0.1824713691376952,3.483776073513503,4.1738177158666705,0.42264653599439117,ref_SBP,timeseries,10,ols,SinBP_D_no_stiff
446,11,19.782390826958395,24.592967519242638,0.1878068175267655,3.8667015066902803,4.414928447526979,0.4483042157537683,ref_SBP,timeseries,10,ols,SinBP_D_fit_only
462,11,20.358929650611977,24.65803106920641,0.33416390006414687,2.219831382900422,2.4542287601582746,0.22392690655245553,ref_SBP,timeseries,10,ols,SinBP_D_E_only
446,11,21.168960373357482,27.816003463318292,-0.024021829920078352,3.768612885712821,6.559378877813038,0.34714404151781886,ref_SBP,timeseries,10,ridge,RTBP
455,11,21.0325487288097,26.439837123002217,0.03017852908960248,2.420404195345173,2.5919431515074893,0.4351854842035457,ref_SBP,timeseries,10,ridge,SinBP_M
444,11,20.014049019462995,24.676130715338005,0.18972024063031143,3.50125152230273,4.2343153062294085,0.4264692279720973,ref_SBP,timeseries,10,ridge,SinBP_D_full
444,11,20.020187687489926,24.68379191459659,0.19079440084233087,3.5175668724825453,4.249023325556435,0.4294846579227504,ref_SBP,timeseries,10,ridge,SinBP_D_no_stiff
446,11,19.750710093381723,24.46274106797017,0.20104890827099245,3.952351786879241,4.573608144843713,0.4629767733914741,ref_SBP,timeseries,10,ridge,SinBP_D_fit_only
462,11,20.42217233846914,24.71682700808789,0.3341639000641465,2.165266179738649,2.4137227500654515,0.22392690655245584,ref_SBP,timeseries,10,ridge,SinBP_D_E_only
446,11,21.910394054876214,29.910983282086754,-0.027272891180843355,3.707857527670036,8.893991307107076,0.3915165500482818,ref_SBP,timeseries,15,ols,RTBP
455,11,21.507061957578124,27.255308359523326,0.0484329856482099,2.713793866588962,2.616109157010539,0.4363104748931222,ref_SBP,timeseries,15,ols,SinBP_M
444,11,20.538063199104336,25.55970833897745,0.20850168838510244,3.674261480164663,4.038044406220415,0.46747413262112075,ref_SBP,timeseries,15,ols,SinBP_D_full
444,11,20.3434959902384,25.31026162775542,0.18583335130258094,3.734637249173752,4.141532729764419,0.46250163734131994,ref_SBP,timeseries,15,ols,SinBP_D_no_stiff
446,11,20.203141049585025,25.14534697050297,0.19762710338465123,4.0279961329789185,4.354818182975841,0.4887845141538767,ref_SBP,timeseries,15,ols,SinBP_D_fit_only
462,11,20.447064665156958,24.83854445031095,0.2680354712162556,3.003525495418755,2.83329154377322,0.23517298633471376,ref_SBP,timeseries,15,ols,SinBP_D_E_only
446,11,21.65806433177405,29.22168736526867,-0.026534914243623208,3.388480360495936,7.887123802724358,0.39023497317324307,ref_SBP,timeseries,15,ridge,RTBP
455,11,21.428687699182994,26.996492748749024,0.048003169036147,2.626858649063146,2.5218899784958317,0.4350386544683567,ref_SBP,timeseries,15,ridge,SinBP_M
444,11,20.341812188795647,25.19524038171127,0.19161366580097444,3.7057438902232005,4.180119456175528,0.465552097342348,ref_SBP,timeseries,15,ridge,SinBP_D_full
444,11,20.35368824269304,25.199790364846425,0.19335696905813649,3.718444064153339,4.197703158391524,0.4688231024109981,ref_SBP,timeseries,15,ridge,SinBP_D_no_stiff
446,11,20.20217905470117,25.009504952738112,0.21275716956416607,4.050456266493714,4.4854497118240415,0.5038367968869925,ref_SBP,timeseries,15,ridge,SinBP_D_fit_only
462,11,20.488096605764344,24.836274582341265,0.26803547121625526,2.9595581592456734,2.854135949173663,0.23517298633471395,ref_SBP,timeseries,15,ridge,SinBP_D_E_only
446,11,21.910142872816152,28.946957508296055,0.002109167247854754,4.548253168779623,7.823714769685981,0.3703003838073214,ref_SBP,timeseries,20,ols,RTBP
455,11,21.79475997562151,27.528345194276266,0.032625336309586396,3.3283049795611572,3.803965874547027,0.43799135612358453,ref_SBP,timeseries,20,ols,SinBP_M
444,11,20.056497420330594,25.280077283322377,0.22200675357778374,4.478307248216655,5.450408715603643,0.47393303781454155,ref_SBP,timeseries,20,ols,SinBP_D_full
444,11,20.389821850341583,25.356137254935554,0.18327247216246734,4.252614781764996,5.485455167201223,0.4676536483160081,ref_SBP,timeseries,20,ols,SinBP_D_no_stiff
446,11,20.149872957715676,25.20377944215486,0.190930070982799,4.592863762261041,5.747085041928922,0.48078677464950953,ref_SBP,timeseries,20,ols,SinBP_D_fit_only
462,11,20.78419944663738,24.950412470419636,0.328194443955763,3.2226935581205614,3.5083436811626556,0.23173225125797192,ref_SBP,timeseries,20,ols,SinBP_D_E_only
446,11,21.75048637667494,28.4541145666582,0.003160885294828009,4.3761808629457155,7.189138238154608,0.3702248382852303,ref_SBP,timeseries,20,ridge,RTBP
455,11,21.718262896646856,27.282926451882435,0.03400170470827022,3.2401537488986416,3.6598981742707366,0.4382001467843715,ref_SBP,timeseries,20,ridge,SinBP_M
444,11,20.374568904409728,25.23485172065377,0.191661924104705,4.262853663004609,5.527223660843492,0.4690573790274205,ref_SBP,timeseries,20,ridge,SinBP_D_full
444,11,20.37863325014514,25.237011238774652,0.19241557413016824,4.2745550458854495,5.535266303740951,0.4717052209014526,ref_SBP,timeseries,20,ridge,SinBP_D_no_stiff
446,11,20.12354593975008,25.06613398322414,0.20406003026505543,4.670620726445773,5.871043086264884,0.4921406799943103,ref_SBP,timeseries,20,ridge,SinBP_D_fit_only
462,11,20.85802998569442,25.01092150781976,0.3281944439557624,3.160941308968851,3.4725395935656183,0.23173225125797248,ref_SBP,timeseries,20,ridge,SinBP_D_E_only
446,11,22.55124037889201,30.565016785502714,-0.057540650592805775,4.358356742900504,9.145038375399672,0.42368476758117135,ref_SBP,timeseries,30,ols,RTBP
455,11,21.772873183956428,27.62759765978401,0.06308611577243732,2.9838422285812376,3.1103062615823545,0.44067162191848946,ref_SBP,timeseries,30,ols,SinBP_M
444,11,20.37279850799405,25.837183407690922,0.18931745056209429,4.552823555384605,5.043324231957654,0.5116729996386353,ref_SBP,timeseries,30,ols,SinBP_D_full
444,11,20.656951884850734,25.816105809072162,0.16264012671466987,4.18310327794219,5.096220738332104,0.5011452227657387,ref_SBP,timeseries,30,ols,SinBP_D_no_stiff
446,11,20.552554600214634,25.73006278112144,0.1717294893692311,4.470624349040194,5.3300443382996825,0.5230788650484794,ref_SBP,timeseries,30,ols,SinBP_D_fit_only
462,11,20.643882629833513,24.9219999215716,0.32067796843974616,3.3607026826565733,3.5062018032997484,0.22316633707430522,ref_SBP,timeseries,30,ols,SinBP_D_E_only
446,11,22.30427984725362,29.844168193081202,-0.056860923206696376,4.082134862130969,8.16424676726631,0.4226136092243978,ref_SBP,timeseries,30,ridge,RTBP
455,11,21.723154258036,27.38825573320178,0.06409658692681278,2.8734907145329878,3.0292692975338937,0.4395408253767014,ref_SBP,timeseries,30,ridge,SinBP_M
444,11,20.656109708835093,25.67878244843048,0.17342707311600863,4.166075068141262,5.155424399010893,0.5055649141179879,ref_SBP,timeseries,30,ridge,SinBP_D_full
444,11,20.671818090296615,25.68834806169926,0.17436954653584444,4.1735760167735565,5.162265241949227,0.5086335071494321,ref_SBP,timeseries,30,ridge,SinBP_D_no_stiff
446,11,20.55261109039397,25.581221510437196,0.19100075231710012,4.506825355798161,5.462931848489078,0.539570072506797,ref_SBP,timeseries,30,ridge,SinBP_D_fit_only
462,11,20.700845634247198,24.969490527681256,0.3206779684397455,3.298165289727106,3.468586618785558,0.22316633707430575,ref_SBP,timeseries,30,ridge,SinBP_D_E_only
446,11,24.31606983951637,29.15188744651517,-0.20620839994529477,14.015865276536282,14.765787154436126,0.2613990737049718,ref_SBP,groupkfold,0,ols,RTBP
