"Time [s]";"Pressure [mmHg]";
0.00;0.09;
0.01;0.03;
0.02;0.00;
0.03;0.09;
0.04;0.00;
0.05;0.02;
0.06;0.03;
0.07;0.03;
0.08;0.14;
0.09;0.02;
0.10;0.08;
0.11;0.12;
0.12;0.09;
0.13;0.14;
0.14;0.02;
0.15;0.00;
0.16;0.00;
0.17;0.00;
0.18;0.11;
0.19;0.03;
0.20;0.00;
0.21;0.00;
0.22;0.00;
0.23;0.08;
0.24;0.09;
0.25;0.09;
0.26;0.14;
0.27;0.05;
0.28;0.12;
0.29;0.08;
0.30;0.11;
0.31;0.03;
0.32;0.08;
0.33;0.00;
0.34;0.00;
0.35;0.00;
0.36;0.00;
0.37;0.00;
0.38;0.00;
0.39;0.00;
0.40;0.00;
0.41;0.00;
0.42;0.08;
0.43;0.00;
0.44;0.06;
0.45;0.00;
0.46;0.00;
0.47;0.06;
0.48;0.00;
0.49;0.12;
0.50;0.06;
0.51;0.02;
0.52;0.00;
0.53;0.17;
0.54;0.03;
0.55;0.00;
0.56;0.05;
0.57;0.08;
0.58;0.05;
0.59;0.02;
0.60;0.03;
0.61;0.00;
0.62;0.00;
0.63;0.00;
0.64;0.00;
0.65;0.00;
0.66;0.00;
0.67;0.00;
0.68;0.00;
0.69;0.00;
0.70;0.00;
0.71;0.05;
0.72;0.00;
0.73;0.03;
0.74;0.00;
0.75;0.00;
0.76;0.00;
0.77;0.12;
0.78;0.08;
0.79;0.03;
0.80;0.00;
0.81;0.03;
0.82;0.06;
0.83;0.16;
0.84;0.02;
0.85;0.17;
0.86;0.09;
0.87;0.11;
0.88;0.05;
0.89;0.03;
0.90;0.03;
0.91;0.03;
0.92;0.06;
0.93;0.14;
0.94;0.12;
0.95;0.06;
0.96;0.00;
0.97;0.03;
0.98;0.09;
0.99;0.03;
1.00;0.00;
1.01;0.00;
1.02;0.05;
1.03;0.02;
1.04;0.03;
1.05;0.03;
1.06;0.02;
1.07;0.09;
1.08;0.05;
1.09;0.00;
1.10;0.02;
1.11;0.00;
1.12;0.00;
1.13;0.00;
1.14;0.03;
1.15;0.03;
1.16;0.00;
1.17;0.00;
1.18;0.00;
1.19;0.00;
1.20;0.02;
1.21;0.00;
1.22;0.00;
1.23;0.00;
1.24;0.02;
1.25;0.00;
1.26;0.00;
1.27;0.00;
1.28;0.00;
1.29;0.11;
1.30;0.05;
1.31;0.09;
1.32;0.03;
1.33;0.09;
1.34;0.11;
1.35;0.16;
1.36;0.17;
1.37;0.16;
1.38;0.09;
1.39;0.14;
1.40;0.09;
1.41;0.14;
1.42;0.02;
1.43;0.05;
1.44;0.08;
1.45;0.00;
1.46;0.03;
1.47;0.00;
1.48;0.02;
1.49;0.03;
1.50;0.00;
1.51;0.05;
1.52;0.08;
1.53;0.03;
1.54;0.09;
1.55;0.05;
1.56;0.00;
1.57;0.08;
1.58;0.02;
1.59;0.00;
1.60;0.00;
1.61;0.00;
1.62;0.00;
1.63;0.00;
1.64;0.00;
1.65;0.02;
1.66;0.03;
1.67;0.03;
1.68;0.08;
1.69;0.00;
1.70;0.00;
1.71;0.00;
1.72;0.00;
1.73;0.00;
1.74;0.05;
1.75;0.02;
1.76;0.02;
1.77;0.08;
1.78;0.03;
1.79;0.03;
1.80;0.00;
1.81;0.06;
1.82;0.00;
1.83;0.03;
1.84;0.08;
1.85;0.12;
1.86;0.02;
1.87;0.03;
1.88;0.06;
1.89;0.02;
1.90;0.06;
1.91;0.02;
1.92;0.06;
1.93;0.00;
1.94;0.03;
1.95;0.00;
1.96;0.00;
1.97;0.00;
1.98;0.00;
1.99;0.00;
2.00;0.00;
2.01;0.08;
2.02;0.00;
2.03;0.00;
2.04;0.00;
2.05;0.00;
2.06;0.00;
2.07;0.00;
2.08;0.00;
2.09;0.00;
2.10;0.00;
2.11;0.00;
2.12;0.05;
2.13;0.00;
2.14;0.08;
2.15;0.09;
2.16;0.08;
2.17;0.06;
2.18;0.05;
2.19;0.00;
2.20;0.11;
2.21;0.16;
2.22;0.06;
2.23;0.00;
2.24;0.00;
2.25;0.02;
2.26;0.09;
2.27;0.02;
2.28;0.06;
2.29;0.09;
2.30;0.16;
2.31;0.09;
2.32;0.03;
2.33;0.22;
