"Time [s]";"Pressure [mmHg]";
0.00;0.00;
0.01;0.14;
0.02;0.00;
0.03;0.00;
0.04;0.00;
0.05;0.00;
0.06;0.00;
0.07;0.02;
0.08;0.00;
0.09;0.00;
0.10;0.00;
0.11;0.00;
0.12;0.00;
0.13;0.05;
0.14;0.00;
0.15;0.00;
0.16;0.00;
0.17;0.00;
0.18;0.00;
0.19;0.00;
0.20;0.00;
0.21;0.03;
0.22;0.00;
0.23;0.00;
0.24;0.02;
0.25;0.00;
0.26;0.00;
0.27;0.06;
0.28;0.00;
0.29;0.00;
0.30;0.00;
0.31;0.05;
0.32;0.00;
0.33;0.00;
0.34;0.06;
0.35;0.03;
0.36;0.03;
0.37;0.05;
0.38;0.06;
0.39;0.11;
0.40;0.02;
0.41;0.05;
0.42;0.00;
0.43;0.06;
0.44;0.09;
0.45;0.03;
0.46;0.00;
0.47;0.06;
0.48;0.02;
0.49;0.00;
0.50;0.00;
0.51;0.02;
0.52;0.02;
0.53;0.00;
0.54;0.00;
0.55;0.03;
0.56;0.03;
0.57;0.12;
0.58;0.00;
0.59;0.00;
0.60;0.00;
0.61;0.00;
0.62;0.05;
0.63;0.00;
0.64;0.08;
0.65;0.02;
0.66;0.03;
0.67;0.08;
0.68;0.09;
0.69;0.11;
0.70;0.05;
0.71;0.00;
0.72;0.00;
0.73;0.00;
0.74;0.00;
0.75;0.00;
0.76;0.00;
0.77;0.00;
0.78;0.00;
0.79;0.00;
0.80;0.00;
0.81;0.00;
0.82;0.00;
0.83;0.06;
0.84;0.00;
0.85;0.00;
0.86;0.00;
0.87;0.00;
0.88;0.02;
0.89;0.02;
0.90;0.00;
0.91;0.00;
0.92;0.00;
0.93;0.00;
0.94;0.00;
0.95;0.00;
0.96;0.00;
0.97;0.00;
0.98;0.00;
0.99;0.00;
1.00;0.00;
1.01;0.00;
1.02;0.00;
1.03;0.00;
1.04;0.00;
1.05;0.00;
1.06;0.00;
1.07;0.00;
1.08;0.00;
1.09;0.00;
1.10;0.00;
1.11;0.00;
1.12;0.00;
1.13;0.00;
1.14;0.00;
1.15;0.00;
1.16;0.00;
1.17;0.00;
1.18;0.00;
1.19;0.00;
1.20;0.00;
1.21;0.02;
1.22;0.02;
1.23;0.06;
1.24;0.00;
1.25;0.05;
1.26;0.00;
1.27;0.08;
1.28;0.05;
1.29;0.00;
1.30;0.06;
1.31;0.00;
1.32;0.06;
1.33;0.00;
1.34;0.06;
1.35;0.03;
1.36;0.03;
1.37;0.11;
1.38;0.00;
1.39;0.00;
1.40;0.02;
1.41;0.08;
1.42;0.00;
1.43;0.05;
1.44;0.02;
1.45;0.06;
1.46;0.02;
1.47;0.00;
1.48;0.02;
1.49;0.02;
1.50;0.00;
1.51;0.00;
1.52;0.00;
1.53;0.02;
1.54;0.05;
1.55;0.00;
1.56;0.00;
1.57;0.00;
1.58;0.00;
1.59;0.00;
1.60;0.00;
1.61;0.00;
1.62;0.00;
1.63;0.00;
1.64;0.00;
1.65;0.00;
1.66;0.00;
1.67;0.00;
1.68;0.00;
1.69;0.00;
1.70;0.00;
1.71;0.00;
1.72;0.00;
1.73;0.00;
1.74;0.00;
1.75;0.00;
1.76;0.00;
1.77;0.00;
1.78;0.00;
1.79;0.00;
1.80;0.00;
1.81;0.00;
1.82;0.00;
1.83;0.00;
1.84;0.00;
1.85;0.05;
1.86;0.06;
1.87;0.00;
1.88;0.00;
1.89;0.00;
1.90;0.00;
1.91;0.00;
1.92;0.00;
1.93;0.00;
1.94;0.00;
1.95;0.00;
1.96;0.00;
1.97;0.02;
1.98;0.00;
1.99;0.00;
2.00;0.00;
2.01;0.00;
2.02;0.00;
2.03;0.05;
2.04;0.00;
2.05;0.00;
2.06;0.00;
2.07;0.00;
2.08;0.00;
2.09;0.05;
2.10;0.00;
2.11;0.00;
2.12;0.00;
2.13;0.02;
2.14;0.00;
2.15;0.00;
2.16;0.00;
2.17;0.00;
2.18;0.00;
2.19;0.00;
2.20;0.02;
2.21;0.00;
2.22;0.00;
2.23;0.00;
2.24;0.00;
2.25;0.02;
2.26;0.05;
2.27;0.00;
2.28;0.06;
2.29;0.00;
2.30;0.00;
2.31;0.00;
2.32;0.03;
2.33;0.00;
2.34;0.03;
2.35;0.05;
2.36;0.03;
2.37;0.08;
2.38;0.00;
2.39;0.00;
2.40;0.00;
2.41;0.06;
2.42;0.00;
2.43;0.05;
2.44;0.06;
2.45;0.00;
2.46;0.00;
2.47;0.00;
2.48;0.00;
2.49;0.11;
2.50;0.06;
2.51;0.00;
2.52;0.00;
2.53;0.02;
2.54;0.02;
2.55;0.00;
2.56;0.00;
2.57;0.00;
2.58;0.00;
2.59;0.00;
2.60;0.00;
2.61;0.00;
2.62;0.00;
2.63;0.00;
2.64;0.00;
2.65;0.02;
2.66;0.00;
2.67;0.00;
2.68;0.11;
2.69;0.05;
2.70;0.02;
2.71;0.03;
2.72;0.08;
2.73;0.09;
2.74;0.00;
2.75;0.08;
2.76;8.80;
2.77;41.25;
2.78;67.77;
2.79;90.83;
2.80;110.81;
2.81;129.86;
2.82;146.42;
2.83;159.33;
2.84;168.39;
2.85;174.34;
2.86;178.11;
2.87;179.98;
2.88;180.92;
2.89;181.12;
2.90;181.53;
2.91;181.67;
2.92;181.62;
2.93;181.61;
2.94;181.80;
2.95;181.97;
2.96;181.88;
2.97;181.88;
2.98;181.86;
2.99;181.92;
3.00;182.02;
3.01;181.94;
3.02;181.73;
3.03;181.72;
3.04;181.81;
3.05;181.77;
3.06;181.69;
3.07;181.70;
3.08;181.55;
3.09;181.62;
3.10;181.52;
3.11;181.47;
3.12;181.52;
3.13;181.38;
3.14;181.47;
3.15;181.42;
3.16;181.42;
3.17;181.30;
3.18;181.27;
3.19;181.20;
3.20;181.14;
3.21;181.09;
3.22;181.12;
3.23;181.05;
3.24;180.94;
3.25;180.98;
3.26;181.03;
3.27;180.98;
3.28;180.89;
3.29;180.83;
3.30;180.78;
3.31;180.78;
3.32;180.77;
3.33;180.81;
3.34;180.73;
3.35;180.67;
3.36;180.62;
3.37;180.67;
3.38;180.45;
3.39;180.34;
3.40;180.45;
3.41;180.33;
3.42;180.30;
3.43;180.27;
3.44;180.12;
3.45;180.05;
3.46;180.16;
3.47;180.09;
3.48;180.05;
3.49;180.05;
3.50;179.95;
3.51;180.00;
3.52;180.03;
3.53;180.14;
3.54;179.95;
3.55;179.94;
3.56;179.94;
3.57;179.83;
3.58;179.73;
3.59;179.64;
3.60;179.62;
3.61;179.58;
3.62;179.52;
3.63;179.50;
3.64;179.50;
3.65;179.50;
3.66;179.48;
3.67;179.62;
3.68;179.48;
3.69;179.47;
3.70;179.50;
3.71;179.34;
3.72;179.34;
3.73;179.31;
3.74;179.23;
3.75;179.27;
3.76;179.17;
3.77;179.12;
3.78;179.20;
3.79;179.11;
3.80;179.06;
3.81;179.16;
3.82;179.00;
3.83;179.11;
3.84;178.92;
3.85;179.03;
3.86;178.95;
3.87;178.88;
3.88;178.84;
3.89;178.86;
3.90;178.80;
3.91;178.83;
3.92;178.70;
3.93;178.66;
3.94;178.62;
3.95;178.56;
3.96;178.56;
3.97;178.62;
3.98;178.48;
3.99;178.47;
4.00;178.50;
4.01;178.56;
4.02;178.48;
4.03;178.58;
4.04;178.61;
4.05;178.62;
4.06;178.69;
4.07;178.56;
4.08;178.42;
4.09;178.47;
4.10;178.44;
4.11;178.38;
4.12;178.25;
4.13;178.38;
4.14;178.22;
4.15;178.23;
4.16;178.17;
4.17;178.14;
4.18;178.09;
4.19;178.16;
4.20;178.05;
4.21;178.17;
4.22;178.05;
4.23;178.12;
4.24;178.02;
4.25;177.94;
4.26;178.02;
4.27;177.94;
4.28;177.89;
4.29;177.89;
4.30;177.84;
4.31;177.92;
4.32;177.78;
4.33;177.80;
4.34;177.73;
4.35;177.80;
4.36;177.81;
4.37;177.69;
4.38;177.69;
4.39;177.78;
4.40;177.75;
4.41;177.70;
4.42;177.66;
4.43;177.44;
4.44;177.27;
4.45;177.36;
4.46;177.34;
4.47;177.27;
4.48;177.16;
4.49;177.20;
4.50;177.09;
4.51;177.08;
4.52;177.09;
4.53;177.12;
4.54;176.97;
4.55;177.00;
4.56;177.02;
4.57;177.06;
4.58;177.08;
4.59;177.02;
4.60;177.11;
4.61;177.05;
4.62;177.00;
4.63;176.95;
4.64;176.92;
4.65;177.02;
4.66;176.86;
4.67;176.80;
4.68;176.91;
4.69;176.94;
4.70;176.92;
4.71;176.86;
4.72;176.86;
4.73;176.88;
4.74;176.86;
4.75;176.83;
4.76;176.97;
4.77;176.81;
4.78;176.83;
4.79;176.75;
4.80;176.69;
4.81;176.67;
4.82;176.56;
4.83;176.67;
4.84;176.64;
4.85;176.62;
4.86;176.62;
4.87;176.58;
4.88;176.59;
4.89;176.56;
4.90;176.69;
4.91;176.64;
4.92;176.52;
4.93;176.48;
4.94;176.52;
4.95;176.34;
4.96;176.38;
4.97;176.45;
4.98;176.39;
4.99;176.52;
5.00;176.44;
5.01;176.45;
5.02;176.34;
5.03;176.31;
5.04;176.25;
5.05;176.31;
5.06;176.25;
5.07;176.19;
5.08;176.17;
5.09;176.23;
5.10;176.11;
5.11;176.27;
5.12;176.34;
5.13;176.27;
5.14;176.27;
5.15;176.17;
5.16;176.16;
5.17;176.22;
5.18;175.92;
5.19;175.27;
5.20;175.14;
5.21;175.67;
5.22;176.30;
5.23;176.69;
5.24;175.69;
5.25;176.62;
5.26;175.42;
5.27;173.80;
5.28;176.73;
5.29;175.89;
5.30;173.09;
5.31;178.05;
5.32;172.30;
5.33;176.72;
5.34;177.12;
5.35;169.08;
5.36;178.73;
5.37;173.77;
5.38;172.88;
5.39;180.00;
5.40;168.03;
5.41;177.55;
5.42;178.52;
5.43;166.66;
5.44;180.02;
5.45;175.12;
5.46;167.58;
5.47;181.98;
5.48;172.11;
5.49;170.31;
5.50;183.08;
5.51;168.59;
5.52;173.81;
5.53;182.98;
5.54;166.08;
5.55;177.09;
5.56;181.31;
5.57;165.44;
5.58;179.94;
5.59;177.86;
5.60;165.72;
5.61;182.56;
5.62;174.25;
5.63;168.75;
5.64;183.78;
5.65;170.22;
5.66;172.02;
5.67;183.53;
5.68;167.73;
5.69;175.58;
5.70;182.72;
5.71;167.11;
5.72;178.50;
5.73;184.22;
5.74;166.44;
5.75;174.84;
5.76;184.11;
5.77;167.80;
5.78;173.61;
5.79;183.06;
5.80;167.06;
5.81;175.14;
5.82;184.31;
5.83;167.86;
5.84;172.34;
5.85;183.80;
