"Time [s]";"Pressure [mmHg]";
0.00;0.00;
0.01;0.22;
0.02;0.00;
0.03;0.00;
0.04;0.08;
0.05;0.08;
0.06;0.05;
0.07;0.08;
0.08;0.00;
0.09;0.00;
0.10;0.00;
0.11;0.00;
0.12;0.00;
0.13;0.00;
0.14;0.00;
0.15;0.00;
0.16;0.00;
0.17;0.00;
0.18;0.00;
0.19;0.08;
0.20;0.06;
0.21;0.14;
0.22;0.00;
0.23;0.05;
0.24;0.05;
0.25;0.00;
0.26;0.16;
0.27;0.02;
0.28;0.00;
0.29;0.00;
0.30;0.02;
0.31;0.02;
0.32;0.00;
0.33;0.06;
0.34;0.02;
0.35;0.02;
0.36;0.00;
0.37;0.02;
0.38;0.00;
0.39;0.00;
0.40;0.06;
0.41;0.05;
0.42;0.05;
0.43;0.00;
0.44;0.09;
0.45;0.14;
0.46;0.03;
0.47;0.06;
0.48;0.08;
0.49;0.00;
0.50;0.00;
0.51;0.00;
0.52;0.00;
0.53;0.00;
0.54;0.00;
0.55;0.00;
0.56;0.00;
0.57;0.05;
0.58;0.03;
0.59;0.08;
0.60;0.00;
0.61;0.08;
0.62;0.03;
0.63;0.03;
0.64;0.02;
0.65;0.00;
0.66;0.05;
0.67;0.05;
0.68;0.08;
0.69;0.00;
0.70;0.00;
0.71;0.06;
0.72;0.02;
0.73;0.14;
0.74;0.05;
0.75;0.16;
0.76;0.12;
0.77;0.08;
0.78;0.00;
0.79;0.00;
0.80;0.00;
0.81;0.00;
0.82;0.00;
0.83;0.00;
0.84;0.00;
0.85;0.02;
0.86;0.00;
0.87;0.03;
0.88;0.09;
0.89;0.05;
0.90;0.02;
0.91;0.08;
0.92;0.05;
0.93;0.06;
0.94;0.05;
0.95;0.00;
0.96;0.03;
0.97;0.00;
0.98;0.00;
0.99;0.00;
1.00;0.00;
1.01;0.16;
1.02;0.11;
1.03;0.41;
1.04;1.12;
1.05;2.31;
1.06;3.69;
1.07;5.38;
1.08;7.09;
1.09;8.86;
1.10;10.77;
1.11;12.50;
1.12;14.30;
1.13;16.20;
1.14;17.86;
1.15;19.64;
1.16;21.42;
1.17;23.25;
1.18;25.06;
1.19;26.78;
1.20;28.47;
1.21;29.92;
1.22;31.62;
1.23;33.39;
1.24;35.25;
1.25;36.92;
1.26;38.58;
1.27;39.19;
1.28;41.58;
1.29;43.55;
1.30;45.27;
1.31;46.92;
1.32;48.53;
1.33;50.12;
1.34;51.64;
1.35;53.28;
1.36;54.78;
1.37;56.17;
1.38;57.70;
1.39;59.08;
1.40;59.94;
1.41;61.19;
1.42;62.73;
1.43;64.19;
1.44;65.72;
1.45;67.42;
1.46;68.89;
1.47;70.39;
1.48;71.81;
1.49;73.61;
1.50;75.12;
1.51;76.55;
1.52;78.00;
1.53;79.42;
1.54;80.83;
1.55;82.39;
1.56;83.77;
1.57;85.16;
1.58;86.64;
1.59;80.84;
1.60;62.66;
1.61;51.41;
1.62;44.14;
1.63;39.03;
1.64;35.39;
1.65;32.39;
1.66;30.00;
1.67;28.31;
1.68;26.61;
1.69;25.36;
1.70;24.14;
1.71;23.20;
1.72;22.27;
1.73;21.52;
1.74;20.95;
1.75;20.33;
1.76;19.77;
1.77;19.23;
1.78;18.78;
1.79;18.52;
1.80;17.97;
1.81;17.66;
1.82;17.20;
1.83;16.75;
1.84;16.45;
1.85;16.17;
1.86;15.97;
1.87;15.72;
1.88;15.31;
1.89;15.17;
1.90;14.88;
1.91;14.56;
1.92;14.23;
1.93;14.06;
1.94;13.92;
1.95;13.58;
1.96;13.36;
1.97;13.22;
1.98;13.05;
1.99;12.81;
2.00;12.50;
2.01;12.36;
2.02;12.12;
2.03;12.14;
2.04;11.86;
2.05;11.73;
2.06;11.48;
2.07;11.36;
2.08;11.25;
2.09;11.11;
2.10;10.97;
2.11;10.72;
2.12;10.80;
2.13;10.53;
2.14;10.39;
2.15;10.31;
2.16;10.11;
2.17;9.88;
2.18;9.91;
2.19;9.83;
2.20;9.53;
2.21;9.52;
2.22;9.41;
2.23;9.33;
2.24;9.16;
2.25;8.95;
2.26;8.89;
2.27;8.84;
2.28;8.56;
2.29;8.59;
2.30;8.55;
2.31;8.50;
2.32;8.36;
2.33;8.31;
2.34;8.08;
2.35;7.98;
2.36;7.80;
2.37;7.94;
2.38;7.69;
2.39;7.59;
2.40;7.53;
2.41;7.38;
2.42;7.25;
2.43;7.27;
2.44;7.00;
2.45;6.95;
2.46;6.95;
2.47;6.89;
2.48;6.73;
2.49;6.80;
2.50;6.75;
2.51;6.62;
2.52;6.55;
2.53;6.42;
2.54;6.28;
2.55;6.36;
2.56;6.31;
2.57;6.19;
2.58;5.97;
2.59;6.02;
2.60;5.84;
2.61;5.84;
2.62;5.78;
2.63;5.84;
2.64;5.72;
2.65;5.59;
2.66;5.56;
2.67;5.53;
2.68;5.44;
2.69;5.45;
2.70;5.34;
2.71;5.25;
2.72;5.23;
2.73;5.27;
2.74;5.09;
2.75;5.17;
2.76;5.03;
2.77;5.00;
2.78;4.91;
2.79;4.94;
2.80;4.83;
2.81;4.78;
2.82;4.59;
2.83;4.64;
2.84;4.70;
2.85;4.55;
2.86;4.45;
2.87;4.50;
2.88;4.50;
2.89;4.45;
2.90;4.31;
2.91;4.22;
2.92;4.23;
2.93;4.17;
2.94;4.09;
2.95;4.14;
2.96;3.95;
2.97;4.08;
2.98;4.00;
2.99;3.98;
3.00;3.81;
3.01;3.88;
3.02;3.89;
3.03;3.83;
3.04;3.77;
3.05;3.67;
3.06;3.67;
3.07;3.75;
3.08;3.59;
3.09;3.64;
3.10;3.55;
3.11;3.50;
3.12;3.39;
3.13;3.45;
3.14;3.36;
3.15;3.44;
3.16;3.22;
3.17;3.38;
3.18;3.34;
3.19;3.38;
3.20;3.17;
3.21;3.20;
3.22;3.23;
3.23;3.09;
3.24;3.00;
3.25;3.02;
3.26;2.95;
3.27;3.00;
3.28;2.95;
3.29;2.89;
3.30;2.88;
3.31;2.92;
3.32;2.84;
3.33;2.91;
3.34;2.73;
3.35;2.77;
3.36;2.58;
3.37;2.59;
3.38;2.77;
3.39;2.66;
3.40;2.72;
3.41;2.55;
3.42;2.66;
3.43;2.58;
3.44;2.44;
3.45;2.39;
3.46;2.50;
3.47;2.50;
3.48;2.39;
3.49;1.84;
3.50;0.14;
3.51;0.16;
3.52;0.19;
3.53;0.17;
3.54;0.17;
3.55;0.00;
