"Time [s]";"Entry Name";"Entry Value";
0.00;"CNAP Software Version";"5.2.17";
0.00;"ID#";"NA";
0.00;"Category";"Adult";
0.00;"Name";"NY 1";
0.00;"Gender";"M";
0.00;"Cuff Controller Serial No";"8201121013";
0.00;"Cuff Serial No";"BF000005-C147DE33";
0.00;"Cuff Size";"Small";
0.00;"Monitor Version";"CNAP Monitor 500at + HD";
0.00;"Software Version";"v5.2.18 CE";
0.00;"CNAP Monitor Serial No";"050020261540";
0.00;"CNAP Interval";"01:00:00";
0.00;"NBP Measurement Type";"60 min";
0.00;"Beat Averaging";"Off";
0.00;"Height";"170 cm";
0.00;"Weight";"60 kg";
0.00;"Age";"22 years";
0.00;"Body Surface Area";"1.68 m^2";
0.00;"Start Recording";;
169.99;"Name";"NY 2";
179.18;"Height";"169 cm";
179.18;"Weight";"60 kg";
179.18;"Age";"22 years";
179.20;"Body Surface Area";"1.67 m^2";
266.44;"Elapsed Cuff Lifetime";"103:35:52";
266.44;"Total Cuff Lifetime";"150:00:00";
266.44;"Stop Recording";;
