session_id,elapsed_s,sample_index,effective_rate_hz,waveform_label,wave_bpm,peak_like,trough_like
cnap_20260402_165206,3.021720000,303,100.274016123,ch2,125.000000000,673.000000000,669.666666667
cnap_20260402_165206,4.031754833,404,100.204505664,ch2,126.984126984,673.000000000,669.750000000
cnap_20260402_165206,5.041517916,505,100.168244647,ch2,127.388535032,673.000000000,669.600000000
cnap_20260402_165206,6.051563208,606,100.139415085,ch2,126.984126984,673.000000000,669.416666667
cnap_20260402_165206,7.062014041,707,100.113083307,ch2,129.496402878,672.937500000,669.533333333
cnap_20260402_165206,8.068938833,807,100.013151258,ch2,129.606099111,672.888888889,669.411764706
cnap_20260402_165206,9.071525416,908,100.093419614,ch2,127.829560586,672.941176471,669.312500000
cnap_20260402_165206,10.081863958,1009,100.080699780,ch2,117.187500000,672.937500000,669.200000000
cnap_20260402_165206,11.090968000,1110,100.081435633,ch2,117.801047120,672.937500000,669.000000000
cnap_20260402_165206,12.101786666,1211,100.067868772,ch2,120.805369128,672.937500000,669.000000000
cnap_20260402_165206,13.110303750,1312,100.073959003,ch2,117.801047120,672.875000000,669.000000000
cnap_20260402_165206,14.111885916,1412,100.057498226,ch2,115.979381443,672.750000000,668.933333333
cnap_20260402_165206,15.121757708,1513,100.054506177,ch2,114.795918367,672.750000000,668.800000000
cnap_20260402_165206,16.132960333,1614,100.043635308,ch2,115.236875800,672.750000000,668.800000000
cnap_20260402_165206,17.141307000,1715,100.050713752,ch2,112.299465241,672.733333333,668.857142857
cnap_20260402_165206,18.150583958,1816,100.051877350,ch2,110.526315789,672.666666667,668.785714286
cnap_20260402_165206,20.161802250,2017,100.040659808,ch2,66.561014263,673.000000000,668.571428571
cnap_20260402_165206,21.172206166,2118,100.036811629,ch2,114.722753346,672.636363636,668.600000000
cnap_20260402_165206,22.167419625,2216,99.966529144,ch2,108.352144470,672.666666667,668.750000000
cnap_20260402_165206,23.182017166,2319,100.034435459,ch2,104.347826087,672.857142857,668.666666667
cnap_20260402_165206,24.191494791,2420,100.035157848,ch2,119.047619048,672.833333333,668.600000000
cnap_20260402_165206,25.200119166,2521,100.039209473,ch2,132.352941176,672.750000000,668.333333333
cnap_20260402_165206,26.211999083,2622,100.030523872,ch2,142.857142857,673.000000000,668.000000000
cnap_20260402_165206,27.221315416,2723,100.031903616,ch2,132.985658409,615.333333333,612.176470588
cnap_20260402_165206,28.231497791,2824,100.030116039,ch2,133.159268930,615.277777778,612.117647059
cnap_20260402_165206,29.251781750,2926,100.028094870,ch2,136.363636364,615.263157895,612.111111111
