経過時間,現在時刻,計測回数,Beat Sys [mmHg],Beat Mean [mmHg],Beat Dia [mmHg],Beat HR [bpm]
1.590850167,2026-04-02T17:14:23,1,526.000000000,202.000000000,1021.000000000,1020.000000000
2.321075958,2026-04-02T17:14:24,2,521.000000000,200.000000000,1021.000000000,1021.000000000
3.111734083,2026-04-02T17:14:25,3,527.000000000,201.000000000,1021.000000000,1019.000000000
3.860716833,2026-04-02T17:14:26,4,526.000000000,201.000000000,1021.000000000,1021.000000000
4.609926292,2026-04-02T17:14:26,5,527.000000000,200.000000000,1019.000000000,1020.000000000
5.441461333,2026-04-02T17:14:27,6,515.000000000,202.000000000,1019.000000000,1020.000000000
10.020310125,2026-04-02T17:14:32,7,460.000000000,201.000000000,1021.000000000,1020.000000000
10.821439583,2026-04-02T17:14:33,8,460.000000000,201.000000000,1021.000000000,1019.000000000
11.631576833,2026-04-02T17:14:33,9,464.000000000,201.000000000,1021.000000000,1021.000000000
12.371391667,2026-04-02T17:14:34,10,467.000000000,200.000000000,1020.000000000,1021.000000000
13.151707542,2026-04-02T17:14:35,11,471.000000000,199.000000000,1019.000000000,1022.000000000
13.924338042,2026-04-02T17:14:36,12,471.000000000,201.000000000,1020.000000000,1021.000000000
14.711631250,2026-04-02T17:14:37,13,472.000000000,201.000000000,1021.000000000,1021.000000000
15.491447208,2026-04-02T17:14:37,14,476.000000000,200.000000000,1020.000000000,1020.000000000
16.291941417,2026-04-02T17:14:38,15,478.000000000,200.000000000,1020.000000000,1021.000000000
17.061607792,2026-04-02T17:14:39,16,481.000000000,200.000000000,1020.000000000,1019.000000000
17.801449875,2026-04-02T17:14:40,17,486.000000000,200.000000000,1020.000000000,1021.000000000
18.590948208,2026-04-02T17:14:40,18,487.000000000,200.000000000,1019.000000000,1020.000000000
19.361440833,2026-04-02T17:14:41,19,489.000000000,200.000000000,1021.000000000,1021.000000000
20.100479708,2026-04-02T17:14:42,20,496.000000000,200.000000000,1020.000000000,1021.000000000
20.871324625,2026-04-02T17:14:43,21,505.000000000,201.000000000,1020.000000000,1021.000000000
21.661465083,2026-04-02T17:14:43,22,507.000000000,201.000000000,1019.000000000,1021.000000000
22.420182792,2026-04-02T17:14:44,23,507.000000000,201.000000000,1020.000000000,1020.000000000
23.185316000,2026-04-02T17:14:45,24,515.000000000,201.000000000,1021.000000000,1021.000000000
23.981435458,2026-04-02T17:14:46,25,509.000000000,202.000000000,1020.000000000,1020.000000000
24.751399958,2026-04-02T17:14:47,26,512.000000000,200.000000000,1019.000000000,1021.000000000
25.511417000,2026-04-02T17:14:47,27,517.000000000,201.000000000,1020.000000000,1019.000000000
26.281439042,2026-04-02T17:14:48,28,519.000000000,201.000000000,1019.000000000,1020.000000000
27.031215542,2026-04-02T17:14:49,29,523.000000000,201.000000000,1020.000000000,1022.000000000
27.811448750,2026-04-02T17:14:50,30,535.000000000,200.000000000,1020.000000000,1022.000000000
28.611473000,2026-04-02T17:14:50,31,532.000000000,201.000000000,1020.000000000,1021.000000000
29.371407417,2026-04-02T17:14:51,32,514.000000000,199.000000000,1020.000000000,1019.000000000
30.141409750,2026-04-02T17:14:52,33,513.000000000,202.000000000,1021.000000000,1019.000000000
30.891072500,2026-04-02T17:14:53,34,509.000000000,201.000000000,1020.000000000,1021.000000000
31.571996833,2026-04-02T17:14:53,35,532.000000000,201.000000000,1019.000000000,1021.000000000
32.240609292,2026-04-02T17:14:54,36,512.000000000,200.000000000,1019.000000000,1021.000000000
32.920687708,2026-04-02T17:14:55,37,501.000000000,200.000000000,1020.000000000,1022.000000000
33.621417250,2026-04-02T17:14:55,38,491.000000000,200.000000000,1017.000000000,1021.000000000
34.260357625,2026-04-02T17:14:56,39,512.000000000,201.000000000,1019.000000000,1021.000000000
35.052457083,2026-04-02T17:14:57,40,542.000000000,201.000000000,1019.000000000,1020.000000000
35.621454250,2026-04-02T17:14:57,41,584.000000000,202.000000000,1020.000000000,1021.000000000
