fit,session,method,n,SBP_mae,SBP_rmse,SBP_bias,DBP_mae,DBP_rmse,DBP_bias,PP_mae,PP_bias,SBP_corr,DBP_corr
smartphone_rich_baseline,eitaro_20260410_155023,RTBP,206,1.3286567570833354,1.642428873069486,-0.20038593503942806,0.6646534111608481,0.8208903993807762,0.10172179309077575,1.9922663910787626,-0.30210772813020387,0.35759070853513086,0.36378780247775305
smartphone_rich_baseline,eitaro_20260410_155023,SinBP_D,203,1.2684788431203267,1.6835668031220756,-0.39776702590383545,0.6350648709901316,0.8401214564278815,0.19818003787941865,1.9030540986988311,-0.5959470637832541,0.22908605874749716,0.2351983235660382
smartphone_rich_baseline,eitaro_20260410_155023,SinBP_M,183,1.279594343655487,1.617144426791332,-0.13061957656079892,0.6395455691107697,0.8090360557436475,0.0663241803847693,1.917435392587594,-0.19694375694556837,0.2739743356562952,0.28480060919526873
smartphone_rich_baseline,jin_20260409_182834,RTBP,97,2.3228170850539867,3.211673877476395,-0.40063109428607363,1.1713580799127303,1.6113335241431745,0.19778737566756346,3.4937197218956646,-0.5984184699536371,0.30588457856688944,0.31086622182445445
smartphone_rich_baseline,jin_20260409_182834,SinBP_D,86,2.1323913469271023,2.9038556936895836,-0.10347898476142546,1.0736693417282386,1.4636824372169825,0.0515202924486573,3.2059957484419406,-0.15499927721008275,0.5024985986041437,0.4980152394591925
smartphone_rich_baseline,jin_20260409_182834,SinBP_M,75,2.082619344417699,2.9869166187272844,-0.5107829171315613,1.0463623688488397,1.4960258154479018,0.2590296826971765,3.128956725598864,-0.7698125998287378,0.4909763106925975,0.48951460750867726
smartphone_rich_baseline,yu_20260409_182115,RTBP,56,1.3629406160858668,1.7719397703622304,0.15001346828447915,0.6867747043372595,0.8915009605711885,-0.06429701829233155,2.0472764435287845,0.21431048657681068,0.14205439414773668,0.13755741622026066
smartphone_rich_baseline,yu_20260409_182115,SinBP_D,52,1.4907114439758997,1.9396579818274682,0.6942129409265164,0.7507977209672703,0.9705306199567202,-0.33555378286476195,2.240218114604388,1.0297667237912784,0.039961159743419766,0.040964671132776895
smartphone_rich_baseline,yu_20260409_182115,SinBP_M,42,1.4148975433501452,1.8274696415357725,0.32809052786914045,0.7143022766308567,0.9259497718949177,-0.15839764437828543,2.1291998199810016,0.4864881722474259,-0.16836328543471285,-0.2033102202352149
smartphone_rich_baseline,zawa_20260409_181339,RTBP,40,2.2649349910585013,2.7926842439181425,2.0850871255299874,1.1346673120451467,1.4012244316912996,-1.049142947429171,3.3996023031036477,3.1342300729591583,-0.22259996295929432,-0.23323367200932563
smartphone_rich_baseline,zawa_20260409_181339,SinBP_D,39,1.9436836364960726,2.393454544871266,1.5372548627115759,0.97321041320983,1.2000048202569418,-0.777496260915319,2.914683765234144,2.3147511236268947,-0.2287068181746907,-0.2328067791137918
smartphone_rich_baseline,zawa_20260409_181339,SinBP_M,41,2.2209809800877807,2.738602003771125,2.006545480411389,1.11315225818746,1.3745576137109268,-1.012147539704834,3.3316882745561895,3.0186930201162228,-0.22645834341091978,-0.2314079640314329
smartphone_rich_baseline,ALL,RTBP,399,1.6690191061467476,2.263378981262268,0.02923188090541106,0.8380611838981502,1.1346781415730125,-0.013599714549082572,2.5060883773129383,0.04283159545449363,0.9410133140192336,0.9396109965601215
smartphone_rich_baseline,ALL,SinBP_D,380,1.5637039944717122,2.127280008014739,0.016858193752550335,0.7848695258029122,1.0670452551413014,-0.008183836959364605,2.347893750540604,0.025042030711914975,0.9469402754537622,0.9455375876974818
smartphone_rich_baseline,ALL,SinBP_M,341,1.5860649053506943,2.163047135781717,0.09922599874450892,0.7951728886073773,1.0845672019439965,-0.048639879704062076,2.38002358639135,0.147865878448571,0.9439268875887123,0.9425761564386003
