fit,session,method,n,SBP_mae,SBP_rmse,SBP_bias,DBP_mae,DBP_rmse,DBP_bias,PP_mae,PP_bias,SBP_corr,DBP_corr
smartphone_rich_baseline_loso,eitaro_20260410_155023,RTBP,206,13.722052486848373,13.818846525776578,13.722052486848373,6.794642530948873,6.84324080552452,-6.794642530948873,20.516695017797247,20.516695017797247,0.3423239084999954,0.3505378895501862
smartphone_rich_baseline_loso,eitaro_20260410_155023,SinBP_D,203,13.599712412825827,13.699743123219527,13.599712412825827,6.719214709772912,6.769403457838372,-6.719214709772912,20.31892712259874,20.31892712259874,0.2674564045034493,0.27247729822373223
smartphone_rich_baseline_loso,eitaro_20260410_155023,SinBP_M,183,14.037351181971399,14.140397298558337,14.037351181971399,6.947487107909465,6.999673626697292,-6.947487107909465,20.984838289880862,20.984838289880862,0.17857103874882965,0.18059146757006558
smartphone_rich_baseline_loso,jin_20260409_182834,RTBP,97,6.711236587695076,7.413704142354294,-6.658723229048497,3.378440712412054,3.7319856766007735,3.353763149376314,10.089677300107128,-10.012486378424809,0.13681650244788995,0.1378352842640714
smartphone_rich_baseline_loso,jin_20260409_182834,SinBP_D,86,11.448729755968541,11.842249856504631,-11.448729755968541,5.7168303164765035,5.9167063705085265,5.7168303164765035,17.165560072445043,-17.165560072445043,0.40516800949842974,0.40770839734852327
smartphone_rich_baseline_loso,jin_20260409_182834,SinBP_M,75,17.005189757721844,17.277626087360037,-17.005189757721844,8.494012964499568,8.630505308128953,8.494012964499568,25.49920272222141,-25.49920272222141,0.3489963653686757,0.35055991967107053
smartphone_rich_baseline_loso,yamaguchi_20260410_180602,RTBP,96,6.821661055472369,7.072304853863248,-6.821661055472369,3.3518742671165698,3.483473814381182,3.3518742671165698,10.173535322588938,-10.173535322588938,-0.03535045900800323,-0.0543895989074379
smartphone_rich_baseline_loso,yamaguchi_20260410_180602,SinBP_D,87,7.916202903758687,8.097807010331474,-7.916202903758687,3.891299087800631,3.9839213562879707,3.891299087800631,11.807501991559318,-11.807501991559318,0.010293427356219974,0.016044164537805564
smartphone_rich_baseline_loso,yamaguchi_20260410_180602,SinBP_M,72,7.451027582200516,7.686738007494313,-7.451027582200516,3.6730992345338964,3.7962355987266907,3.6730992345338964,11.124126816734412,-11.124126816734412,0.061186903553670874,0.05659073370680728
smartphone_rich_baseline_loso,yu_20260409_182115,RTBP,56,13.306246665831932,13.423446478398592,-13.306246665831932,6.621370457726529,6.681115370333656,6.621370457726529,19.927617123558463,-19.927617123558463,0.10965948821897716,0.10324289171606182
smartphone_rich_baseline_loso,yu_20260409_182115,SinBP_D,52,9.667677751737248,9.836216245923143,-9.667677751737248,4.803688525422092,4.889412107311005,4.803688525422092,14.47136627715934,-14.47136627715934,0.02392638809687281,0.026299659549839115
smartphone_rich_baseline_loso,yu_20260409_182115,SinBP_M,42,15.241573433964861,15.346248845642116,-15.241573433964861,7.58118070915012,7.635171197630022,7.58118070915012,22.822754143114977,-22.822754143114977,-0.16899823302802355,-0.1752478319934459
smartphone_rich_baseline_loso,yusuke_20260410_181941,RTBP,71,1.2522577208234718,1.7380269924457745,-0.25623643024750875,0.6307198778374833,0.8757663771225503,0.11177582623903919,1.8806455309320282,-0.36801225648654795,-0.1568807745150107,-0.17684386661540022
smartphone_rich_baseline_loso,yusuke_20260410_181941,SinBP_D,58,4.555172647789576,4.787238932900593,4.544002936565853,2.2999098461713525,2.4157849726556675,-2.296904500620771,6.8550824939609285,6.840907437186624,-0.04828493864840957,-0.04056164997245212
smartphone_rich_baseline_loso,yusuke_20260410_181941,SinBP_M,74,12.191856058646895,12.3080075909274,12.191856058646895,6.059837060937273,6.1190239688382135,-6.059837060937273,18.25169311958417,18.25169311958417,-0.0152887755386514,-0.004335279659505576
smartphone_rich_baseline_loso,zawa_20260409_181339,RTBP,40,12.566843285649238,12.703270095542688,12.566843285649238,6.2577682611548955,6.326175257372737,-6.2577682611548955,18.82461154680413,18.82461154680413,-0.21846478101227942,-0.22639841539374927
smartphone_rich_baseline_loso,zawa_20260409_181339,SinBP_D,39,15.183827220493978,15.293737723955424,15.183827220493978,7.553545790296918,7.608402041987833,-7.553545790296918,22.737373010790897,22.737373010790897,-0.24473883549778747,-0.25037922227087794
smartphone_rich_baseline_loso,zawa_20260409_181339,SinBP_M,41,14.584300003911743,14.699162137154703,14.584300003911743,7.273016075872217,7.330297605152256,-7.273016075872217,21.857316079783956,21.857316079783956,-0.09309396999167868,-0.09334196756550667
smartphone_rich_baseline_loso,ALL,RTBP,566,9.663155592780141,10.817383353541683,2.235509415794209,4.796949871957545,5.3693675579793485,-1.1027902957479028,14.459812926206318,3.3382997115421116,-0.7524164670598432,-0.7536820734399275
smartphone_rich_baseline_loso,ALL,SinBP_D,525,11.034534380391124,11.657614447558434,2.7437017085582673,5.470411188878099,5.778968634054843,-1.355861146216957,16.504945569269225,4.099562854775225,-0.6928023629066156,-0.6942960002757753
smartphone_rich_baseline_loso,ALL,SinBP_M,487,13.390140075513589,13.833414047974948,3.320286679316054,6.648738089067279,6.874115553539539,-1.6387844668569567,20.03887816458087,4.9590711461730095,-0.44909430015297985,-0.4559861953718994
