経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, SBP, DBP
0.037, 8.9414, 87.9198, -0.4992, -0.7489, 129.48, 97.58
1.114, 3.0863, 88.7285, -0.5418, -0.6896, 109.04, 71.50
1.755, 3.8476, 89.8056, -0.6000, -0.4500, 101.69, 64.92
2.392, 4.7888, 91.6653, -0.6178, -0.3604, 100.52, 65.38
3.085, 9.3629, 92.9113, -0.6217, -0.3611, 113.42, 82.80
4.530, 8.7032, 89.7010, -0.5723, -0.4292, 116.02, 84.32
6.030, 8.1265, 89.8278, -0.4453, -0.5937, 123.04, 93.40
6.703, 7.2763, 90.5015, -0.5502, -0.5517, 116.12, 83.51
7.971, 9.2590, 89.8222, -0.5394, -0.3923, 117.34, 87.21
8.572, 8.3763, 87.4644, -0.4219, -0.4688, 121.16, 91.86
9.237, 9.2774, 93.2406, -0.6040, -0.4942, 117.80, 87.09
9.808, 8.9613, 91.7784, -0.5467, -0.4473, 117.41, 87.46
11.249, 8.0294, 97.8994, -0.5175, -0.6346, 119.56, 91.44
11.884, 8.9602, 95.8563, -0.5164, -0.5164, 119.18, 91.53
12.550, 8.9284, 95.1673, -0.6220, -0.5197, 116.50, 85.77
13.250, 5.4031, 92.6306, -0.5955, -0.5459, 108.55, 74.10
13.987, 9.3220, 88.9723, -0.6120, -0.4237, 116.79, 84.31
14.650, 9.2207, 85.0239, -0.4912, -0.4016, 120.34, 89.20
16.148, 9.1941, 87.6755, -0.5973, -0.4977, 119.59, 86.44
16.825, 6.6567, 84.8451, -0.5425, -0.4521, 113.10, 78.05
17.556, 9.3518, 86.7572, -0.6346, -0.3905, 115.89, 82.00
20.363, 7.7283, 84.2942, -0.4057, -0.4057, 118.68, 88.08
21.063, 9.3262, 84.9381, -0.5635, -0.4237, 119.39, 86.34
21.700, 8.6551, 85.3852, -0.5665, -0.4249, 117.24, 83.71
23.808, 4.8352, 89.5056, -0.6724, -0.5172, 104.83, 66.61
24.473, 9.4189, 89.3290, -0.5884, -0.3432, 115.05, 83.79
25.216, 5.6158, 89.7750, -0.6451, -0.3970, 103.94, 67.80
25.882, 9.4569, 85.0257, -0.5330, -0.3997, 119.82, 87.82
26.551, 9.3624, 87.5485, -0.5940, -0.3970, 117.00, 84.49
27.251, 9.1292, 88.5390, -0.6403, -0.3940, 114.64, 81.19
27.984, 9.4556, 87.1038, -0.6129, -0.3771, 116.25, 83.24
28.620, 9.2508, 84.4575, -0.4945, -0.3607, 119.21, 87.94
29.386, 6.1788, 89.1254, -0.6745, -0.4151, 105.56, 68.78
30.683, 2.3886, 83.3213, -0.6884, -0.6023, 101.87, 57.87
32.157, 3.1255, 82.6956, -0.4501, -0.6320, 111.72, 74.11
32.893, 5.4589, 83.9424, -0.5156, -0.5156, 112.64, 76.52
34.133, 5.1935, 82.6574, -0.5360, -0.3134, 105.26, 68.73
34.837, 8.9590, 87.9838, -0.6207, -0.3621, 113.83, 80.64
35.501, 9.2288, 86.5836, -0.5156, -0.4219, 119.85, 88.70
36.204, 9.2288, 88.4974, -0.5475, -0.4465, 119.17, 87.94
36.941, 8.8018, 86.8316, -0.5156, -0.4205, 118.48, 87.07
37.641, 8.1157, 84.0340, -0.4925, -0.4925, 120.28, 87.26
38.276, 4.8068, 84.8658, -0.4243, -0.4714, 111.55, 77.83
39.574, 8.9800, 89.4189, -0.5717, -0.5197, 119.82, 87.83
40.279, 8.8431, 89.9551, -0.5973, -0.4465, 116.22, 84.03
40.920, 4.5249, 87.4636, -0.4681, -0.4199, 107.07, 73.39
41.553, 7.7466, 90.4296, -0.5647, -0.4633, 114.30, 82.11
42.249, 9.4898, 92.5569, -0.6240, -0.4171, 115.63, 84.64
42.986, 7.2228, 89.3356, -0.5223, -0.4273, 113.12, 81.24
43.621, 5.9130, 85.1290, -0.3564, -0.4919, 117.22, 86.26
44.253, 5.9130, 89.5648, -0.4142, -0.5717, 116.80, 85.98
46.328, 8.8849, 92.1725, -0.5744, -0.4699, 117.03, 86.36
46.957, 7.3890, 88.8262, -0.5657, -0.4714, 113.98, 80.69
47.631, 9.1714, 92.0615, -0.6306, -0.3678, 113.10, 81.66
49.735, 9.1856, 90.4474, -0.5378, -0.4385, 118.45, 88.36
51.005, 9.2384, 85.8757, -0.4946, -0.3597, 118.70, 88.07
51.733, 9.3159, 87.8680, -0.5922, -0.4453, 118.35, 85.77
52.438, 9.3159, 85.0556, -0.5426, -0.4533, 120.84, 88.24
53.775, 9.3267, 85.0810, -0.5617, -0.3745, 117.83, 85.11
54.446, 9.1735, 83.3790, -0.4946, -0.4482, 122.11, 89.88
55.142, 8.8671, 86.3555, -0.5418, -0.4433, 118.83, 86.48
55.817, 9.2149, 86.2191, -0.4735, -0.4735, 122.73, 92.25
56.516, 8.9259, 87.5337, -0.5378, -0.4889, 120.20, 88.33
57.150, 9.2330, 86.6770, -0.5179, -0.4721, 121.38, 89.98
57.893, 9.3987, 90.5506, -0.6761, -0.4171, 114.55, 81.22
58.610, 9.3820, 85.3720, -0.5774, -0.3997, 118.27, 85.22
59.991, 8.6853, 84.4591, -0.5042, -0.4136, 118.98, 86.72
60.726, 9.3038, 87.3742, -0.6471, -0.4480, 117.04, 82.80
61.458, 9.2720, 84.4059, -0.5837, -0.4041, 118.22, 84.44
62.136, 9.2078, 83.1687, -0.4959, -0.4057, 120.88, 88.75
62.866, 9.1979, 85.8108, -0.6824, -0.4372, 115.91, 80.00
65.803, 9.3454, 83.9623, -0.5425, -0.4068, 119.79, 86.93
66.473, 5.5075, 83.0102, -0.5417, -0.4514, 110.31, 73.43
67.812, 5.9468, 86.1572, -0.5910, -0.3448, 105.86, 70.01
68.509, 9.2648, 85.7509, -0.5619, -0.3286, 115.97, 83.71
69.245, 9.3908, 85.9168, -0.5667, -0.4261, 119.26, 86.62
69.916, 9.2562, 83.6033, -0.4925, -0.4478, 122.32, 90.32
70.682, 9.2651, 86.4133, -0.6379, -0.4426, 117.31, 82.86
71.387, 8.1990, 82.1728, -0.5157, -0.4308, 118.50, 84.39
72.054, 9.0970, 83.6722, -0.5625, -0.4219, 119.08, 85.29
72.820, 9.3244, 86.6999, -0.6432, -0.3958, 115.76, 81.57
73.552, 9.0868, 82.3021, -0.4726, -0.4308, 122.24, 90.09
74.897, 6.4342, 82.0782, -0.4952, -0.4052, 113.11, 78.05
75.590, 8.8678, 83.5648, -0.5603, -0.4667, 119.94, 85.74
76.228, 8.8678, 85.0457, -0.5700, -0.4286, 117.99, 84.39
76.900, 8.9233, 89.3188, -0.5690, -0.3621, 114.74, 83.45
78.368, 7.0831, 89.3022, -0.4420, -0.5893, 120.10, 89.40
79.637, 8.9585, 89.7615, -0.5955, -0.3970, 115.09, 83.19
80.307, 8.9186, 85.0197, -0.4886, -0.4441, 120.89, 89.35
80.948, 8.7075, 87.2271, -0.5910, -0.4433, 116.74, 83.37
81.643, 9.3412, 90.3030, -0.6693, -0.3588, 112.79, 79.75
82.375, 9.1792, 88.2723, -0.6173, -0.3799, 115.05, 82.19
83.081, 9.2896, 85.0030, -0.5410, -0.4057, 119.31, 86.92
83.712, 9.3349, 84.9944, -0.5142, -0.4207, 120.66, 88.93
85.209, 9.2623, 89.7580, -0.6799, -0.4707, 116.01, 81.85
85.882, 9.2561, 86.0545, -0.5000, -0.4077, 120.08, 89.18
86.585, 9.2119, 87.5764, -0.5884, -0.4413, 118.11, 85.43
88.021, 6.1201, 86.4481, -0.5164, -0.4225, 110.80, 76.82
88.691, 9.2315, 88.1020, -0.5434, -0.4446, 119.35, 88.07
90.165, 7.3093, 88.8212, -0.4910, -0.5418, 118.05, 86.29
90.830, 6.7516, 88.9868, -0.4413, -0.4903, 116.09, 85.44
91.527, 7.7077, 89.6689, -0.5467, -0.5467, 117.57, 85.09
