経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, E, SBP, DBP
0.037, 7.7289, 1.1772, -0.4925, -0.4910, 2.5207, 104.49, 70.61
1.114, 7.7289, 52.7704, -0.5418, -0.6896, 2.5207, 104.49, 70.61
1.755, 3.0863, 74.8130, -0.6000, -0.4500, 4.3449, 125.49, 84.84
2.392, 3.8476, 89.8204, -0.6178, -0.3604, 1.2016, 77.46, 46.75
3.085, 4.7888, 94.3396, -0.6217, -0.3611, 1.5004, 79.75, 49.69
4.530, 9.3677, 85.7143, -0.5723, -0.4292, 3.8473, 119.06, 86.10
6.030, 5.4173, 90.0901, -0.4453, -0.5937, 2.3970, 92.77, 58.86
6.703, 8.1265, 71.5137, -0.5502, -0.5517, 3.2138, 119.24, 90.77
7.971, 3.9699, 88.8889, -0.5394, -0.3923, 2.6453, 97.05, 61.96
8.572, 9.2590, 105.4482, -0.4219, -0.4688, 1.6871, 93.25, 67.50
9.237, 8.3763, 85.8369, -0.6040, -0.4942, 3.4856, 120.65, 93.90
9.808, 9.2774, 99.6678, -0.5467, -0.4473, 4.2366, 125.76, 92.63
11.249, 2.8266, 105.6338, -0.5175, -0.6346, 1.7360, 83.21, 47.51
11.884, 2.8266, 74.8130, -0.5164, -0.5164, 1.7360, 83.21, 47.51
12.550, 8.9602, 93.7500, -0.6220, -0.5197, 3.9460, 124.72, 95.59
13.250, 8.9284, 95.5414, -0.5955, -0.5459, 3.3909, 113.98, 82.63
13.987, 5.4031, 89.2857, -0.6120, -0.4237, 2.4474, 98.83, 65.07
14.650, 9.3220, 85.3485, -0.4912, -0.4016, 4.2239, 124.91, 89.10
16.148, 9.2120, 89.5522, -0.5973, -0.4977, 3.6436, 115.92, 81.75
16.825, 9.1941, 78.1250, -0.5425, -0.4521, 4.0154, 124.30, 88.96
17.556, 6.6567, 82.3045, -0.6346, -0.3905, 3.8289, 118.88, 83.44
20.363, 7.7283, 77.8210, -0.4057, -0.4057, 3.0246, 116.50, 86.87
21.063, 7.7283, 101.8676, -0.5635, -0.4237, 3.9513, 126.40, 94.74
21.700, 9.3262, 83.7989, -0.5665, -0.4249, 4.3144, 127.85, 93.17
23.808, 9.1399, 95.6938, -0.6724, -0.5172, 3.8044, 112.70, 77.12
24.473, 4.8352, 74.3494, -0.5884, -0.3432, 4.1991, 117.28, 76.21
25.216, 9.4189, 90.0901, -0.6451, -0.3970, 1.7677, 91.15, 65.26
25.882, 5.6158, 89.9550, -0.5330, -0.3997, 2.5546, 95.91, 59.73
26.551, 9.4569, 80.9717, -0.5940, -0.3970, 4.3345, 128.52, 95.69
27.251, 9.3624, 90.0901, -0.6403, -0.3940, 3.9005, 120.18, 87.35
27.984, 9.1292, 89.4188, -0.6129, -0.3771, 3.7473, 116.29, 81.86
28.620, 9.4556, 85.4701, -0.4945, -0.3607, 4.1109, 122.61, 87.19
29.386, 9.2508, 82.0793, -0.6745, -0.4151, 3.7618, 121.00, 91.32
30.683, 7.1290, 78.1250, -0.6884, -0.6023, 3.0112, 111.62, 79.48
32.157, 2.3886, 80.9717, -0.4501, -0.6320, 0.9858, 76.88, 40.00
32.893, 2.3886, 78.7402, -0.5156, -0.5156, 0.9858, 76.88, 40.00
34.133, 4.4705, 81.8554, -0.5360, -0.3134, 2.0828, 96.46, 62.81
34.837, 5.1935, 100.8403, -0.6207, -0.3621, 1.7161, 85.99, 55.99
35.501, 8.9590, 93.1677, -0.5156, -0.4219, 1.9589, 92.77, 63.59
36.204, 9.2288, 85.7143, -0.5475, -0.4465, 3.2227, 114.66, 85.47
36.941, 9.2288, 89.8204, -0.5156, -0.4205, 3.8272, 122.23, 89.73
37.641, 8.8018, 85.9599, -0.4925, -0.4925, 3.0516, 112.56, 81.49
38.276, 8.1157, 81.1908, -0.4243, -0.4714, 3.3914, 118.41, 86.25
39.574, 8.4207, 94.7867, -0.5717, -0.5197, 3.8559, 125.68, 94.99
40.279, 8.9800, 94.0439, -0.5973, -0.4465, 4.0387, 124.88, 91.92
40.920, 8.8431, 90.4977, -0.4681, -0.4199, 3.5325, 115.84, 82.73
41.553, 4.5249, 84.6262, -0.5647, -0.4633, 2.9046, 105.15, 73.36
42.249, 7.7466, 95.3895, -0.6240, -0.4171, 1.8912, 93.55, 66.68
42.986, 9.4898, 94.3396, -0.5223, -0.4273, 2.9130, 106.67, 76.27
43.621, 7.2228, 85.7143, -0.3564, -0.4919, 2.8707, 107.65, 75.50
44.253, 5.9130, 80.8625, -0.4142, -0.5717, 2.6006, 109.19, 82.09
46.328, 6.2966, 78.1250, -0.5744, -0.4699, 2.6435, 107.49, 78.64
46.957, 8.8849, 99.1736, -0.5657, -0.4714, 4.2928, 127.00, 92.85
47.631, 7.3890, 86.4553, -0.6306, -0.3678, 3.8102, 118.34, 85.37
49.735, 6.5223, 77.0218, -0.5378, -0.4385, 2.7645, 109.98, 81.21
51.005, 6.5595, 81.0811, -0.4946, -0.3597, 3.6736, 121.31, 88.03
51.733, 9.2384, 100.6711, -0.5922, -0.4453, 2.6081, 106.11, 79.16
52.438, 9.3159, 89.4188, -0.5426, -0.4533, 3.6211, 118.26, 84.58
53.775, 7.0004, 85.9599, -0.5617, -0.3745, 2.9645, 112.60, 80.97
54.446, 9.3267, 99.5025, -0.4946, -0.4482, 4.4133, 128.42, 92.85
55.142, 9.1735, 81.5217, -0.5418, -0.4433, 3.5851, 121.10, 90.36
55.817, 8.8671, 90.4977, -0.4735, -0.4735, 4.0091, 124.33, 90.80
