経過時間_秒, Green, SinWave
0.037, 2.05, 8.65
0.071, 3.93, 8.85
0.103, 5.96, 8.83
0.135, 6.76, 8.62
0.167, 7.57, 8.22
0.198, 8.22, 7.68
0.230, 8.64, 6.98
0.261, 9.01, 6.22
0.293, 9.30, 5.38
0.322, 9.50, 4.62
0.348, 9.68, 3.96
0.387, 9.85, 3.07
0.421, 9.95, 2.17
0.454, 9.93, 1.76
0.486, 9.81, 2.17
0.522, 9.62, 4.88
0.553, 9.37, 5.99
0.585, 9.09, 7.07
0.616, 8.85, 7.93
0.651, 8.87, 8.59
0.685, 8.11, 8.86
0.718, 7.32, 8.75
0.755, 6.88, 8.22
0.787, 6.86, 7.45
0.819, 7.25, 6.48
0.852, 7.88, 5.36
0.890, 8.56, 4.07
0.924, 8.96, 3.06
0.948, 9.32, 2.47
0.984, 9.62, 1.90
1.023, 9.79, 1.79
1.054, 9.86, 2.09
1.086, 9.92, 2.73
1.114, 9.91, 3.55
1.147, 9.81, 4.63
1.192, 9.63, 11.60
1.224, 9.37, 9.71
1.255, 9.07, 9.94
1.284, 8.69, 9.91
1.325, 8.22, 9.50
1.358, 7.75, 8.93
1.390, 7.36, 8.28
1.420, 7.26, 7.69
1.457, 6.42, 7.23
1.489, 6.07, 7.07
1.521, 6.88, 6.95
1.555, 7.83, 6.88
1.585, 8.67, 6.86
1.620, 9.23, 6.89
1.653, 9.66, 6.97
1.690, 9.89, 7.12
1.721, 9.95, 7.28
1.755, 9.89, 7.51
1.780, 9.74, 7.68
1.827, 9.49, 9.62
1.858, 9.15, 9.83
1.889, 8.73, 9.47
1.921, 8.24, 8.90
1.955, 7.71, 8.16
1.984, 7.08, 7.51
2.028, 6.38, 6.65
2.059, 5.79, 6.36
2.090, 5.33, 6.16
2.126, 5.17, 6.07
2.155, 5.84, 6.12
2.194, 6.69, 6.33
2.225, 7.69, 6.61
2.257, 8.61, 6.98
2.290, 9.31, 7.44
2.325, 9.71, 7.96
2.358, 9.73, 8.46
2.392, 9.41, 8.96
2.424, 8.85, 9.34
2.465, 8.10, 9.88
2.499, 7.18, 9.38
2.529, 6.20, 8.90
2.561, 5.13, 8.24
2.593, 4.02, 7.50
2.624, 2.89, 6.76
2.657, 1.85, 6.06
2.690, 1.44, 5.55
2.727, 0.73, 5.22
2.759, 0.36, 5.14
2.796, 0.58, 5.31
2.828, 1.34, 5.68
2.860, 2.59, 6.18
2.892, 4.14, 6.81
2.924, 5.65, 7.49
2.959, 7.05, 8.23
2.992, 8.31, 8.85
3.022, 9.42, 9.32
3.056, 9.79, 9.66
3.085, 9.55, 9.73
3.129, 9.08, 9.45
3.164, 8.41, 7.31
3.195, 7.59, 5.83
3.227, 6.66, 4.07
3.259, 5.65, 2.49
3.295, 4.56, 1.26
3.327, 3.46, 0.65
3.353, 2.28, 0.39
3.392, 1.77, 0.44
3.421, 1.40, 0.80
3.459, 0.86, 1.66
3.494, 0.43, 2.76
3.522, 0.45, 3.80
3.560, 0.97, 5.30
3.594, 1.95, 6.64
3.637, 3.18, 8.13
3.668, 4.48, 9.13
3.699, 5.72, 9.72
3.731, 6.80, 9.70
3.764, 7.67, 9.00
3.796, 8.37, 7.76
3.834, 9.11, 5.83
3.864, 8.82, 4.17
3.897, 8.02, 2.49
3.933, 7.03, 4.05
3.964, 5.97, 5.74
3.996, 4.79, 4.28
4.028, 3.50, 2.87
4.060, 2.19, 1.68
4.098, 1.93, 0.91
4.127, 1.50, 0.55
4.154, 1.00, 0.41
4.194, 0.47, 0.55
4.225, 0.41, 0.94
4.255, 0.75, 1.54
4.292, 1.53, 2.51
4.332, 2.53, 3.76
4.364, 3.52, 4.84
4.398, 4.37, 5.99
4.429, 5.08, 6.95
4.463, 5.63, 7.87
