経過時間_秒, Green, IBI, Smoothed_IBI, bpmSD, Smoothed_BPM
0.037, 2.05, 670.00, 676.22, 22.76, 88.73
0.071, 3.93, 670.00, 676.22, 22.76, 88.73
0.103, 5.96, 670.00, 676.22, 22.76, 88.73
0.135, 6.76, 670.00, 676.22, 22.76, 88.73
0.167, 7.57, 670.00, 676.22, 22.76, 88.73
0.198, 8.22, 670.00, 676.22, 22.76, 88.73
0.230, 8.64, 670.00, 676.22, 22.76, 88.73
0.261, 9.01, 670.00, 676.22, 22.76, 88.73
0.293, 9.30, 670.00, 676.22, 22.76, 88.73
0.322, 9.50, 670.00, 676.22, 22.76, 88.73
0.348, 9.68, 670.00, 676.22, 22.76, 88.73
0.387, 9.85, 670.00, 676.22, 22.76, 88.73
0.421, 9.95, 670.00, 676.22, 22.76, 88.73
0.454, 9.93, 670.00, 676.22, 22.89, 88.73
0.486, 9.81, 670.00, 676.22, 22.89, 88.73
0.522, 9.62, 670.00, 676.22, 22.89, 88.73
0.553, 9.37, 670.00, 676.22, 22.89, 88.73
0.585, 9.09, 670.00, 676.22, 22.89, 88.73
0.616, 8.85, 670.00, 676.22, 22.89, 88.73
0.651, 8.87, 670.00, 676.22, 22.89, 88.73
0.685, 8.11, 670.00, 676.22, 22.89, 88.73
0.718, 7.32, 670.00, 676.22, 22.89, 88.73
0.755, 6.88, 670.00, 676.22, 22.89, 88.73
0.787, 6.86, 670.00, 676.22, 22.89, 88.73
0.819, 7.25, 670.00, 676.22, 22.89, 88.73
0.852, 7.88, 670.00, 676.22, 22.89, 88.73
0.890, 8.56, 670.00, 676.22, 22.89, 88.73
0.924, 8.96, 670.00, 676.22, 22.89, 88.73
0.948, 9.32, 670.00, 676.22, 22.89, 88.73
0.984, 9.62, 670.00, 676.22, 22.89, 88.73
1.023, 9.79, 670.00, 676.22, 22.89, 88.73
1.054, 9.86, 670.00, 676.22, 22.89, 88.73
1.086, 9.92, 670.00, 676.22, 22.89, 88.73
1.114, 9.91, 660.00, 668.11, 22.54, 89.81
1.147, 9.81, 660.00, 668.11, 22.54, 89.81
1.192, 9.63, 660.00, 668.11, 22.54, 89.81
1.224, 9.37, 660.00, 668.11, 22.54, 89.81
1.255, 9.07, 660.00, 668.11, 22.54, 89.81
1.284, 8.69, 660.00, 668.11, 22.54, 89.81
1.325, 8.22, 660.00, 668.11, 22.54, 89.81
1.358, 7.75, 660.00, 668.11, 22.54, 89.81
1.390, 7.36, 660.00, 668.11, 22.54, 89.81
1.420, 7.26, 660.00, 668.11, 22.54, 89.81
1.457, 6.42, 660.00, 668.11, 22.54, 89.81
1.489, 6.07, 660.00, 668.11, 22.54, 89.81
1.521, 6.88, 660.00, 668.11, 22.54, 89.81
1.555, 7.83, 660.00, 668.11, 22.54, 89.81
1.585, 8.67, 660.00, 668.11, 22.54, 89.81
1.620, 9.23, 660.00, 668.11, 22.54, 89.81
1.653, 9.66, 660.00, 668.11, 22.54, 89.81
1.690, 9.89, 660.00, 668.11, 22.54, 89.81
1.721, 9.95, 660.00, 668.11, 22.54, 89.81
1.755, 9.89, 641.00, 654.55, 22.44, 91.67
1.780, 9.74, 641.00, 654.55, 22.44, 91.67
1.827, 9.49, 641.00, 654.55, 22.44, 91.67
1.858, 9.15, 641.00, 654.55, 22.44, 91.67
1.889, 8.73, 641.00, 654.55, 22.44, 91.67
1.921, 8.24, 641.00, 654.55, 22.44, 91.67
1.955, 7.71, 641.00, 654.55, 22.44, 91.67
1.984, 7.08, 641.00, 654.55, 22.44, 91.67
2.028, 6.38, 641.00, 654.55, 22.44, 91.67
2.059, 5.79, 641.00, 654.55, 22.44, 91.67
2.090, 5.33, 641.00, 654.55, 22.44, 91.67
2.126, 5.17, 641.00, 654.55, 22.44, 91.67
2.155, 5.84, 641.00, 654.55, 22.44, 91.67
2.194, 6.69, 641.00, 654.55, 22.44, 91.67
2.225, 7.69, 641.00, 654.55, 22.44, 91.67
2.257, 8.61, 641.00, 654.55, 22.44, 91.67
2.290, 9.31, 641.00, 654.55, 22.44, 91.67
2.325, 9.71, 641.00, 654.55, 22.44, 91.67
2.358, 9.73, 641.00, 654.55, 22.44, 91.67
2.392, 9.41, 637.00, 645.78, 22.32, 92.91
2.424, 8.85, 637.00, 645.78, 22.32, 92.91
2.465, 8.10, 637.00, 645.78, 22.32, 92.91
2.499, 7.18, 637.00, 645.78, 22.32, 92.91
2.529, 6.20, 637.00, 645.78, 22.32, 92.91
2.561, 5.13, 637.00, 645.78, 22.32, 92.91
2.593, 4.02, 637.00, 645.78, 22.32, 92.91
2.624, 2.89, 637.00, 645.78, 22.32, 92.91
2.657, 1.85, 637.00, 645.78, 22.32, 92.91
2.690, 1.44, 637.00, 645.78, 22.32, 92.91
2.727, 0.73, 637.00, 645.78, 22.32, 92.91
2.759, 0.36, 637.00, 645.78, 22.32, 92.91
2.796, 0.58, 637.00, 645.78, 22.32, 92.91
2.828, 1.34, 637.00, 645.78, 22.32, 92.91
2.860, 2.59, 637.00, 645.78, 22.32, 92.91
2.892, 4.14, 637.00, 645.78, 22.32, 92.91
2.924, 5.65, 637.00, 645.78, 22.32, 92.91
2.959, 7.05, 637.00, 645.78, 22.32, 92.91
2.992, 8.31, 637.00, 645.78, 22.32, 92.91
3.022, 9.42, 637.00, 645.78, 22.32, 92.91
3.056, 9.79, 637.00, 645.78, 22.32, 92.91
3.085, 9.55, 692.00, 668.89, 22.02, 89.70
3.129, 9.08, 692.00, 668.89, 22.02, 89.70
3.164, 8.41, 692.00, 668.89, 22.02, 89.70
3.195, 7.59, 692.00, 668.89, 22.02, 89.70
3.227, 6.66, 692.00, 668.89, 22.02, 89.70
3.259, 5.65, 692.00, 668.89, 22.02, 89.70
3.295, 4.56, 692.00, 668.89, 22.02, 89.70
3.327, 3.46, 692.00, 668.89, 22.02, 89.70
3.353, 2.28, 692.00, 668.89, 22.02, 89.70
3.392, 1.77, 692.00, 668.89, 22.02, 89.70
3.421, 1.40, 692.00, 668.89, 22.02, 89.70
3.459, 0.86, 692.00, 668.89, 22.02, 89.70
3.494, 0.43, 692.00, 668.89, 22.02, 89.70
3.522, 0.45, 692.00, 668.89, 22.02, 89.70
3.560, 0.97, 692.00, 668.89, 22.02, 89.70
3.594, 1.95, 692.00, 668.89, 22.02, 89.70
3.637, 3.18, 692.00, 668.89, 22.02, 89.70
3.668, 4.48, 692.00, 668.89, 22.02, 89.70
3.699, 5.72, 692.00, 668.89, 22.02, 89.70
3.731, 6.80, 692.00, 668.89, 22.02, 89.70
3.764, 7.67, 692.00, 668.89, 22.02, 89.70
3.796, 8.37, 692.00, 668.89, 22.02, 89.70
3.834, 9.11, 692.00, 668.89, 22.02, 89.70
3.864, 8.82, 692.00, 668.89, 22.05, 89.70
3.897, 8.02, 692.00, 668.89, 22.05, 89.70
3.933, 7.03, 692.00, 668.89, 22.05, 89.70
3.964, 5.97, 692.00, 668.89, 22.05, 89.70
3.996, 4.79, 692.00, 668.89, 22.05, 89.70
4.028, 3.50, 692.00, 668.89, 22.05, 89.70
4.060, 2.19, 692.00, 668.89, 22.05, 89.70
4.098, 1.93, 692.00, 668.89, 22.05, 89.70
4.127, 1.50, 692.00, 668.89, 22.05, 89.70
