経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, SBP, DBP, IBI_input_ms, IBI_smoothed_ms, used_smoothed_ibi, SBP_raw, DBP_raw, clamp_applied, output_valid, reject_reason
0.020, 9.3812, 75.1844, -0.5452, -0.3998, 122.32, 85.48, 899.0000, 798.0383, 1, 122.32, 85.48, 0, 1, ok
0.152, 9.3812, 70.7114, -0.5506, -0.4405, 124.86, 85.67, 905.0000, 848.5191, 1, 124.86, 85.67, 0, 1, ok
1.054, 9.3810, 68.4338, -0.4740, -0.4376, 127.58, 89.35, 902.0000, 876.7596, 1, 127.58, 89.35, 0, 1, ok
1.816, 9.3491, 67.4627, -0.4390, -0.5122, 131.13, 92.99, 762.0000, 889.3798, 1, 131.13, 92.99, 0, 1, ok
2.657, 9.4836, 72.6665, -0.6496, -0.4764, 122.98, 82.03, 842.0000, 825.6899, 1, 122.98, 82.03, 0, 1, ok
3.592, 9.2595, 71.9558, -0.6663, -0.3919, 119.39, 77.89, 934.0000, 833.8449, 1, 119.39, 77.89, 0, 1, ok
4.457, 9.5136, 67.8793, -0.5300, -0.3887, 125.04, 85.46, 866.0000, 883.9225, 1, 125.04, 85.46, 0, 1, ok
5.306, 9.4667, 68.5745, -0.6097, -0.4192, 123.47, 81.95, 849.0000, 874.9612, 1, 123.47, 81.95, 0, 1, ok
6.197, 9.5864, 69.6071, -0.6219, -0.3486, 120.92, 79.99, 890.0000, 861.9806, 1, 120.92, 79.99, 0, 1, ok
7.006, 9.4303, 68.4939, -0.5191, -0.4079, 125.52, 86.33, 809.0000, 875.9903, 1, 125.52, 86.33, 0, 1, ok
7.832, 9.4303, 71.2170, -0.5711, -0.4079, 123.25, 83.95, 826.0000, 842.4952, 1, 123.25, 83.95, 0, 1, ok
8.707, 9.4130, 71.9211, -0.6392, -0.3596, 119.56, 79.03, 875.0000, 834.2476, 1, 119.56, 79.03, 0, 1, ok
9.539, 9.3748, 70.2063, -0.5657, -0.3771, 122.56, 83.04, 832.0000, 854.6238, 1, 122.56, 83.04, 0, 1, ok
10.408, 9.4354, 71.1481, -0.6346, -0.3966, 121.18, 80.26, 869.0000, 843.3119, 1, 121.18, 80.26, 0, 1, ok
11.238, 9.5478, 70.0807, -0.6076, -0.3797, 122.04, 81.52, 831.0000, 856.1559, 1, 122.04, 81.52, 0, 1, ok
12.076, 9.3918, 71.1256, -0.6354, -0.3574, 119.78, 78.98, 838.0000, 843.5780, 1, 119.78, 78.98, 0, 1, ok
13.075, 9.4385, 71.3615, -0.6301, -0.3544, 119.90, 79.39, 998.0000, 840.7890, 1, 119.90, 79.39, 0, 1, ok
13.782, 9.3576, 65.2603, -0.3637, -0.4629, 132.34, 95.38, 708.0000, 919.3945, 1, 132.34, 95.38, 0, 1, ok
14.581, 9.4659, 73.7375, -0.6992, -0.4661, 120.90, 79.19, 798.0000, 813.6972, 1, 120.90, 79.19, 0, 1, ok
15.449, 9.4445, 74.4557, -0.6617, -0.3722, 118.65, 78.66, 868.0000, 805.8486, 1, 118.65, 78.66, 0, 1, ok
16.284, 9.3778, 71.6911, -0.5703, -0.3422, 120.87, 82.07, 835.0000, 836.9243, 1, 120.87, 82.07, 0, 1, ok
17.055, 9.4484, 71.7736, -0.5533, -0.3952, 123.21, 84.70, 772.0000, 835.9622, 1, 123.21, 84.70, 0, 1, ok
17.924, 9.3616, 74.6286, -0.6412, -0.3847, 119.32, 79.80, 869.0000, 803.9811, 1, 119.32, 79.80, 0, 1, ok
18.765, 9.4290, 71.7282, -0.5316, -0.4177, 124.48, 86.38, 840.0000, 836.4905, 1, 124.48, 86.38, 0, 1, ok
19.492, 9.3103, 71.5781, -0.5107, -0.4321, 125.22, 87.42, 727.0000, 838.2453, 1, 125.22, 87.42, 0, 1, ok
20.330, 9.3822, 76.6653, -0.6809, -0.4085, 118.41, 78.70, 839.0000, 782.6226, 1, 118.41, 78.70, 0, 1, ok
