経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, E, SBP, DBP, Mean, Phi, sinPhi, cosPhi, fit_a, fit_b, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, output_valid, reject_reason
0.020, 9.3812, 70.7114, -0.5506, -0.4405, 4.1000, 127.83, 88.25, 5.4534, 2.0872, 0.8696, -0.4938, -2.3140, 4.0753, 902.0000, 848.5191, 1, 28, 0.2523, 9.7578, 9.5055, 3.4024, 0.5155, 0.4845, 127.83, 88.25, 127.83, 88.25, 0, 0, 1, ok
0.152, 9.3812, 68.4338, -0.5506, -0.4405, 4.1000, 127.83, 88.25, 5.4534, 2.0872, 0.8696, -0.4938, -2.3140, 4.0753, 902.0000, 848.5191, 1, 28, 0.2523, 9.7578, 9.5055, 3.4024, 0.5155, 0.4845, 127.83, 88.25, 127.83, 88.25, 0, 0, 1, ok
1.054, 9.3812, 67.4627, -0.4740, -0.4376, 4.2577, 131.03, 89.77, 5.5349, 2.2586, 0.7726, -0.6348, -3.1118, 3.7872, 904.0000, 876.7596, 1, 28, 0.3766, 9.9204, 9.5437, 3.5258, 0.5553, 0.4447, 131.03, 89.77, 131.03, 89.77, 0, 0, 1, ok
1.816, 9.3810, 72.6665, -0.4390, -0.5122, 4.1140, 132.13, 92.82, 6.0108, 2.1869, 0.8162, -0.5778, -2.7566, 3.8936, 906.0000, 889.3798, 1, 28, 0.3061, 9.9275, 9.6214, 3.4807, 0.5497, 0.4503, 132.13, 92.82, 132.13, 92.82, 0, 0, 1, ok
2.657, 9.3491, 71.9558, -0.6496, -0.4764, 3.4232, 125.20, 90.59, 6.6904, 2.3262, 0.7280, -0.6856, -2.8688, 3.0460, 902.0000, 825.6899, 1, 28, 0.5465, 9.9340, 9.3875, 3.1735, 0.6308, 0.3692, 125.20, 90.59, 125.20, 90.59, 0, 0, 1, ok
3.592, 9.4836, 67.8793, -0.6663, -0.3919, 3.3229, 115.47, 75.80, 6.6750, 2.1917, 0.8134, -0.5817, -2.3781, 3.3249, 766.0000, 833.8449, 1, 24, 0.5849, 9.8672, 9.2822, 3.0888, 0.6084, 0.3916, 115.47, 75.80, 115.47, 75.80, 0, 0, 1, ok
4.457, 9.2595, 68.5745, -0.5300, -0.3887, 3.9112, 120.96, 77.55, 5.8258, 1.9503, 0.9288, -0.3705, -1.7295, 4.3358, 833.0000, 883.9225, 1, 26, 0.3835, 9.7610, 9.3775, 3.4042, 0.5186, 0.4814, 120.96, 77.55, 120.96, 77.55, 0, 0, 1, ok
5.306, 9.5136, 69.6071, -0.6097, -0.4192, 3.7579, 124.24, 85.31, 6.0523, 1.8697, 0.9556, -0.2945, -1.3047, 4.2337, 939.0000, 874.9612, 1, 29, 0.5015, 9.8614, 9.3599, 3.2880, 0.4995, 0.5005, 124.24, 85.31, 124.24, 85.31, 0, 0, 1, ok
6.197, 9.4667, 68.4939, -0.6219, -0.3486, 3.8318, 122.67, 81.78, 6.1113, 2.0468, 0.8888, -0.4583, -2.0760, 4.0264, 867.0000, 861.9806, 1, 27, 0.3478, 9.8444, 9.4966, 3.3458, 0.5386, 0.4614, 122.67, 81.78, 122.67, 81.78, 0, 0, 1, ok
7.006, 9.5864, 71.2170, -0.5191, -0.4079, 3.9837, 122.93, 81.23, 5.0562, 1.9906, 0.9132, -0.4076, -1.9434, 4.3535, 840.0000, 875.9903, 1, 26, 0.3777, 9.8849, 9.5071, 3.4373, 0.5250, 0.4750, 122.93, 81.23, 122.93, 81.23, 0, 0, 1, ok
7.832, 9.4303, 71.9211, -0.5711, -0.4079, 4.3730, 132.55, 93.09, 5.3871, 2.2067, 0.8045, -0.5939, -2.9046, 3.9344, 906.0000, 842.4952, 1, 28, 0.2984, 9.8372, 9.5388, 3.5206, 0.5221, 0.4779, 132.55, 93.09, 132.55, 93.09, 0, 0, 1, ok
8.707, 9.4303, 70.2063, -0.6392, -0.3596, 3.6441, 120.95, 82.54, 6.1834, 1.9776, 0.9184, -0.3957, -1.7317, 4.0193, 788.0000, 834.2476, 1, 25, 0.4069, 9.7072, 9.3003, 3.2530, 0.5393, 0.4607, 120.95, 82.54, 120.95, 82.54, 0, 0, 1, ok
9.539, 9.4130, 71.1481, -0.5657, -0.3771, 4.1840, 124.60, 82.37, 5.4212, 2.0017, 0.9086, -0.4177, -1.9431, 4.2273, 846.0000, 854.6238, 1, 26, 0.4363, 9.6993, 9.2630, 3.3690, 0.4752, 0.5248, 124.60, 82.37, 124.60, 82.37, 0, 0, 1, ok
10.408, 9.3748, 70.0807, -0.6346, -0.3966, 3.9968, 125.10, 85.55, 5.4895, 1.9834, 0.9161, -0.4010, -1.8738, 4.2803, 868.0000, 843.3119, 1, 27, 0.2863, 9.7983, 9.5121, 3.3942, 0.5092, 0.4908, 125.10, 85.55, 125.10, 85.55, 0, 0, 1, ok
11.238, 9.4354, 71.1256, -0.6076, -0.3797, 3.9370, 122.46, 80.88, 5.5905, 2.0210, 0.9004, -0.4351, -1.9877, 4.1132, 826.0000, 856.1559, 1, 26, 0.4235, 9.6839, 9.2603, 3.3349, 0.5157, 0.4843, 122.46, 80.88, 122.46, 80.88, 0, 0, 1, ok
12.076, 9.5478, 71.3615, -0.6354, -0.3574, 4.3384, 128.30, 86.91, 5.0365, 2.1549, 0.8342, -0.5514, -2.6206, 3.9647, 873.0000, 843.5780, 1, 27, 0.2485, 9.7608, 9.5123, 3.4339, 0.4971, 0.5029, 128.30, 86.91, 128.30, 86.91, 0, 0, 1, ok
13.075, 9.3918, 65.2603, -0.6301, -0.3544, 4.1143, 123.55, 82.08, 4.8220, 1.9158, 0.9411, -0.3382, -1.6027, 4.4591, 838.0000, 840.7890, 1, 26, 0.2131, 9.7501, 9.5371, 3.4388, 0.4821, 0.5179, 123.55, 82.08, 123.55, 82.08, 0, 0, 1, ok
13.782, 9.4385, 73.7375, -0.3637, -0.4629, 4.0470, 123.94, 80.31, 5.0348, 1.9527, 0.9279, -0.3727, -1.7063, 4.2483, 832.0000, 919.3945, 1, 26, 0.3583, 9.7956, 9.4373, 3.3266, 0.4784, 0.5216, 123.94, 80.31, 123.94, 80.31, 0, 0, 1, ok
14.581, 9.3576, 74.4557, -0.6992, -0.4661, 4.6104, 142.21, 106.79, 5.7431, 2.5462, 0.5608, -0.8280, -4.0724, 2.7584, 1002.0000, 813.6972, 1, 31, 0.3571, 9.9632, 9.6061, 3.5448, 0.5619, 0.4381, 142.21, 106.79, 142.21, 106.79, 0, 0, 1, ok
15.449, 9.4659, 71.6911, -0.6617, -0.3722, 3.3619, 113.41, 73.44, 6.5062, 2.3104, 0.7387, -0.6740, -2.7528, 3.0172, 712.0000, 805.8486, 1, 22, 0.6056, 9.7502, 9.1446, 3.0708, 0.6250, 0.3750, 113.41, 73.44, 113.41, 73.44, 0, 0, 1, ok
16.284, 9.4445, 71.7736, -0.5703, -0.3422, 3.7156, 117.72, 76.85, 5.5712, 1.8123, 0.9710, -0.2392, -1.0880, 4.4163, 793.0000, 836.9243, 1, 25, 0.2843, 9.7200, 9.4357, 3.3308, 0.5095, 0.4905, 117.72, 76.85, 117.72, 76.85, 0, 0, 1, ok
17.055, 9.3778, 74.6286, -0.5533, -0.3952, 4.2761, 127.66, 87.59, 4.7258, 2.1445, 0.8399, -0.5427, -2.5373, 3.9269, 871.0000, 835.9622, 1, 27, 0.2755, 9.7140, 9.4386, 3.4049, 0.4971, 0.5029, 127.66, 87.59, 127.66, 87.59, 0, 0, 1, ok
17.924, 9.4484, 71.7282, -0.6412, -0.3847, 4.0993, 126.82, 88.77, 5.3777, 2.1536, 0.8349, -0.5503, -2.5372, 3.8494, 839.0000, 803.9811, 1, 26, 0.3363, 9.7551, 9.4188, 3.3396, 0.5197, 0.4803, 126.82, 88.77, 126.82, 88.77, 0, 0, 1, ok
18.765, 9.3616, 71.5781, -0.5316, -0.4177, 3.8600, 120.54, 79.66, 5.5430, 1.9668, 0.9226, -0.3858, -1.7772, 4.2505, 765.0000, 836.4905, 1, 24, 0.3067, 9.7197, 9.4130, 3.3443, 0.5229, 0.4771, 120.54, 79.66, 120.54, 79.66, 0, 0, 1, ok
19.492, 9.4290, 76.6653, -0.5107, -0.4321, 4.2539, 130.68, 91.36, 5.3185, 2.2507, 0.7776, -0.6287, -3.0103, 3.7235, 864.0000, 838.2453, 1, 27, 0.3581, 9.7683, 9.4102, 3.4450, 0.5382, 0.4618, 130.68, 91.36, 130.68, 91.36, 0, 0, 1, ok
