経過時間_秒, A, HR, Mean, Phi, SBP, DBP, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, output_valid, reject_reason
0.020, 4.6931, 70.7114, 5.4534, 2.1462, 124.62, 81.78, 0.8389, -0.5442, -2.5541, 3.9373, 0.7509, 901.0000, 848.5191, 1, 28, 0.2523, 9.7578, 9.5055, 3.4024, 0.5172, 0.4828, 124.62, 81.78, 124.62, 81.78, 0, 0, 1, ok
0.152, 4.6931, 68.4338, 5.4534, 2.1462, 124.62, 81.78, 0.8389, -0.5442, -2.5541, 3.9373, 0.7509, 901.0000, 848.5191, 1, 28, 0.2523, 9.7578, 9.5055, 3.4024, 0.5172, 0.4828, 124.62, 81.78, 124.62, 81.78, 0, 0, 1, ok
1.054, 4.9100, 67.4627, 5.5349, 2.3128, 129.71, 85.11, 0.7371, -0.6758, -3.3180, 3.6193, 0.6144, 904.0000, 876.7596, 1, 28, 0.3766, 9.9204, 9.5437, 3.5258, 0.5564, 0.4436, 129.71, 85.11, 129.71, 85.11, 0, 0, 1, ok
1.816, 4.7679, 72.6665, 6.0108, 2.2419, 127.51, 82.91, 0.7831, -0.6219, -2.9650, 3.7338, 0.8652, 907.0000, 889.3798, 1, 28, 0.3061, 9.9275, 9.6214, 3.4807, 0.5513, 0.4487, 127.51, 82.91, 127.51, 82.91, 0, 0, 1, ok
2.657, 4.1716, 71.9558, 6.6904, 2.3771, 126.16, 84.20, 0.6922, -0.7217, -3.0107, 2.8876, 1.1704, 902.0000, 825.6899, 1, 28, 0.5465, 9.9340, 9.3875, 3.1735, 0.6330, 0.3670, 126.16, 84.20, 126.16, 84.20, 0, 0, 1, ok
3.592, 4.0736, 67.8793, 6.6750, 2.2602, 123.41, 81.71, 0.7716, -0.6361, -2.5912, 3.1432, 1.1152, 766.0000, 833.8449, 1, 24, 0.5849, 9.8672, 9.2822, 3.0888, 0.6110, 0.3890, 123.41, 81.71, 123.41, 81.71, 0, 0, 1, ok
4.457, 4.6724, 68.5745, 5.8258, 2.0170, 122.11, 78.37, 0.9021, -0.4316, -2.0165, 4.2148, 0.8205, 833.0000, 883.9225, 1, 26, 0.3835, 9.7610, 9.3775, 3.4042, 0.5210, 0.4790, 122.11, 78.37, 122.11, 78.37, 0, 0, 1, ok
5.306, 4.4309, 69.6071, 6.0523, 1.9285, 118.79, 75.84, 0.9367, -0.3502, -1.5515, 4.1504, 0.9971, 939.0000, 874.9612, 1, 29, 0.5015, 9.8614, 9.3599, 3.2880, 0.5016, 0.4984, 118.79, 75.84, 118.79, 75.84, 0, 0, 1, ok
6.197, 4.5177, 68.4939, 6.1113, 2.1078, 122.88, 79.89, 0.8593, -0.5115, -2.3110, 3.8819, 0.9949, 867.0000, 861.9806, 1, 27, 0.3478, 9.8444, 9.4966, 3.3458, 0.5409, 0.4591, 122.88, 79.89, 122.88, 79.89, 0, 0, 1, ok
7.006, 4.8069, 71.2170, 5.0562, 2.0585, 123.94, 80.24, 0.8834, -0.4686, -2.2527, 4.2463, 0.5119, 839.0000, 875.9903, 1, 26, 0.3777, 9.8849, 9.5071, 3.4373, 0.5268, 0.4732, 123.94, 80.24, 123.94, 80.24, 0, 0, 1, ok
