経過時間_秒, A, HR, Mean, Phi, A_used, HR_used, Mean_used, sinPhi_used, cosPhi_used, SBP, DBP, sinPhi, cosPhi, fit_a, fit_b, fit_rmse, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason
0.033, 4.3997, 86.5525, 5.5289, 2.2589, 4.3997, 86.5525, 5.5289, 0.7724, -0.6351, 121.91, 85.64, 0.7724, -0.6351, -2.7942, 3.3984, 0.6743, 714.0000, 693.2209, 1, 22, 0.4122, 9.7506, 9.3384, 3.1833, 0.5728, 0.4272, 121.91, 85.64, 121.91, 85.64, 0, 0, 0, 1, ok, ok
0.283, 4.3997, 86.5525, 5.5289, 2.2589, 4.3997, 86.5525, 5.5289, 0.7724, -0.6351, 121.91, 85.64, 0.7724, -0.6351, -2.7942, 3.3984, 0.6743, 714.0000, 693.2209, 1, 22, 0.4122, 9.7506, 9.3384, 3.1833, 0.5728, 0.4272, 121.91, 85.64, 121.91, 85.64, 0, 0, 0, 1, ok, ok
0.955, 3.7353, 90.7564, 4.9982, 2.5844, 3.7353, 90.7564, 4.9982, 0.5288, -0.8487, 125.07, 90.56, 0.5288, -0.8487, -3.1702, 1.9753, 0.8686, 697.0000, 661.1104, 1, 22, 0.4203, 8.6660, 8.2457, 2.7804, 0.6284, 0.3716, 125.07, 90.56, 125.07, 90.56, 0, 0, 0, 1, ok, ok
1.661, 4.8332, 90.0150, 4.9847, 2.7973, 4.8332, 90.0150, 4.9847, 0.3376, -0.9413, 133.77, 96.03, 0.3376, -0.9413, -4.5495, 1.6315, 0.6089, 637.0000, 666.5552, 1, 20, 0.4132, 9.7826, 9.3694, 3.4714, 0.6311, 0.3689, 133.77, 96.03, 133.77, 96.03, 0, 0, 0, 1, ok, ok
2.291, 4.1403, 87.4282, 5.9447, 2.1588, 4.1403, 87.4282, 5.9447, 0.8320, -0.5547, 118.13, 82.86, 0.8320, -0.5547, -2.2968, 3.4449, 0.8342, 664.0000, 686.2776, 1, 21, 0.5972, 9.7252, 9.1280, 3.0442, 0.5497, 0.4503, 118.13, 82.86, 118.13, 82.86, 0, 0, 0, 1, ok, ok
2.956, 4.4108, 91.1662, 5.4125, 2.4538, 4.4108, 91.1662, 5.4125, 0.6348, -0.7727, 125.04, 89.96, 0.6348, -0.7727, -3.4081, 2.8000, 0.4622, 702.0000, 658.1388, 1, 22, 0.5748, 9.7138, 9.1390, 3.1530, 0.6197, 0.3803, 125.04, 89.96, 125.04, 89.96, 0, 0, 0, 1, ok, ok
3.698, 4.0117, 90.6934, 5.2818, 2.6098, 4.0117, 90.6934, 5.2818, 0.5071, -0.8619, 126.59, 91.41, 0.5071, -0.8619, -3.4577, 2.0342, 0.7699, 635.0000, 661.5694, 1, 20, 0.4712, 9.0151, 8.5439, 2.9393, 0.6394, 0.3606, 126.59, 91.41, 126.59, 91.41, 0, 0, 0, 1, ok, ok
4.231, 3.3483, 85.4963, 4.0050, 2.5652, 3.3483, 85.4963, 4.0050, 0.5450, -0.8385, 124.92, 89.21, 0.5450, -0.8385, -2.8074, 1.8247, 0.3949, 676.0000, 701.7847, 1, 21, 0.3772, 7.0529, 6.6757, 2.4003, 0.5962, 0.4038, 124.92, 89.21, 124.92, 89.21, 0, 0, 0, 1, ok, ok
5.002, 3.1914, 97.1829, 3.8310, 2.8696, 3.1914, 97.1829, 3.8310, 0.2687, -0.9632, 126.78, 94.61, 0.2687, -0.9632, -3.0741, 0.8575, 0.5830, 735.0000, 617.3924, 1, 23, 0.4083, 7.5020, 7.0937, 2.3308, 0.6531, 0.3469, 126.78, 94.61, 126.78, 94.61, 0, 0, 0, 1, ok, ok
5.538, 2.7084, 86.4309, 3.2688, 2.9174, 2.7084, 86.4309, 3.2688, 0.2224, -0.9750, 128.38, 92.58, 0.2224, -0.9750, -2.6405, 0.6022, 0.2511, 529.0000, 694.1962, 1, 17, 0.4474, 5.7070, 5.2596, 1.9315, 0.6938, 0.3062, 128.38, 92.58, 128.38, 92.58, 0, 0, 0, 1, ok, ok
6.242, 4.8848, 0.0000, 5.4473, 2.8724, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 128.38, 92.58, 0.2659, -0.9640, -4.7089, 1.2991, 0.6413, 768.0000, 0.0000, 0, 24, 0.5021, 9.9131, 9.4110, 3.5131, 0.6497, 0.3503, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change
6.836, 2.0935, 90.9712, 7.5772, 2.5818, 2.0935, 90.9712, 7.5772, 0.5310, -0.8473, 116.32, 84.47, 0.5310, -0.8473, -1.7739, 1.1117, 0.5463, 542.0000, 659.5490, 1, 17, 5.0223, 9.7367, 4.7144, 1.5779, 0.6292, 0.3708, 116.32, 84.47, 116.32, 84.47, 0, 0, 0, 1, ok, ok
7.498, 3.8694, 95.6519, 4.8468, 2.4784, 3.8694, 95.6519, 4.8468, 0.6156, -0.7880, 122.45, 90.12, 0.6156, -0.7880, -3.0492, 2.3821, 0.6159, 693.0000, 627.2745, 1, 22, 0.5007, 9.0564, 8.5558, 2.8045, 0.6234, 0.3766, 122.45, 90.12, 122.45, 90.12, 0, 0, 0, 1, ok, ok
8.210, 4.6972, 93.0756, 5.2918, 2.8404, 4.6972, 93.0756, 5.2918, 0.2967, -0.9550, 132.94, 96.40, 0.2967, -0.9550, -4.4858, 1.3935, 0.2598, 607.0000, 644.6373, 1, 19, 0.5852, 9.8800, 9.2947, 3.3316, 0.6689, 0.3311, 132.94, 96.40, 132.94, 96.40, 0, 0, 0, 1, ok, ok
8.778, 4.3109, 88.5193, 5.3572, 2.5631, 4.3109, 88.5193, 5.3572, 0.5468, -0.8373, 127.47, 91.08, 0.5468, -0.8373, -3.6094, 2.3571, 0.5939, 657.0000, 677.8186, 1, 21, 0.5076, 9.4430, 8.9354, 3.1055, 0.6134, 0.3866, 127.47, 91.08, 127.47, 91.08, 0, 0, 0, 1, ok, ok
9.473, 4.0799, 96.3222, 5.1682, 2.5697, 4.0799, 96.3222, 5.1682, 0.5412, -0.8409, 124.81, 91.95, 0.5412, -0.8409, -3.4307, 2.2082, 0.5002, 715.0000, 622.9093, 1, 22, 0.4199, 9.2529, 8.8330, 2.9280, 0.6252, 0.3748, 124.81, 91.95, 124.81, 91.95, 0, 0, 0, 1, ok, ok
10.079, 3.7666, 91.0533, 4.7669, 2.6250, 3.7666, 91.0533, 4.7669, 0.4940, -0.8695, 126.04, 91.45, 0.4940, -0.8695, -3.2750, 1.8605, 0.5636, 562.0000, 658.9547, 1, 18, 0.4030, 8.1459, 7.7429, 2.7223, 0.6584, 0.3416, 126.04, 91.45, 126.04, 91.45, 0, 0, 0, 1, ok, ok
10.821, 4.7578, 94.7901, 5.1730, 2.7551, 4.7578, 94.7901, 5.1730, 0.3770, -0.9262, 131.46, 95.95, 0.3770, -0.9262, -4.4068, 1.7936, 0.4460, 701.0000, 632.9773, 1, 22, 0.4344, 9.7449, 9.3105, 3.3937, 0.6277, 0.3723, 131.46, 95.95, 131.46, 95.95, 0, 0, 0, 1, ok, ok
11.348, 4.2333, 87.3377, 5.9994, 2.4281, 4.2333, 87.3377, 5.9994, 0.6545, -0.7561, 124.32, 88.04, 0.6545, -0.7561, -3.2006, 2.7707, 0.7440, 601.0000, 686.9887, 1, 19, 0.5831, 9.9105, 9.3274, 3.0844, 0.5591, 0.4409, 124.32, 88.04, 124.32, 88.04, 0, 0, 0, 1, ok, ok
12.087, 3.8597, 98.8477, 4.8681, 2.4376, 3.8597, 98.8477, 4.8681, 0.6473, -0.7623, 120.78, 89.89, 0.6473, -0.7623, -2.9421, 2.4983, 0.6513, 736.0000, 606.9943, 1, 23, 0.4539, 8.7684, 8.3145, 2.8059, 0.5883, 0.4117, 120.78, 89.89, 120.78, 89.89, 0, 0, 0, 1, ok, ok
12.620, 4.5623, 89.1534, 5.2401, 2.8567, 4.5623, 89.1534, 5.2401, 0.2811, -0.9597, 133.60, 95.65, 0.2811, -0.9597, -4.3784, 1.2822, 0.2115, 531.0000, 672.9972, 1, 17, 0.6663, 9.6639, 8.9976, 3.2329, 0.6893, 0.3107, 133.60, 95.65, 133.60, 95.65, 0, 0, 0, 1, ok, ok
13.321, 4.7289, 0.0000, 5.3283, 2.4843, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 133.60, 95.65, 0.6110, -0.7916, -3.7435, 2.8893, 0.3041, 743.0000, 0.0000, 0, 23, 0.3953, 9.8000, 9.4047, 3.3576, 0.5908, 0.4092, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change
13.950, 3.1816, 91.9541, 5.9274, 2.1587, 3.1816, 91.9541, 5.9274, 0.8321, -0.5546, 112.89, 81.15, 0.8321, -0.5546, -1.7647, 2.6474, 0.7848, 532.0000, 652.4993, 1, 17, 1.7274, 8.9174, 7.1900, 2.3827, 0.5658, 0.4342, 112.89, 81.15, 112.89, 81.15, 0, 0, 0, 1, ok, ok
14.620, 2.6616, 0.0000, 3.6328, 2.1054, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 112.89, 81.15, 0.8605, -0.5095, -1.3561, 2.2903, 0.7080, 704.0000, 0.0000, 0, 22, 0.5394, 7.3737, 6.8342, 2.0108, 0.5284, 0.4716, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change
15.217, 4.6876, 91.5856, 5.0478, 2.8854, 4.6876, 91.5856, 5.0478, 0.2534, -0.9674, 134.09, 96.78, 0.2534, -0.9674, -4.5346, 1.1879, 0.6309, 628.0000, 655.1248, 1, 20, 0.4905, 9.7536, 9.2631, 3.3741, 0.6401, 0.3599, 134.09, 96.78, 134.09, 96.78, 0, 0, 0, 1, ok, ok
15.950, 3.8738, 95.8371, 5.3888, 2.5470, 3.8738, 95.8371, 5.3888, 0.5601, -0.8284, 123.46, 90.84, 0.5601, -0.8284, -3.2090, 2.1699, 0.8545, 664.0000, 626.0624, 1, 21, 0.6135, 8.8505, 8.2370, 2.8693, 0.5949, 0.4051, 123.46, 90.84, 123.46, 90.84, 0, 0, 0, 1, ok, ok
16.499, 2.8284, 88.2312, 3.5431, 2.5078, 2.8284, 88.2312, 3.5431, 0.5922, -0.8058, 121.17, 87.77, 0.5922, -0.8058, -2.2791, 1.6749, 0.4682, 609.0000, 680.0312, 1, 19, 0.3497, 6.4432, 6.0935, 2.0540, 0.6108, 0.3892, 121.17, 87.77, 121.17, 87.77, 0, 0, 0, 1, ok, ok
17.130, 4.6952, 97.7174, 5.5050, 2.9473, 4.6952, 97.7174, 5.5050, 0.1931, -0.9753, 133.12, 97.84, 0.1931, -0.9812, -4.6069, 0.9066, 0.6257, 732.0000, 614.0156, 1, 23, 0.4961, 9.7972, 9.3012, 3.3785, 0.6858, 0.3142, 133.12, 97.84, 133.12, 97.84, 0, 0, 1, 1, cosPhi:-0.9812->-0.9753, ok
17.758, 1.4815, 96.3843, 8.1504, 2.8264, 1.4815, 96.3843, 7.6781, 0.3100, -0.9507, 116.60, 86.83, 0.3100, -0.9507, -1.4086, 0.4593, 0.2943, 536.0000, 622.5078, 1, 17, 6.7812, 9.8183, 3.0371, 1.0882, 0.7593, 0.2407, 116.60, 86.83, 116.60, 86.83, 0, 0, 1, 1, Mean:8.1504->7.6781, ok
18.464, 3.3695, 95.9610, 5.4583, 2.2127, 3.3695, 95.9610, 5.4583, 0.8010, -0.5987, 114.20, 83.66, 0.8010, -0.5987, -2.0173, 2.6989, 0.8853, 635.0000, 625.2539, 1, 20, 0.6935, 8.7497, 8.0562, 2.5417, 0.5874, 0.4126, 114.20, 83.66, 114.20, 83.66, 0, 0, 0, 1, ok, ok
18.962, 3.0079, 90.1406, 3.9503, 2.5164, 3.0079, 90.1406, 3.9503, 0.5852, -0.8109, 121.40, 88.36, 0.5852, -0.8109, -2.4390, 1.7603, 0.5411, 636.0000, 665.6270, 1, 20, 0.5541, 6.8999, 6.3458, 2.1946, 0.5818, 0.4182, 121.40, 88.36, 121.40, 88.36, 0, 0, 0, 1, ok, ok
19.629, 3.0079, 90.1406, 3.9503, 2.5164, 3.0079, 90.1406, 3.9503, 0.5852, -0.8109, 121.40, 88.36, 0.5852, -0.8109, -2.4390, 1.7603, 0.5411, 636.0000, 665.6270, 1, 20, 0.5541, 6.8999, 6.3458, 2.1946, 0.5818, 0.4182, 121.40, 88.36, 121.40, 88.36, 0, 0, 0, 1, ok, ok
