経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, E, A_used, HR_used, V2P_relTTP_used, P2V_relTTP_used, E_used, SBP, DBP, Mean, Phi, sinPhi, cosPhi, fit_a, fit_b, IBI_current_ms, IBI_smoothed_ms, used_smoothed_ibi, beat_sample_count, beat_min, beat_max, beat_range, beat_std, systole_ratio, diastole_ratio, SBP_raw, DBP_raw, SBP_attempt_final, DBP_attempt_final, constraint_applied, clamp_applied, feature_clamp_applied, output_valid, feature_clamp_reason, reject_reason
0.010, 6.5160, 0.0000, -0.9500, -0.5746, 2.7861, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 90.38, 57.94, 3.7424, 2.6307, 0.4890, -0.8723, -2.6927, 1.5093, 703.0000, 527.9934, 1, 22, 0.3444, 6.8891, 6.5446, 2.2108, 0.6202, 0.3798, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rel_ttp_sum_out_of_range
0.139, 6.5160, 0.0000, -0.9500, -0.5746, 2.7861, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 90.38, 57.94, 3.7424, 2.6307, 0.4890, -0.8723, -2.6927, 1.5093, 703.0000, 527.9934, 1, 22, 0.3444, 6.8891, 6.5446, 2.2108, 0.6202, 0.3798, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rel_ttp_sum_out_of_range
0.772, 0.6383, 105.5232, -0.9500, -0.6834, 1.1708, 1.3961, 105.5232, -0.2929, -0.6834, 1.1708, 90.38, 57.94, 1.8780, 1.7912, 0.9758, -0.2187, -0.2206, 0.9843, 504.0000, 401.4983, 1, 16, 0.3731, 5.3919, 5.0188, 1.2611, 0.6607, 0.3393, 0.00, 0.00, 0.00, 0.00, 0, 0, 1, 0, A:0.6383->1.3961|HR:149.4402->105.5232, feature_support_violation
1.375, 9.1491, 0.0000, -0.6256, -0.4171, 4.2025, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 90.38, 57.94, 3.3443, 2.6747, 0.4501, -0.8930, -3.5518, 1.7903, 637.0000, 517.2492, 1, 20, 0.4767, 9.5401, 9.0634, 3.2619, 0.5793, 0.4207, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rel_ttp_sum_out_of_range
1.945, 9.5064, 105.5232, -0.2189, -0.7114, 4.2867, 5.0983, 105.5232, -0.6256, -0.4171, 4.2867, 90.38, 57.94, 5.0245, 2.4880, 0.6080, -0.7939, -3.7541, 2.8749, 633.0000, 560.1246, 1, 20, 0.3911, 9.8157, 9.4246, 3.3921, 0.5877, 0.4123, 0.00, 0.00, 0.00, 0.00, 0, 0, 1, 0, A:9.5064->5.0983|HR:107.1190->105.5232, feature_support_violation
2.810, 1.5852, 105.5232, -0.2895, -0.6947, 2.3781, 1.5852, 105.5232, -0.2707, -0.7114, 2.3781, 90.38, 57.94, 3.7754, 0.9457, 0.8109, 0.5852, 1.7163, 2.3784, 602.0000, 565.0623, 1, 19, 0.3092, 8.9228, 8.6135, 2.5023, 0.4568, 0.5432, 0.00, 0.00, 0.00, 0.00, 0, 0, 1, 0, HR:106.1830->105.5232|V2P_relTTP:-0.2189->-0.2707, feature_support_violation
3.348, 1.5852, 0.0000, -0.1908, -0.7249, 2.3781, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 90.38, 57.94, 3.7754, 1.3631, 0.9785, 0.2062, 0.1414, 0.6709, 832.0000, 0.0000, 0, 26, 0.1963, 2.6974, 2.5011, 0.6659, 0.7548, 0.2452, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rapid_ibi_change
3.976, 0.5863, 0.0000, -0.6760, -0.7374, 2.2127, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 90.38, 57.94, 3.3247, 3.2211, -0.0794, -0.9968, -2.6621, -0.2121, 607.0000, 626.0156, 1, 19, 0.2573, 6.6620, 6.4047, 2.1526, 0.8929, 0.1071, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rel_ttp_sum_out_of_range
4.517, 2.7122, 0.0000, -0.5231, -0.7870, 2.8529, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 90.38, 57.94, 7.9433, 3.4018, -0.2573, -0.9663, -2.1806, -0.5805, 535.0000, 627.5078, 1, 17, 5.0449, 9.9561, 4.9113, 1.8034, 0.3333, 0.6667, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rel_ttp_sum_out_of_range
5.149, 2.5895, 0.0000, -0.6710, -0.3660, 1.1197, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 90.38, 57.94, 8.8029, 2.5934, 0.5211, -0.8535, -1.0038, 0.6129, 629.0000, 584.2539, 1, 20, 7.2439, 9.9318, 2.6879, 0.8652, 0.5803, 0.4197, 0.00, 0.00, 0.00, 0.00, 0, 0, 0, 0, ok, rel_ttp_sum_out_of_range
