method,series,target,filters,n,mae,rmse,corr,signed_bias,centered_mae,centered_rmse,centered_corr,tracking_gain,amplitude_ratio,direction_agreement,inversion_like,pp_mae,pp_signed_bias
RTBP,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",213,5.656688931451542,5.93354499656079,0.3020757461088093,5.656688931451542,1.4522714581785325,1.89380192028029,0.3020757461088093,0.10144818049212685,0.3368564384371209,0.5639810426540285,0,8.428891458893332,8.428891458893332
RTBP,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",213,2.7722025274417916,2.9143572209758757,0.2942251336506511,-2.7722025274417916,0.7278277383245739,0.9458485481616083,0.2942251336506511,0.09836312326645075,0.3314624946134642,0.5355450236966824,0,8.428891458893332,8.428891458893332
RTBP,raw,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",213,0.04822052386205482,0.058893688020826035,0.10892202515838667,0.037427958855986154,0.03508963413101732,0.045471346729940354,0.10892202515838664,0.007948274244066874,0.07267792761079811,0.5355450236966824,0,8.428891458893332,8.428891458893332
RTBP,raw,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",213,8.428891458893332,8.847330686398069,0.2996321212328324,8.428891458893332,2.1785461756848044,2.8399160521363322,0.2996321212328323,0.10045779502223572,0.3352545557599964,0.5380710659898477,0,8.428891458893332,8.428891458893332
RTBP,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",213,5.62157159951382,5.891307585304454,0.3888578764548654,5.62157159951382,1.4508638439687376,1.8633752143962856,0.38885787645486536,0.08535912763589855,0.21038832884475242,0.4928909952606635,0,8.376178130263378,8.376178130263378
RTBP,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",213,2.7546065307495575,2.892915235925107,0.3829665870638511,-2.7546065307495575,0.7265849656299997,0.930324032628975,0.3829665870638511,0.08348232577296016,0.20797812951356154,0.46919431279620855,0,8.376178130263378,8.376178130263378
RTBP,smoothed,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",213,0.04835170376810458,0.059075993516256184,0.033952466173899236,0.03745284600490187,0.03529655440338125,0.04568684363147612,0.03395246617389923,0.001131279977143615,0.03238317021473253,0.4881516587677725,0,8.376178130263378,8.376178130263378
RTBP,smoothed,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",213,8.376178130263378,8.783645507714713,0.3871289926790867,8.376178130263378,2.1758999614888683,2.7939390357663707,0.3871289926790866,0.0847861868979092,0.20970801018212484,0.49238578680203043,0,8.376178130263378,8.376178130263378
RTBP,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",213,5.62157159951382,5.891307585304454,0.3888578764548654,5.62157159951382,1.4508638439687376,1.8633752143962856,0.38885787645486536,0.08535912763589855,0.21038832884475242,0.4928909952606635,0,8.376178130263378,8.376178130263378
RTBP,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",213,2.7546065307495575,2.892915235925107,0.3829665870638511,-2.7546065307495575,0.7265849656299997,0.930324032628975,0.3829665870638511,0.08348232577296016,0.20797812951356154,0.46919431279620855,0,8.376178130263378,8.376178130263378
RTBP,calibrated,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",213,0.04835170376810458,0.059075993516256184,0.033952466173899236,0.03745284600490187,0.03529655440338125,0.04568684363147612,0.03395246617389923,0.001131279977143615,0.03238317021473253,0.4881516587677725,0,8.376178130263378,8.376178130263378
RTBP,calibrated,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",213,8.376178130263378,8.783645507714713,0.3871289926790867,8.376178130263378,2.1758999614888683,2.7939390357663707,0.3871289926790866,0.0847861868979092,0.20970801018212484,0.49238578680203043,0,8.376178130263378,8.376178130263378
SinBP_D,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",208,11.234734494379293,11.373300925046392,0.1890509129544255,11.234734494379293,1.4067397275697053,1.8495830648839469,0.18905091295442547,0.06414385056865451,0.3129367045257791,0.5048543689320388,0,16.78421443036155,16.78421443036155
SinBP_D,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",208,5.549479935982258,5.61966578012252,0.18731585958120145,-5.549479935982258,0.7043799851776893,0.928396779852482,0.18731585958120142,0.06128265176010944,0.30644513508841,0.46116504854368934,0,16.78421443036155,16.78421443036155
SinBP_D,raw,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",208,0.05393551419358726,0.06447262948138979,0.07280190324077178,0.04525820747159237,0.03525931162676234,0.045917558524770405,0.07280190324077179,0.009298729823978254,0.12559836768590657,0.48058252427184467,0,16.78421443036155,16.78421443036155
SinBP_D,raw,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",208,16.78421443036155,16.992680368280535,0.18857700147281364,16.78421443036155,2.1114199534176854,2.7569798484713437,0.18857700147281362,0.0633086387238925,0.3109577891083181,0.49214659685863876,0,16.78421443036155,16.78421443036155
SinBP_D,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",208,11.250496329416404,11.381480909220516,0.2765088070952922,11.250496329416404,1.3875978077107536,1.8136514008227094,0.27650880709529213,0.05950457549348664,0.21781770809512793,0.4854368932038835,0,16.807583428087767,16.807583428087767
SinBP_D,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",208,5.557087098671361,5.623488994892628,0.2767972430733701,-5.557087098671361,0.6937413887050494,0.9102612591159891,0.2767972430733701,0.05813898903755649,0.21448730725253257,0.46601941747572817,0,16.807583428087767,16.807583428087767
SinBP_D,smoothed,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",208,0.05407508678537795,0.06469221024050663,0.005968336043101515,0.045440710691227654,0.03546055007563463,0.0460461069841821,0.0059683360431015305,0.0005383518603553838,0.061734952900936536,0.49514563106796117,0,16.807583428087767,16.807583428087767
