method,series,target,filters,n,mae,rmse,corr,signed_bias,pp_mae,pp_signed_bias
RTBP_INITIAL_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",206,5.085865352149074,5.343644756211801,0.3955658124125383,5.085865352149074,7.5910501153425045,7.5910501153425045
RTBP_INITIAL_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",206,2.5051847631934305,2.6360733133405265,0.4012207699173776,-2.5051847631934305,7.5910501153425045,7.5910501153425045
RTBP_INITIAL_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",206,5.08497374149784,5.34686201152102,0.3819471820710875,5.08497374149784,7.589722107169546,7.589722107169546
RTBP_INITIAL_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",206,2.5047483656717073,2.6376899073063496,0.3878118794862,-2.5047483656717073,7.589722107169546,7.589722107169546
RTBP_INITIAL_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",206,5.08497374149784,5.34686201152102,0.3819471820710875,5.08497374149784,7.589722107169546,7.589722107169546
RTBP_INITIAL_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",206,2.5047483656717073,2.6376899073063496,0.3878118794862,-2.5047483656717073,7.589722107169546,7.589722107169546
SinBP_D_INITIAL_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",203,3.956071358132551,4.25410829976736,0.3321558700680956,3.946909921446563,5.905262663188483,5.890872661491902
SinBP_D_INITIAL_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",203,1.9491913050559315,2.0995406536317587,0.3344802134040824,-1.9439627400453388,5.905262663188483,5.890872661491902
SinBP_D_INITIAL_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",203,3.9536998370590632,4.257746563210045,0.31060413587468955,3.945830645873356,5.901601756570875,5.889240489844133
SinBP_D_INITIAL_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",203,1.9479019195118115,2.101220353131046,0.31526425214157955,-1.9434098439707777,5.901601756570875,5.889240489844133
SinBP_D_INITIAL_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",203,3.9536998370590632,4.257746563210045,0.31060413587468955,3.945830645873356,5.901601756570875,5.889240489844133
SinBP_D_INITIAL_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",203,1.9479019195118115,2.101220353131046,0.31526425214157955,-1.9434098439707777,5.901601756570875,5.889240489844133
SinBP_M_INITIAL_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",183,4.871799620645051,5.127009893316148,0.31425752398108603,4.871799620645051,7.275487820063334,7.275487820063334
SinBP_M_INITIAL_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",183,2.4036881994182826,2.5331879370584316,0.32515539340107646,-2.4036881994182826,7.275487820063334,7.275487820063334
SinBP_M_INITIAL_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",183,4.872550387054946,5.130064475863665,0.30805792173267205,4.872550387054946,7.276574868379294,7.276574868379294
SinBP_M_INITIAL_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",183,2.404024481324349,2.534935819732222,0.316026098143679,-2.404024481324349,7.276574868379294,7.276574868379294
SinBP_M_INITIAL_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",183,4.872550387054946,5.130064475863665,0.30805792173267205,4.872550387054946,7.276574868379294,7.276574868379294
SinBP_M_INITIAL_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",183,2.404024481324349,2.534935819732222,0.316026098143679,-2.404024481324349,7.276574868379294,7.276574868379294
RTBP_RICH_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",206,1.6481264522813206,1.8265201569308664,0.39556581241253774,0.8047751134791066,2.4693107917573927,1.197134794258712
RTBP_RICH_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",206,0.8218440796337372,0.9093282876228218,0.4012207699173794,-0.3923596807796056,2.4693107917573927,1.197134794258712
