method,series,target,filters,n,mae,rmse,corr,signed_bias,pp_mae,pp_signed_bias
RTBP_INITIAL_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",206,3.7357546312239718,4.064042135021938,0.3792639647112925,3.7289458934317987,5.574872860752288,5.565096431816588
RTBP_INITIAL_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",206,1.8395792771974313,2.006014075372776,0.3843728085260183,-1.8361505383847898,5.574872860752288,5.565096431816588
RTBP_INITIAL_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",206,3.735205461484952,4.067759883748067,0.3634021624787107,3.726772486100595,5.574356758176318,5.561841378882843
RTBP_INITIAL_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",206,1.839151296691365,2.0078253592443147,0.37019110577967235,-1.8350688927822476,5.574356758176318,5.561841378882843
RTBP_INITIAL_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",206,3.735205461484952,4.067759883748067,0.3634021624787107,3.726772486100595,5.574356758176318,5.561841378882843
RTBP_INITIAL_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",206,1.839151296691365,2.0078253592443147,0.37019110577967235,-1.8350688927822476,5.574356758176318,5.561841378882843
SinBP_D_INITIAL_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",203,3.650823930497945,3.956599984074501,0.2916261578212744,3.6167634358865683,5.451430126092808,5.401492872789603
SinBP_D_INITIAL_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",203,1.801401179227005,1.9562029759074664,0.2954367728444707,-1.7847294369030362,5.451430126092808,5.401492872789603
SinBP_D_INITIAL_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",203,3.6515425424546883,3.9634638165603877,0.2533084736443575,3.6164010405136873,5.451623534496502,5.400913317390615
SinBP_D_INITIAL_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",203,1.8000809920418133,1.9595631926451387,0.25847066688731035,-1.7845122768769284,5.451623534496502,5.400913317390615
SinBP_D_INITIAL_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",203,3.6515425424546883,3.9634638165603877,0.2533084736443575,3.6164010405136873,5.451623534496502,5.400913317390615
SinBP_D_INITIAL_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",203,1.8000809920418133,1.9595631926451387,0.25847066688731035,-1.7845122768769284,5.451623534496502,5.400913317390615
SinBP_M_INITIAL_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",183,4.063934736248624,4.364007432649279,0.23450481306533333,4.043311706356468,6.073460773310092,6.0395563653812205
SinBP_M_INITIAL_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",183,2.0095953585279784,2.159156117838299,0.2401855992808327,-1.9962446590247522,6.073460773310092,6.0395563653812205
SinBP_M_INITIAL_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",183,4.0551112279784975,4.363315611488038,0.2122316426585758,4.041032790687781,6.057016837525366,6.036120300311834
SinBP_M_INITIAL_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",183,2.0025628933551154,2.1586739689109984,0.21948141177387215,-1.9950875096240532,6.057016837525366,6.036120300311834
SinBP_M_INITIAL_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",183,4.0551112279784975,4.363315611488038,0.2122316426585758,4.041032790687781,6.057016837525366,6.036120300311834
SinBP_M_INITIAL_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",183,2.0025628933551154,2.1586739689109984,0.21948141177387215,-1.9950875096240532,6.057016837525366,6.036120300311834
RTBP_RICH_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",206,1.5022626898856128,1.6995129367269972,0.3792639647112936,0.5262539529643676,2.2496474705512144,0.7806038084206833
