method,prefix,term,term_kind,n,pp_term_mean,pp_term_median,pp_term_std,corr_to_ref_pp,centered_corr_to_ref_pp,centered_corr_to_pred_pp,gain_to_ref_pp,amplitude_ratio_to_ref_pp,direction_agreement_to_ref_pp,inverse_strength
RTBP,M1,A,dynamic,213,-1.4789874144756199,-1.5276015115537043,0.20371579191939845,0.14670721861281039,0.14670721861281028,-0.11834727119789473,0.014901723928391718,0.07233691076371486,0.4810810810810811,0.0
RTBP,M1,HR,dynamic,213,-41.67324332942946,-42.04621440696623,4.190623329535784,0.311923279441965,0.311923279441965,0.950703494525807,0.4529439593491864,1.4880375398334842,0.5228426395939086,0.0
RTBP,M1,P2V_relTTP,dynamic,213,6.979931510253113,6.804527053623347,1.265625184220958,0.24840996592567172,0.24840996592567177,0.03610156810185784,0.11865907702831113,0.44940755524502757,0.5255102040816326,0.0
RTBP,M1,V2P_relTTP,dynamic,213,2.503806044565869,2.5375579664292855,0.26219552268940777,-0.08802454644172919,-0.08802454644172919,0.02515917146536232,-0.011077964027967296,0.09310232627882603,0.4744897959183674,0.001031384221436909
RTBP,M1,intercept,baseline,213,58.906443398885564,58.90644339888557,1.4210854715202004e-14,9.002423796232625e-16,,,0.0,0.0,,0.0
SinBP_D,M2,A,dynamic,208,-0.8687097562650694,-0.8724677689550612,0.04064444232079349,0.09546661332806344,0.09546661332806333,0.19693998976842852,0.001717776893039839,0.015158537520038417,0.42857142857142855,0.0
SinBP_D,M2,E,dynamic,208,-7.755372900117015,-7.827730044938839,0.9381632023395508,-0.12880974388695268,-0.12880974388695263,-0.33516463515895617,-0.0333229064178354,0.34989241555684963,0.4973821989528796,0.011659432219911274
SinBP_D,M2,HR,dynamic,208,-41.88089545461003,-42.45148171433881,4.036226415360229,0.3808576422378022,0.3808576422378023,0.9632543299767992,0.5827221222570308,1.505329783435292,0.5445026178010471,0.0
SinBP_D,M2,P2V_relTTP,dynamic,208,6.907980162006248,6.800144505776318,0.9952867387531347,0.06984976175966949,0.06984976175966952,0.10221910093139884,0.03509177692282022,0.3711969093709917,0.4708994708994709,0.0
SinBP_D,M2,Stiffness,dynamic,208,7.4567171812966775,7.531903492441862,0.9287751868632476,0.11766561108277751,0.11766561108277751,0.319747201006933,0.02909663649820589,0.3463911106622457,0.5026178010471204,0.0
SinBP_D,M2,V2P_relTTP,dynamic,208,2.484597396946584,2.512216419159237,0.23997593080058308,0.07475000899272508,0.07475000899272508,0.17216792027577307,0.003148495522500531,0.08950016147929189,0.5287958115183246,0.0
SinBP_D,M2,intercept,baseline,208,58.58988517859178,58.5898851785918,2.2026824808563106e-13,2.0384637158052945e-16,,,0.0,0.0,,0.0
SinBP_D_EOnly,SinBP_D_EOnly,A,dynamic,205,2.3706517707301575,2.3821507628029983,0.09832932332177499,-0.18288986781355238,-0.18288986781355232,-0.2307299299316,-0.0071461565779528235,0.03582134288358851,0.625,0.00025598492507865957
SinBP_D_EOnly,SinBP_D_EOnly,E,dynamic,205,3.435516497085085,3.473023163689226,0.4318063771273991,0.0953852449685894,0.09538524496858936,0.25289729155542234,0.009199471381453914,0.15730693319004405,0.5026455026455027,0.0
SinBP_D_EOnly,SinBP_D_EOnly,HR,dynamic,205,-29.91010813223078,-30.62742180107056,4.644890999746319,0.3304655602776975,0.33046556027769763,0.8343487865276467,0.5803008900888172,1.6921323928399388,0.5502645502645502,0.0
SinBP_D_EOnly,SinBP_D_EOnly,P2V_relTTP,dynamic,205,11.635797948319748,11.669398859670427,1.9942687283966973,-0.043659291756234696,-0.043659291756234724,-0.23270602501128979,-0.03212069408086571,0.726511497370351,0.48128342245989303,0.023336053553264718
SinBP_D_EOnly,SinBP_D_EOnly,V2P_relTTP,dynamic,205,4.636687826696435,4.743184530865044,0.7035171059243323,-0.04273498184259664,-0.042734981842596644,-0.16129207635242457,-0.02174493759420742,0.2562910698908942,0.5238095238095238,0.005573033320730145
SinBP_D_EOnly,SinBP_D_EOnly,intercept,baseline,205,32.93944627909186,32.93944627909187,1.1368683772161603e-13,1.1616705577900796e-15,,,0.0,0.0,,0.0
SinBP_D_E2,SinBP_D_E2,A,dynamic,205,1.260333404323011,1.2664467289387904,0.052275805471311894,-0.18288986781355218,-0.1828898678135522,-0.3566043406951844,-0.0037991829752973593,0.019044060195306453,0.625,7.235186927454637e-05
SinBP_D_E2,SinBP_D_E2,E,dynamic,205,-30.557028921836256,-30.890630084036136,3.84068013229176,-0.09538524496858929,-0.09538524496858942,-0.2092640605030491,-0.08182423612496112,1.3991586159379437,0.4973544973544973,0.11448508496678009
SinBP_D_E2,SinBP_D_E2,E2,dynamic,205,18.878371884044814,18.992782392382434,4.21296195723167,0.15785069676165583,0.1578506967616559,0.32288667925116193,0.20367720499165237,1.5347807726862488,0.5026455026455027,0.0
SinBP_D_E2,SinBP_D_E2,HR,dynamic,205,-27.543893906834825,-28.204460278079555,4.277429701698727,0.33046556027769736,0.3304655602776975,0.8678013981904638,0.5343927905571259,1.5582663525872615,0.5502645502645502,0.0
SinBP_D_E2,SinBP_D_E2,P2V_relTTP,dynamic,205,10.734555832608269,10.76555421024617,1.839804120463468,-0.04365929175623477,-0.04365929175623479,-0.2960381209997495,-0.02963280950087066,0.670240087202618,0.48128342245989303,0.019861096823922116
SinBP_D_E2,SinBP_D_E2,V2P_relTTP,dynamic,205,4.738132611381326,4.846959326891616,0.7189091581823511,-0.04273498184259669,-0.042734981842596706,-0.24448656642773417,-0.022220688948337772,0.26189838989463626,0.5238095238095238,0.0058195626579192
SinBP_D_E2,SinBP_D_E2,intercept,baseline,205,47.51302270936904,47.513022709369054,1.9895196601282805e-13,1.1616705577900796e-15,,,0.0,0.0,,0.0
SinBP_D_LocalA,SinBP_D_LocalA,A_local,dynamic,205,-18.23940984156907,-18.304699984742697,0.6750794368002987,0.14655794170078543,0.14655794170078545,0.3538061604239531,0.0395430830419479,0.24593123559031105,0.4,0.0
SinBP_D_LocalA,SinBP_D_LocalA,E,dynamic,205,-39.62067084918532,-40.05322277942163,4.9798795474449875,-0.09538524496858947,-0.09538524496858956,-0.26194693000542374,-0.106094448360338,1.814168619916588,0.4973544973544973,0.19247321896268613
