経過時間_秒, Green, SinWave
0.021, 6.64, 5.16
0.053, 6.09, 4.17
0.086, 5.58, 3.20
0.118, 5.07, 2.33
0.150, 4.51, 1.52
0.182, 3.92, 0.69
0.217, 2.91, 0.34
0.248, 1.12, 0.55
0.281, 1.04, 1.28
0.317, 0.71, 2.58
0.348, 0.44, 3.98
0.378, 0.67, 5.43
0.416, 1.52, 7.19
0.445, 3.00, 8.30
0.488, 5.24, 9.08
0.520, 6.99, 9.45
0.552, 7.99, 9.62
0.583, 9.07, 9.58
0.616, 9.68, 9.32
0.652, 9.81, 8.80
0.684, 9.66, 8.15
0.718, 9.43, 7.31
0.754, 9.20, 2.64
0.786, 9.03, 4.00
0.817, 8.85, 3.08
0.846, 8.64, 2.30
0.892, 8.37, 1.00
0.924, 7.98, 0.47
0.955, 7.52, 0.53
0.987, 6.85, 1.18
1.019, 5.71, 2.34
1.050, 3.79, 3.81
1.082, 1.31, 5.49
1.122, 0.78, 7.50
1.156, 1.04, 8.70
1.187, 2.34, 9.26
1.220, 4.69, 9.65
1.248, 5.99, 9.82
1.287, 6.92, 9.77
1.320, 7.95, 9.48
1.352, 9.04, 8.99
1.384, 9.63, 8.33
1.420, 9.65, 7.41
1.453, 9.31, 6.44
1.488, 8.84, 5.35
1.523, 8.34, 9.03
1.554, 7.88, 6.75
1.590, 7.41, 5.70
1.622, 6.89, 4.74
1.653, 6.30, 3.83
1.687, 5.60, 2.90
1.726, 4.86, 1.97
1.759, 3.83, 1.20
1.790, 2.05, 0.82
1.817, 1.33, 0.77
1.852, 0.91, 1.10
1.891, 0.50, 1.97
1.918, 0.56, 2.81
1.951, 1.22, 4.04
1.983, 2.38, 5.34
2.020, 4.03, 6.81
2.048, 6.04, 7.82
2.083, 7.95, 8.72
2.117, 9.31, 9.25
2.154, 9.51, 9.60
2.186, 9.15, 9.68
2.227, 8.48, 9.48
2.262, 7.78, 10.30
2.294, 7.19, 5.85
2.322, 6.69, 5.01
2.354, 6.25, 4.05
2.385, 5.76, 3.16
2.421, 5.12, 2.23
2.459, 4.35, 1.20
2.495, 3.48, 0.55
2.526, 2.30, 0.55
2.560, 0.66, 1.15
2.591, 0.91, 2.16
2.626, 2.04, 3.70
2.655, 3.81, 5.13
2.688, 5.92, 6.74
2.718, 7.48, 8.01
2.753, 8.78, 8.77
2.791, 9.51, 9.28
2.819, 9.55, 9.48
2.854, 9.08, 9.51
2.889, 8.44, 9.30
2.924, 7.79, 5.93
2.953, 7.24, 8.03
2.986, 6.71, 7.22
3.023, 6.13, 6.20
3.054, 5.45, 5.29
3.095, 4.63, 4.09
3.126, 3.70, 3.22
3.155, 2.82, 2.48
3.190, 1.61, 1.56
3.221, 0.83, 0.84
3.253, 1.92, 0.67
3.288, 3.96, 1.17
3.327, 5.91, 2.47
3.358, 6.93, 3.90
3.390, 7.98, 5.53
3.424, 9.13, 7.19
3.456, 9.64, 8.39
3.490, 9.58, 9.00
3.523, 9.17, 9.37
3.555, 8.68, 7.32
3.594, 8.25, 6.10
3.625, 7.93, 5.12
3.655, 7.64, 4.18
3.688, 7.30, 3.20
3.720, 6.88, 2.35
3.754, 6.30, 1.25
3.788, 5.64, 0.80
3.825, 4.89, 1.49
3.852, 3.90, 2.66
3.898, 2.71, 5.43
3.929, 3.29, 7.31
3.962, 5.33, 8.62
3.989, 6.35, 9.10
4.031, 7.40, 9.55
4.062, 8.62, 9.64
4.090, 9.39, 9.53
4.126, 9.45, 9.13
4.157, 8.94, 8.56
4.193, 8.15, 7.73
4.228, 7.30, 7.09
4.261, 6.49, 6.25
4.293, 5.73, 5.41
4.325, 4.97, 4.61
4.359, 4.15, 3.85
4.392, 3.24, 3.10
4.422, 2.28, 2.71
4.459, 1.47, 2.82
4.495, 1.16, 3.52
4.526, 0.57, 4.50
4.558, 0.47, 5.74
4.591, 0.99, 7.06
4.625, 2.11, 8.26
4.650, 3.65, 8.78
4.687, 5.31, 9.24
4.727, 7.08, 9.45
4.759, 8.80, 9.38
4.792, 9.45, 9.09
4.824, 9.15, 8.60
4.857, 8.43, 7.96
4.896, 7.59, 6.80
4.925, 6.83, 4.12
4.956, 6.15, 3.10
4.988, 5.58, 2.16
5.021, 5.01, 1.10
5.061, 4.40, 0.45
5.094, 3.72, 0.85
5.122, 2.97, 1.81
5.160, 2.12, 3.77
5.191, 1.20, 5.61
5.223, 0.73, 7.39
5.261, 0.48, 8.63
5.294, 0.83, 9.16
5.322, 1.84, 9.40
5.355, 3.38, 9.43
5.391, 5.33, 9.12
5.428, 7.54, 8.48
5.460, 8.82, 7.69
5.492, 9.47, 6.74
5.529, 9.38, 5.47
5.562, 8.75, 4.36
5.599, 7.94, 2.60
5.630, 7.18, 5.09
5.663, 6.57, 4.01
5.697, 6.11, 2.95
5.721, 5.70, 2.27
5.764, 5.28, 1.00
5.796, 4.82, 0.43
5.827, 4.29, 0.55
5.862, 3.73, 1.45
5.891, 2.65, 2.70
5.930, 0.74, 4.79
5.957, 1.26, 6.29
5.993, 2.84, 8.03
6.026, 5.13, 8.77
6.067, 6.67, 9.31
6.098, 7.75, 9.47
6.130, 8.95, 9.39
6.167, 9.38, 9.00
6.196, 9.00, 8.49
6.228, 8.05, 7.74
6.268, 6.92, 7.22
6.298, 5.85, 6.98
6.329, 4.93, 6.08
6.355, 4.12, 5.28
6.393, 3.30, 4.10
6.422, 2.45, 3.25
6.465, 1.60, 2.14
6.492, 1.59, 1.36
6.530, 1.50, 0.76
6.561, 1.31, 0.88
6.599, 0.81, 1.76
6.632, 0.49, 3.04
6.663, 0.78, 4.52
6.696, 1.76, 6.17
6.736, 3.32, 7.93
6.766, 5.29, 8.61
6.799, 7.29, 9.09
6.833, 8.40, 9.35
6.866, 9.39, 9.36
6.901, 9.82, 9.10
6.926, 9.84, 8.76
6.961, 9.65, 8.07
6.999, 9.41, 7.15
7.035, 9.17, 4.57
7.070, 8.90, 1.63
7.102, 8.57, 0.71
7.143, 8.15, 0.48
7.176, 7.63, 1.11
7.208, 7.02, 2.31
7.238, 6.34, 3.82
7.268, 5.35, 5.49
7.299, 3.78, 7.17
7.332, 1.58, 8.58
7.363, 1.37, 9.25
7.400, 3.10, 9.73
7.432, 5.56, 9.84
7.466, 6.63, 9.63
7.499, 7.78, 9.12
7.536, 9.02, 8.24
7.567, 9.53, 7.30
7.599, 9.29, 6.16
7.635, 8.57, 4.88
7.672, 7.68, 7.26
7.703, 6.85, 8.26
7.735, 6.15, 7.44
7.767, 5.52, 6.52
7.800, 4.88, 5.52
7.833, 4.16, 4.53
7.868, 3.32, 3.54
7.899, 2.39, 2.78
7.938, 1.54, 1.81
7.972, 1.37, 1.39
8.004, 0.94, 1.45
8.035, 0.52, 1.94
8.066, 0.68, 2.79
8.095, 1.49, 3.85
8.136, 2.86, 5.58
8.165, 4.59, 6.82
8.194, 6.72, 7.96
8.233, 8.49, 9.00
8.269, 9.33, 9.54
8.301, 9.44, 9.79
8.333, 8.99, 9.83
8.374, 8.27, 9.56
8.403, 7.50, 9.85
8.437, 6.80, 3.66
8.467, 6.17, 2.78
8.500, 5.52, 1.93
8.534, 4.83, 0.82
8.567, 4.05, 0.53
8.602, 3.18, 1.24
8.633, 2.26, 2.61
8.666, 1.42, 4.55
8.702, 1.16, 6.76
8.737, 0.56, 8.32
8.766, 0.40, 8.86
8.802, 0.84, 9.29
8.838, 1.87, 9.44
