経過時間_秒, Green, IBI, Smoothed_IBI, bpmSD, Smoothed_BPM
0.021, 6.64, 758.00, 757.55, 7.31, 79.20
0.053, 6.09, 758.00, 757.55, 7.31, 79.20
0.086, 5.58, 758.00, 757.55, 7.31, 79.20
0.118, 5.07, 758.00, 757.55, 7.31, 79.20
0.150, 4.51, 758.00, 757.55, 7.31, 79.20
0.182, 3.92, 758.00, 757.55, 7.31, 79.20
0.217, 2.91, 758.00, 757.55, 7.31, 79.20
0.248, 1.12, 758.00, 757.55, 7.31, 79.20
0.281, 1.04, 758.00, 757.55, 7.31, 79.20
0.317, 0.71, 758.00, 757.55, 7.31, 79.20
0.348, 0.44, 758.00, 757.55, 7.31, 79.20
0.378, 0.67, 758.00, 757.55, 7.31, 79.20
0.416, 1.52, 758.00, 757.55, 7.31, 79.20
0.445, 3.00, 758.00, 757.55, 7.31, 79.20
0.488, 5.24, 758.00, 757.55, 7.31, 79.20
0.520, 6.99, 758.00, 757.55, 7.31, 79.20
0.552, 7.99, 758.00, 757.55, 7.31, 79.20
0.583, 9.07, 758.00, 757.55, 7.31, 79.20
0.616, 9.68, 758.00, 757.55, 7.31, 79.20
0.652, 9.81, 758.00, 757.55, 7.31, 79.20
0.684, 9.66, 794.00, 775.78, 7.35, 77.34
0.718, 9.43, 794.00, 775.78, 7.35, 77.34
0.754, 9.20, 794.00, 775.78, 7.35, 77.34
0.786, 9.03, 794.00, 775.78, 7.35, 77.34
0.817, 8.85, 794.00, 775.78, 7.35, 77.34
0.846, 8.64, 794.00, 775.78, 7.35, 77.34
0.892, 8.37, 794.00, 775.78, 7.35, 77.34
0.924, 7.98, 794.00, 775.78, 7.35, 77.34
0.955, 7.52, 794.00, 775.78, 7.35, 77.34
0.987, 6.85, 794.00, 775.78, 7.35, 77.34
1.019, 5.71, 794.00, 775.78, 7.35, 77.34
1.050, 3.79, 794.00, 775.78, 7.35, 77.34
1.082, 1.31, 794.00, 775.78, 7.35, 77.34
1.122, 0.78, 794.00, 775.78, 7.35, 77.34
1.156, 1.04, 794.00, 775.78, 7.35, 77.34
1.187, 2.34, 794.00, 775.78, 7.35, 77.34
1.220, 4.69, 794.00, 775.78, 7.35, 77.34
1.248, 5.99, 794.00, 775.78, 7.35, 77.34
1.287, 6.92, 794.00, 775.78, 7.35, 77.34
1.320, 7.95, 794.00, 775.78, 7.35, 77.34
1.352, 9.04, 794.00, 775.78, 7.35, 77.34
1.384, 9.63, 794.00, 775.78, 7.35, 77.34
1.420, 9.65, 794.00, 775.78, 7.35, 77.34
1.453, 9.31, 754.00, 764.89, 7.34, 78.44
1.488, 8.84, 754.00, 764.89, 7.34, 78.44
1.523, 8.34, 754.00, 764.89, 7.34, 78.44
1.554, 7.88, 754.00, 764.89, 7.34, 78.44
1.590, 7.41, 754.00, 764.89, 7.34, 78.44
1.622, 6.89, 754.00, 764.89, 7.34, 78.44
1.653, 6.30, 754.00, 764.89, 7.34, 78.44
1.687, 5.60, 754.00, 764.89, 7.34, 78.44
1.726, 4.86, 754.00, 764.89, 7.34, 78.44
1.759, 3.83, 754.00, 764.89, 7.34, 78.44
1.790, 2.05, 754.00, 764.89, 7.34, 78.44
1.817, 1.33, 754.00, 764.89, 7.34, 78.44
1.852, 0.91, 754.00, 764.89, 7.34, 78.44
1.891, 0.50, 754.00, 764.89, 7.34, 78.44
1.918, 0.56, 754.00, 764.89, 7.34, 78.44
1.951, 1.22, 754.00, 764.89, 7.34, 78.44
1.983, 2.38, 754.00, 764.89, 7.34, 78.44
2.020, 4.03, 754.00, 764.89, 7.34, 78.44
2.048, 6.04, 754.00, 764.89, 7.34, 78.44
2.083, 7.95, 754.00, 764.89, 7.34, 78.44
2.117, 9.31, 754.00, 764.89, 7.34, 78.44
2.154, 9.51, 754.00, 764.89, 7.34, 78.44
2.186, 9.15, 744.00, 754.44, 7.35, 79.53
2.227, 8.48, 744.00, 754.44, 7.35, 79.53
2.262, 7.78, 744.00, 754.44, 7.35, 79.53
2.294, 7.19, 744.00, 754.44, 7.35, 79.53
2.322, 6.69, 744.00, 754.44, 7.35, 79.53
2.354, 6.25, 744.00, 754.44, 7.35, 79.53
2.385, 5.76, 744.00, 754.44, 7.35, 79.53
2.421, 5.12, 744.00, 754.44, 7.35, 79.53
2.459, 4.35, 744.00, 754.44, 7.35, 79.53
2.495, 3.48, 744.00, 754.44, 7.35, 79.53
2.526, 2.30, 744.00, 754.44, 7.35, 79.53
2.560, 0.66, 744.00, 754.44, 7.35, 79.53
2.591, 0.91, 744.00, 754.44, 7.35, 79.53
2.626, 2.04, 744.00, 754.44, 7.35, 79.53
2.655, 3.81, 744.00, 754.44, 7.35, 79.53
2.688, 5.92, 744.00, 754.44, 7.35, 79.53
2.718, 7.48, 744.00, 754.44, 7.35, 79.53
2.753, 8.78, 744.00, 754.44, 7.35, 79.53
2.791, 9.51, 744.00, 754.44, 7.35, 79.53
2.819, 9.55, 744.00, 754.44, 7.35, 79.53
2.854, 9.08, 657.00, 705.72, 7.78, 85.02
2.889, 8.44, 657.00, 705.72, 7.78, 85.02
2.924, 7.79, 657.00, 705.72, 7.78, 85.02
2.953, 7.24, 657.00, 705.72, 7.78, 85.02
2.986, 6.71, 657.00, 705.72, 7.78, 85.02
3.023, 6.13, 657.00, 705.72, 7.78, 85.02
3.054, 5.45, 657.00, 705.72, 7.78, 85.02
3.095, 4.63, 657.00, 705.72, 7.78, 85.02
3.126, 3.70, 657.00, 705.72, 7.78, 85.02
3.155, 2.82, 657.00, 705.72, 7.78, 85.02
3.190, 1.61, 657.00, 705.72, 7.78, 85.02
3.221, 0.83, 657.00, 705.72, 7.78, 85.02
3.253, 1.92, 657.00, 705.72, 7.78, 85.02
3.288, 3.96, 657.00, 705.72, 7.78, 85.02
3.327, 5.91, 657.00, 705.72, 7.78, 85.02
3.358, 6.93, 657.00, 705.72, 7.78, 85.02
3.390, 7.98, 657.00, 705.72, 7.78, 85.02
3.424, 9.13, 657.00, 705.72, 7.78, 85.02
3.456, 9.64, 657.00, 705.72, 7.78, 85.02
3.490, 9.58, 665.00, 685.36, 8.07, 87.55
3.523, 9.17, 665.00, 685.36, 8.07, 87.55
3.555, 8.68, 665.00, 685.36, 8.07, 87.55
3.594, 8.25, 665.00, 685.36, 8.07, 87.55
3.625, 7.93, 665.00, 685.36, 8.07, 87.55
3.655, 7.64, 665.00, 685.36, 8.07, 87.55
3.688, 7.30, 665.00, 685.36, 8.07, 87.55
3.720, 6.88, 665.00, 685.36, 8.07, 87.55
3.754, 6.30, 665.00, 685.36, 8.07, 87.55
3.788, 5.64, 665.00, 685.36, 8.07, 87.55
3.825, 4.89, 665.00, 685.36, 8.07, 87.55
3.852, 3.90, 665.00, 685.36, 8.07, 87.55
3.898, 2.71, 665.00, 685.36, 8.07, 87.55
3.929, 3.29, 665.00, 685.36, 8.07, 87.55
3.962, 5.33, 665.00, 685.36, 8.07, 87.55
3.989, 6.35, 665.00, 685.36, 8.07, 87.55
4.031, 7.40, 665.00, 685.36, 8.07, 87.55
4.062, 8.62, 665.00, 685.36, 8.07, 87.55
4.090, 9.39, 665.00, 685.36, 8.07, 87.55
4.126, 9.45, 665.00, 685.36, 8.07, 87.55
4.157, 8.94, 640.00, 662.68, 8.53, 90.54
4.193, 8.15, 640.00, 662.68, 8.53, 90.54
4.228, 7.30, 640.00, 662.68, 8.53, 90.54
4.261, 6.49, 640.00, 662.68, 8.53, 90.54
4.293, 5.73, 640.00, 662.68, 8.53, 90.54
4.325, 4.97, 640.00, 662.68, 8.53, 90.54
4.359, 4.15, 640.00, 662.68, 8.53, 90.54
4.392, 3.24, 640.00, 662.68, 8.53, 90.54
4.422, 2.28, 640.00, 662.68, 8.53, 90.54
4.459, 1.47, 640.00, 662.68, 8.53, 90.54
4.495, 1.16, 640.00, 662.68, 8.53, 90.54
4.526, 0.57, 640.00, 662.68, 8.53, 90.54
4.558, 0.47, 640.00, 662.68, 8.53, 90.54
4.591, 0.99, 640.00, 662.68, 8.53, 90.54
4.625, 2.11, 640.00, 662.68, 8.53, 90.54
4.650, 3.65, 640.00, 662.68, 8.53, 90.54
4.687, 5.31, 640.00, 662.68, 8.53, 90.54
4.727, 7.08, 640.00, 662.68, 8.53, 90.54
4.759, 8.80, 640.00, 662.68, 8.53, 90.54
4.792, 9.45, 640.00, 662.68, 8.53, 90.54
4.824, 9.15, 687.00, 674.84, 8.61, 88.91
4.857, 8.43, 687.00, 674.84, 8.61, 88.91
4.896, 7.59, 687.00, 674.84, 8.61, 88.91
4.925, 6.83, 687.00, 674.84, 8.61, 88.91
4.956, 6.15, 687.00, 674.84, 8.61, 88.91
4.988, 5.58, 687.00, 674.84, 8.61, 88.91
5.021, 5.01, 687.00, 674.84, 8.61, 88.91
5.061, 4.40, 687.00, 674.84, 8.61, 88.91
5.094, 3.72, 687.00, 674.84, 8.61, 88.91
5.122, 2.97, 687.00, 674.84, 8.61, 88.91
5.160, 2.12, 687.00, 674.84, 8.61, 88.91
5.191, 1.20, 687.00, 674.84, 8.61, 88.91
5.223, 0.73, 687.00, 674.84, 8.61, 88.91
5.261, 0.48, 687.00, 674.84, 8.61, 88.91
5.294, 0.83, 687.00, 674.84, 8.61, 88.91
5.322, 1.84, 687.00, 674.84, 8.61, 88.91
5.355, 3.38, 687.00, 674.84, 8.61, 88.91
5.391, 5.33, 687.00, 674.84, 8.61, 88.91
5.428, 7.54, 687.00, 674.84, 8.61, 88.91
5.460, 8.82, 687.00, 674.84, 8.61, 88.91
5.492, 9.47, 687.00, 674.84, 8.61, 88.91
5.529, 9.38, 712.00, 693.42, 8.60, 86.53
5.562, 8.75, 712.00, 693.42, 8.60, 86.53
5.599, 7.94, 712.00, 693.42, 8.60, 86.53
5.630, 7.18, 712.00, 693.42, 8.60, 86.53
5.663, 6.57, 712.00, 693.42, 8.60, 86.53
5.697, 6.11, 712.00, 693.42, 8.60, 86.53
5.721, 5.70, 712.00, 693.42, 8.60, 86.53
5.764, 5.28, 712.00, 693.42, 8.60, 86.53
5.796, 4.82, 712.00, 693.42, 8.60, 86.53
5.827, 4.29, 712.00, 693.42, 8.60, 86.53
5.862, 3.73, 712.00, 693.42, 8.60, 86.53
5.891, 2.65, 712.00, 693.42, 8.60, 86.53
5.930, 0.74, 712.00, 693.42, 8.60, 86.53
5.957, 1.26, 712.00, 693.42, 8.60, 86.53
5.993, 2.84, 712.00, 693.42, 8.60, 86.53
6.026, 5.13, 712.00, 693.42, 8.60, 86.53
6.067, 6.67, 712.00, 693.42, 8.60, 86.53
6.098, 7.75, 712.00, 693.42, 8.60, 86.53
6.130, 8.95, 712.00, 693.42, 8.60, 86.53
6.167, 9.38, 712.00, 693.42, 8.60, 86.53
6.196, 9.00, 653.00, 673.21, 8.73, 89.13
6.228, 8.05, 653.00, 673.21, 8.73, 89.13
6.268, 6.92, 653.00, 673.21, 8.73, 89.13
6.298, 5.85, 653.00, 673.21, 8.73, 89.13
6.329, 4.93, 653.00, 673.21, 8.73, 89.13
6.355, 4.12, 653.00, 673.21, 8.73, 89.13
6.393, 3.30, 653.00, 673.21, 8.73, 89.13
6.422, 2.45, 653.00, 673.21, 8.73, 89.13
6.465, 1.60, 653.00, 673.21, 8.73, 89.13
6.492, 1.59, 653.00, 673.21, 8.73, 89.13
6.530, 1.50, 653.00, 673.21, 8.73, 89.13
6.561, 1.31, 653.00, 673.21, 8.73, 89.13
6.599, 0.81, 653.00, 673.21, 8.73, 89.13
6.632, 0.49, 653.00, 673.21, 8.73, 89.13
6.663, 0.78, 653.00, 673.21, 8.73, 89.13
6.696, 1.76, 653.00, 673.21, 8.73, 89.13
6.736, 3.32, 653.00, 673.21, 8.73, 89.13
6.766, 5.29, 653.00, 673.21, 8.73, 89.13
6.799, 7.29, 653.00, 673.21, 8.73, 89.13
6.833, 8.40, 653.00, 673.21, 8.73, 89.13
6.866, 9.39, 653.00, 673.21, 8.73, 89.13
6.901, 9.82, 653.00, 673.21, 8.73, 89.13
6.926, 9.84, 653.00, 673.21, 8.73, 89.13
6.961, 9.65, 752.00, 712.61, 8.71, 84.20
6.999, 9.41, 752.00, 712.61, 8.71, 84.20
7.035, 9.17, 752.00, 712.61, 8.71, 84.20
7.070, 8.90, 752.00, 712.61, 8.71, 84.20
7.102, 8.57, 752.00, 712.61, 8.71, 84.20
7.143, 8.15, 752.00, 712.61, 8.71, 84.20
7.176, 7.63, 752.00, 712.61, 8.71, 84.20
7.208, 7.02, 752.00, 712.61, 8.71, 84.20
7.238, 6.34, 752.00, 712.61, 8.71, 84.20
7.268, 5.35, 752.00, 712.61, 8.71, 84.20
7.299, 3.78, 752.00, 712.61, 8.71, 84.20
7.332, 1.58, 752.00, 712.61, 8.71, 84.20
7.363, 1.37, 752.00, 712.61, 8.71, 84.20
7.400, 3.10, 752.00, 712.61, 8.71, 84.20
7.432, 5.56, 752.00, 712.61, 8.71, 84.20
7.466, 6.63, 752.00, 712.61, 8.71, 84.20
7.499, 7.78, 752.00, 712.61, 8.71, 84.20
7.536, 9.02, 752.00, 712.61, 8.71, 84.20
7.567, 9.53, 752.00, 712.61, 8.71, 84.20
7.599, 9.29, 658.00, 685.30, 8.85, 87.55
7.635, 8.57, 658.00, 685.30, 8.85, 87.55
7.672, 7.68, 658.00, 685.30, 8.85, 87.55
7.703, 6.85, 658.00, 685.30, 8.85, 87.55
7.735, 6.15, 658.00, 685.30, 8.85, 87.55
7.767, 5.52, 658.00, 685.30, 8.85, 87.55
7.800, 4.88, 658.00, 685.30, 8.85, 87.55
7.833, 4.16, 658.00, 685.30, 8.85, 87.55
7.868, 3.32, 658.00, 685.30, 8.85, 87.55
7.899, 2.39, 658.00, 685.30, 8.85, 87.55
7.938, 1.54, 658.00, 685.30, 8.85, 87.55
7.972, 1.37, 658.00, 685.30, 8.85, 87.55
8.004, 0.94, 658.00, 685.30, 8.85, 87.55
8.035, 0.52, 658.00, 685.30, 8.85, 87.55
8.066, 0.68, 658.00, 685.30, 8.85, 87.55
8.095, 1.49, 658.00, 685.30, 8.85, 87.55
8.136, 2.86, 658.00, 685.30, 8.85, 87.55
8.165, 4.59, 658.00, 685.30, 8.85, 87.55
8.194, 6.72, 658.00, 685.30, 8.85, 87.55
8.233, 8.49, 658.00, 685.30, 8.85, 87.55
8.269, 9.33, 658.00, 685.30, 8.85, 87.55
8.301, 9.44, 658.00, 685.30, 8.85, 87.55
8.333, 8.99, 718.00, 701.65, 8.77, 85.51
8.374, 8.27, 718.00, 701.65, 8.77, 85.51
8.403, 7.50, 718.00, 701.65, 8.77, 85.51
8.437, 6.80, 718.00, 701.65, 8.77, 85.51
8.467, 6.17, 718.00, 701.65, 8.77, 85.51
8.500, 5.52, 718.00, 701.65, 8.77, 85.51
8.534, 4.83, 718.00, 701.65, 8.77, 85.51
8.567, 4.05, 718.00, 701.65, 8.77, 85.51
8.602, 3.18, 718.00, 701.65, 8.77, 85.51
8.633, 2.26, 718.00, 701.65, 8.77, 85.51
8.666, 1.42, 718.00, 701.65, 8.77, 85.51
8.702, 1.16, 718.00, 701.65, 8.77, 85.51
8.737, 0.56, 718.00, 701.65, 8.77, 85.51
8.766, 0.40, 718.00, 701.65, 8.77, 85.51
8.802, 0.84, 718.00, 701.65, 8.77, 85.51
8.838, 1.87, 718.00, 701.65, 8.77, 85.51
8.872, 3.32, 718.00, 701.65, 8.77, 85.51
8.903, 5.15, 718.00, 701.65, 8.77, 85.51
8.935, 7.21, 718.00, 701.65, 8.77, 85.51
8.973, 9.05, 718.00, 701.65, 8.77, 85.51
9.009, 9.47, 718.00, 701.65, 8.77, 85.51
9.037, 9.22, 718.00, 701.65, 8.54, 85.51
9.080, 8.54, 718.00, 701.65, 8.54, 85.51
9.122, 7.80, 718.00, 701.65, 8.54, 85.51
9.150, 7.16, 718.00, 701.65, 8.54, 85.51
9.180, 6.66, 718.00, 701.65, 8.54, 85.51
9.210, 6.28, 718.00, 701.65, 8.54, 85.51
9.239, 5.89, 718.00, 701.65, 8.54, 85.51
9.269, 5.42, 718.00, 701.65, 8.54, 85.51
9.310, 4.81, 718.00, 701.65, 8.54, 85.51
9.341, 4.04, 718.00, 701.65, 8.54, 85.51
9.373, 3.13, 718.00, 701.65, 8.54, 85.51
9.401, 1.45, 718.00, 701.65, 8.54, 85.51
9.434, 0.73, 718.00, 701.65, 8.54, 85.51
9.471, 0.53, 718.00, 701.65, 8.54, 85.51
9.509, 1.09, 718.00, 701.65, 8.54, 85.51
9.543, 2.42, 718.00, 701.65, 8.54, 85.51
9.575, 4.31, 718.00, 701.65, 8.54, 85.51
9.609, 6.54, 718.00, 701.65, 8.54, 85.51
9.635, 7.94, 718.00, 701.65, 8.54, 85.51
9.669, 9.05, 718.00, 701.65, 8.54, 85.51
9.702, 9.38, 718.00, 701.65, 8.54, 85.51
9.736, 9.00, 694.00, 697.83, 8.53, 85.98
9.770, 8.12, 694.00, 697.83, 8.53, 85.98
9.814, 7.09, 694.00, 697.83, 8.53, 85.98
9.850, 6.08, 694.00, 697.83, 8.53, 85.98
9.883, 5.11, 694.00, 697.83, 8.53, 85.98
9.914, 4.19, 694.00, 697.83, 8.53, 85.98
9.946, 3.21, 694.00, 697.83, 8.53, 85.98
9.975, 2.16, 694.00, 697.83, 8.53, 85.98
10.005, 1.62, 694.00, 697.83, 8.53, 85.98
10.034, 1.46, 694.00, 697.83, 8.53, 85.98
10.066, 1.30, 694.00, 697.83, 8.53, 85.98
10.111, 0.95, 694.00, 697.83, 8.53, 85.98
10.139, 0.51, 694.00, 697.83, 8.53, 85.98
10.172, 0.57, 694.00, 697.83, 8.53, 85.98
10.204, 1.19, 694.00, 697.83, 8.53, 85.98
10.242, 2.35, 694.00, 697.83, 8.53, 85.98
10.273, 3.82, 694.00, 697.83, 8.53, 85.98
10.305, 5.43, 694.00, 697.83, 8.53, 85.98
10.344, 7.16, 694.00, 697.83, 8.53, 85.98
10.376, 8.61, 694.00, 697.83, 8.53, 85.98
10.409, 9.33, 694.00, 697.83, 8.53, 85.98
10.441, 8.70, 707.00, 702.41, 7.40, 85.42
10.477, 7.70, 707.00, 702.41, 7.40, 85.42
10.516, 6.62, 707.00, 702.41, 7.40, 85.42
10.546, 5.60, 707.00, 702.41, 7.40, 85.42
