method,series,target,filters,n,mae,rmse,corr,signed_bias,centered_mae,centered_rmse,centered_corr,tracking_gain,amplitude_ratio,direction_agreement,inversion_like,pp_mae,pp_signed_bias
RTBP,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",101,6.134464055930694,8.125372307762367,-0.028653694127985085,-4.4206145705049495,5.021977852178219,6.858291046530755,-0.02865369412798505,-0.054610288298087784,1.6121290376162585,0.5816326530612245,0,4.554742119346535,-0.30917394964356426
RTBP,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",101,5.957544340821781,8.33681091788157,0.11300348704117992,-4.111440620861385,5.325789212475247,7.2554588229519785,0.11300348704117992,0.4796871864653907,4.061003224332932,0.4489795918367347,0,4.554742119346535,-0.30917394964356426
RTBP,raw,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",101,5.812193126016499,7.829446017688549,0.13541628880014558,-4.214498604075905,4.719862573528052,6.609385998230617,0.1354162888001456,19.994161779699283,151.5949580475666,0.5306122448979592,0,4.554742119346535,-0.30917394964356426
RTBP,raw,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",101,4.554742119346535,5.629276090547469,0.1987195009652181,-0.30917394964356426,4.642132051920792,5.717053034921747,0.19871950096521818,0.1069050049076016,0.5885193379749407,0.425531914893617,0,4.554742119346535,-0.30917394964356426
RTBP,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",101,4.8702089514160285,6.072109382364773,-0.20732485020612956,-3.8730401150081915,3.770242549918262,4.745979126124598,-0.20732485020612956,-0.14912005640380233,0.6757754419216883,0.47959183673469385,0,4.182231538646884,-0.45218396130484056
RTBP,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",101,3.5008925145057486,4.356090282869489,0.41891514411886505,-3.4208561537033506,2.205236490131559,2.701667540389752,0.4189151441188651,0.6768201959745019,1.6302438182911145,0.5408163265306123,0,4.182231538646884,-0.45218396130484056
RTBP,smoothed,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",101,3.661090510394807,4.342088416488507,0.16496475757130932,-3.5715841408049656,1.8833272352715535,2.473012064012541,0.16496475757130943,9.18288510242467,56.838639221645,0.5816326530612245,0,4.182231538646884,-0.45218396130484056
RTBP,smoothed,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",101,4.182231538646884,5.2335975208184395,0.2814284549602639,-0.45218396130484056,4.342177422600988,5.369350922203794,0.281428454960264,0.11657282957200686,0.4724117177547234,0.4105263157894737,0,4.182231538646884,-0.45218396130484056
RTBP,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",101,4.8702089514160285,6.072109382364773,-0.20732485020612956,-3.8730401150081915,3.770242549918262,4.745979126124598,-0.20732485020612956,-0.14912005640380233,0.6757754419216883,0.47959183673469385,0,4.182231538646884,-0.45218396130484056
RTBP,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",101,3.5008925145057486,4.356090282869489,0.41891514411886505,-3.4208561537033506,2.205236490131559,2.701667540389752,0.4189151441188651,0.6768201959745019,1.6302438182911145,0.5408163265306123,0,4.182231538646884,-0.45218396130484056
