method,prefix,term,term_kind,n,pp_term_mean,pp_term_median,pp_term_std,corr_to_ref_pp,centered_corr_to_ref_pp,centered_corr_to_pred_pp,gain_to_ref_pp,amplitude_ratio_to_ref_pp,direction_agreement_to_ref_pp,inverse_strength
RTBP,M1,A,dynamic,101,-7.523918896692079,-8.249675401499996,1.75810489080886,-0.001272414049465667,-0.0012724140494656667,0.256524985818727,0.018034007038506043,0.329905356168581,0.5319148936170213,0.0
RTBP,M1,HR,dynamic,101,-34.58346738214851,-34.2331387711,2.8065704299531746,0.23259582606083898,0.23259582606083887,0.6633672205066358,0.11130207778182448,0.5266481096471582,0.4631578947368421,0.0
RTBP,M1,P2V_relTTP,dynamic,101,1.9840918341752478,1.8975447280999997,0.42328588999811306,-0.1972125044337978,-0.19721250443379784,-0.1407935745637445,-0.013171826037768682,0.07942886856808384,0.4842105263157895,0.001046223239155593
RTBP,M1,V2P_relTTP,dynamic,101,14.91969176850594,15.142743557299998,2.711383605883233,0.020520537386052053,0.020520537386052053,0.3258294641619814,0.004576267305211604,0.5087864659753163,0.46808510638297873,0.0
RTBP,M1,intercept,baseline,101,63.26481716239999,63.2648171624,1.1368683772161603e-13,-1.9801800172329458e-16,,,0.0,0.0,,0.0
SinBP_D,M2,A,dynamic,93,-4.418940658919353,-4.5203206212,0.3955178022307458,-0.011389311669422275,-0.011389311669422343,-0.15605260075413246,0.0026850425194837545,0.07225890662643343,0.38461538461538464,0.0
SinBP_D,M2,E,dynamic,93,8.223708619738712,8.5296724756,1.4979208514625544,-0.0010207610281339058,-0.001020761028133899,0.48715780187396085,-0.010765395760827093,0.27366182338481454,0.5057471264367817,0.002946077833367095
SinBP_D,M2,HR,dynamic,93,-34.562848920402146,-34.2331387711,2.6301014274291155,0.27323727619066446,0.2732372761906646,0.7885293543784935,0.11517576279094742,0.4805049289583564,0.45977011494252873,0.0
SinBP_D,M2,P2V_relTTP,dynamic,93,1.963786578606452,1.8794974277000005,0.36213083117226996,-0.3999435127662837,-0.39994351276628376,-0.3574771693357212,-0.02259997289059194,0.06615929237229075,0.3793103448275862,0.0014951982140745171
SinBP_D,M2,Stiffness,dynamic,93,-0.7028336548290323,-0.7347212071999998,0.13786794165378177,-0.026684715318918004,-0.026684715318918077,-0.4712881023963141,0.0004463944370071432,0.025187707523028846,0.47126436781609193,0.0
SinBP_D,M2,V2P_relTTP,dynamic,93,15.006328484627957,15.142743557299998,2.6250784771110767,0.08833226739893107,0.08833226739893099,0.6650456561530762,0.0361327718093027,0.47958726382173467,0.5287356321839081,0.0
SinBP_D,M2,intercept,baseline,93,52.894426542699996,52.8944265427,4.973799150320701e-14,5.862487039727065e-16,,,0.0,0.0,,0.0
