経過時間_秒, Green, SinWave
0.027, 6.16, 5.98
0.059, 5.19, 5.00
0.095, 3.82, 3.91
0.128, 2.04, 2.97
0.152, 0.54, 2.36
0.195, 0.51, 1.32
0.228, 1.06, 0.77
0.261, 2.16, 0.58
0.296, 3.66, 0.79
0.323, 5.32, 1.23
0.362, 6.89, 2.24
0.398, 8.13, 3.47
0.418, 9.01, 4.24
0.459, 9.65, 5.88
0.496, 9.67, 7.29
0.533, 9.26, 8.54
0.559, 8.63, 9.04
0.598, 7.84, 7.78
0.619, 6.94, 4.82
0.662, 5.96, 3.14
0.689, 5.04, 2.22
0.722, 4.12, 1.34
0.763, 3.29, 0.67
0.785, 2.25, 0.53
0.819, 1.36, 0.60
0.859, 1.29, 1.16
0.890, 1.06, 1.90
0.931, 0.58, 3.20
0.964, 0.55, 4.41
0.998, 1.10, 5.72
1.019, 2.29, 6.51
1.057, 3.95, 7.81
1.092, 5.94, 8.79
1.129, 7.81, 9.48
1.161, 8.80, 9.71
1.197, 9.46, 9.53
1.221, 9.82, 9.17
1.259, 9.85, 8.23
1.295, 9.72, 7.02
1.331, 9.50, 5.63
1.360, 9.21, 0.59
1.397, 8.87, 1.14
1.430, 8.43, 0.61
1.462, 7.86, 0.58
1.490, 7.17, 0.96
1.529, 6.44, 2.05
1.561, 5.55, 3.31
1.595, 4.22, 4.88
1.628, 2.13, 6.43
1.662, 0.61, 7.89
1.697, 0.58, 8.96
1.729, 1.20, 9.55
1.758, 2.59, 9.82
1.806, 4.59, 9.69
1.827, 6.54, 9.40
1.868, 7.38, 8.47
1.894, 8.46, 7.68
1.930, 9.26, 6.41
1.958, 9.75, 5.33
2.000, 9.82, 3.73
2.029, 9.73, 2.68
2.063, 9.52, 1.66
2.099, 9.32, 5.47
2.130, 9.09, 5.88
2.162, 8.77, 4.81
2.197, 8.36, 3.66
2.230, 7.79, 2.67
2.262, 7.08, 1.83
2.297, 6.26, 0.96
2.331, 4.88, 0.56
2.360, 2.96, 0.59
2.399, 0.80, 1.16
2.431, 0.53, 2.05
2.463, 1.03, 3.22
2.500, 2.27, 4.78
2.531, 4.08, 6.14
2.563, 6.19, 7.45
2.598, 7.56, 8.61
2.629, 8.81, 9.22
2.670, 9.62, 9.72
2.694, 9.88, 9.83
2.725, 9.69, 9.76
2.763, 9.34, 9.37
2.803, 8.83, 9.98
2.826, 8.24, 7.21
2.862, 7.57, 6.07
2.904, 6.74, 4.67
2.929, 5.80, 3.85
2.962, 4.55, 2.84
2.999, 3.14, 1.85
3.032, 2.29, 0.97
3.063, 2.14, 0.56
3.097, 1.93, 0.64
3.128, 1.63, 1.18
3.163, 0.88, 2.26
3.197, 0.38, 3.66
3.235, 0.31, 5.43
3.267, 0.75, 6.91
3.298, 1.46, 8.17
3.326, 2.35, 8.91
3.363, 3.25, 9.53
3.403, 3.89, 9.86
3.427, 4.30, 9.87
3.464, 4.36, 9.63
3.493, 4.30, 9.22
3.534, 4.19, 8.35
3.562, 3.95, 5.06
3.598, 3.86, 2.29
3.637, 3.47, 1.50
3.662, 2.75, 0.99
3.700, 2.43, 0.37
3.730, 2.13, 0.32
3.774, 1.83, 0.94
3.805, 1.66, 1.81
3.831, 1.43, 2.71
3.865, 1.24, 3.99
3.900, 0.78, 5.22
3.933, 0.42, 6.01
3.966, 0.47, 6.42
4.007, 1.02, 6.70
4.039, 2.00, 6.73
4.064, 3.35, 6.62
4.106, 4.96, 6.22
4.137, 6.66, 5.76
4.165, 8.31, 5.25
4.204, 8.78, 4.42
4.232, 8.76, 3.75
4.267, 8.78, 2.96
4.299, 8.93, 2.24
4.333, 9.17, 1.56
4.376, 9.61, 0.68
4.399, 9.80, 0.37
4.434, 9.65, 0.35
4.461, 9.16, 0.70
4.506, 8.45, -2.01
4.538, 7.60, 2.06
4.567, 6.59, 1.20
4.604, 5.42, 0.46
4.628, 3.98, 0.46
4.666, 2.33, 1.25
4.700, 0.58, 2.64
4.737, 1.15, 4.61
4.771, 2.31, 6.52
4.798, 3.66, 7.88
4.832, 4.91, 8.83
4.867, 5.90, 9.37
4.902, 6.36, 9.68
4.934, 6.37, 9.80
4.967, 5.99, 9.72
4.999, 5.44, 9.47
5.037, 5.03, 8.21
5.066, 4.99, 7.61
5.102, 5.08, 8.43
5.137, 4.15, 9.14
5.175, 3.06, 9.64
5.199, 1.94, 9.78
5.235, 2.03, 9.75
5.268, 1.86, 9.46
5.315, 1.76, 8.64
5.336, 1.34, 8.14
5.367, 0.71, 7.29
5.404, 0.66, 6.14
5.434, 1.37, 5.16
5.470, 2.77, 3.99
5.508, 4.74, 2.84
5.532, 6.65, 2.20
5.567, 7.60, 1.47
5.604, 8.60, 0.94
5.637, 9.45, 0.66
5.670, 9.85, 0.58
5.713, 9.83, 0.77
5.732, 9.51, 0.97
5.769, 9.01, 0.64
5.801, 8.32, 0.98
5.836, 7.57, 1.68
5.871, 6.75, 2.69
5.913, 5.90, 4.10
5.931, 5.03, 4.77
5.972, 4.15, 6.29
6.013, 3.06, 7.70
6.047, 1.58, 8.60
6.075, 1.39, 9.05
6.107, 1.09, 9.45
6.136, 0.52, 9.68
6.163, 0.29, 9.79
6.203, 0.56, 9.75
6.238, 1.35, 9.52
6.268, 2.59, 9.19
6.313, 4.14, 8.47
6.341, 5.96, 7.91
6.379, 7.85, 7.04
6.407, 9.22, 6.35
6.435, 9.69, 5.62
6.470, 9.70, 4.70
6.503, 9.38, 3.85
6.537, 8.87, 3.02
6.570, 8.30, 4.67
6.603, 7.67, 4.34
6.637, 7.03, 3.22
6.669, 6.38, 2.25
6.708, 5.62, 1.19
6.740, 4.87, 0.51
6.768, 3.99, 0.25
6.804, 2.66, 0.39
6.838, 1.74, 1.01
