経過時間_秒, Green, IBI, Smoothed_IBI, bpmSD, Smoothed_BPM
0.043, 9.60, 835.00, 801.67, 27.29, 74.84
0.069, 9.25, 835.00, 801.67, 27.29, 74.84
0.089, 8.79, 835.00, 801.67, 27.29, 74.84
0.132, 8.16, 835.00, 801.67, 27.29, 74.84
0.172, 7.46, 835.00, 801.67, 27.29, 74.84
0.212, 6.73, 835.00, 801.67, 27.29, 74.84
0.242, 6.02, 835.00, 801.67, 27.29, 74.84
0.270, 5.16, 835.00, 801.67, 27.29, 74.84
0.303, 3.94, 835.00, 801.67, 27.29, 74.84
0.339, 2.00, 835.00, 801.67, 27.29, 74.84
0.364, 1.16, 835.00, 801.67, 27.29, 74.84
0.405, 0.75, 835.00, 801.67, 27.29, 74.84
0.435, 0.46, 835.00, 801.67, 27.29, 74.84
0.464, 0.70, 835.00, 801.67, 27.29, 74.84
0.510, 1.56, 835.00, 801.67, 27.29, 74.84
0.535, 3.04, 835.00, 801.67, 27.29, 74.84
0.572, 4.86, 835.00, 801.67, 27.29, 74.84
0.604, 7.03, 835.00, 801.67, 27.29, 74.84
0.639, 7.98, 835.00, 801.67, 27.29, 74.84
0.671, 8.76, 835.00, 801.67, 27.29, 74.84
0.701, 9.38, 835.00, 801.67, 27.29, 74.84
0.733, 9.76, 835.00, 801.67, 27.29, 74.84
0.775, 9.88, 835.00, 801.67, 27.29, 74.84
0.807, 9.84, 802.00, 801.83, 26.35, 74.83
0.836, 9.66, 802.00, 801.83, 26.35, 74.83
0.868, 9.39, 802.00, 801.83, 26.35, 74.83
0.900, 9.01, 802.00, 801.83, 26.35, 74.83
0.943, 8.50, 802.00, 801.83, 26.35, 74.83
0.979, 7.91, 802.00, 801.83, 26.35, 74.83
0.995, 7.25, 802.00, 801.83, 26.35, 74.83
1.042, 6.54, 802.00, 801.83, 26.35, 74.83
1.074, 5.55, 802.00, 801.83, 26.35, 74.83
1.103, 3.99, 802.00, 801.83, 26.35, 74.83
1.139, 1.73, 802.00, 801.83, 26.35, 74.83
1.183, 1.13, 802.00, 801.83, 26.35, 74.83
1.206, 0.64, 802.00, 801.83, 26.35, 74.83
1.242, 0.77, 802.00, 801.83, 26.35, 74.83
1.274, 1.71, 802.00, 801.83, 26.35, 74.83
1.313, 3.41, 802.00, 801.83, 26.35, 74.83
1.337, 5.61, 802.00, 801.83, 26.35, 74.83
1.373, 6.91, 802.00, 801.83, 26.35, 74.83
1.403, 7.88, 802.00, 801.83, 26.35, 74.83
1.436, 8.66, 802.00, 801.83, 26.35, 74.83
1.470, 9.24, 802.00, 801.83, 26.35, 74.83
1.502, 9.61, 802.00, 801.83, 26.35, 74.83
1.537, 9.78, 802.00, 801.83, 26.35, 74.83
1.578, 9.88, 802.00, 801.83, 26.35, 74.83
1.609, 9.88, 809.00, 805.42, 25.52, 74.50
1.637, 9.77, 809.00, 805.42, 25.52, 74.50
1.672, 9.49, 809.00, 805.42, 25.52, 74.50
1.698, 9.09, 809.00, 805.42, 25.52, 74.50
1.735, 8.54, 809.00, 805.42, 25.52, 74.50
1.779, 7.91, 809.00, 805.42, 25.52, 74.50
1.817, 7.21, 809.00, 805.42, 25.52, 74.50
1.842, 6.30, 809.00, 805.42, 25.52, 74.50
1.871, 5.02, 809.00, 805.42, 25.52, 74.50
1.896, 2.82, 809.00, 805.42, 25.52, 74.50
1.938, 1.83, 809.00, 805.42, 25.52, 74.50
1.978, 1.35, 809.00, 805.42, 25.52, 74.50
2.012, 0.68, 809.00, 805.42, 25.52, 74.50
2.037, 0.62, 809.00, 805.42, 25.52, 74.50
2.076, 1.27, 809.00, 805.42, 25.52, 74.50
2.103, 2.61, 809.00, 805.42, 25.52, 74.50
2.132, 4.47, 809.00, 805.42, 25.52, 74.50
2.168, 6.52, 809.00, 805.42, 25.52, 74.50
2.202, 7.67, 809.00, 805.42, 25.52, 74.50
2.249, 8.54, 809.00, 805.42, 25.52, 74.50
2.269, 9.18, 809.00, 805.42, 25.52, 74.50
2.305, 9.43, 809.00, 805.42, 25.52, 74.50
2.345, 9.55, 809.00, 805.42, 25.52, 74.50
2.382, 9.62, 809.00, 805.42, 25.52, 74.50
2.409, 9.68, 809.00, 805.42, 25.52, 74.50
2.441, 9.84, 809.00, 805.42, 25.52, 74.50
2.483, 9.89, 809.00, 805.42, 25.52, 74.50
2.520, 9.76, 889.00, 847.21, 24.92, 70.82
2.545, 9.41, 889.00, 847.21, 24.92, 70.82
2.585, 8.85, 889.00, 847.21, 24.92, 70.82
2.605, 8.08, 889.00, 847.21, 24.92, 70.82
2.638, 7.14, 889.00, 847.21, 24.92, 70.82
2.679, 5.80, 889.00, 847.21, 24.92, 70.82
2.704, 3.85, 889.00, 847.21, 24.92, 70.82
2.738, 2.12, 889.00, 847.21, 24.92, 70.82
2.767, 1.72, 889.00, 847.21, 24.92, 70.82
2.817, 0.84, 889.00, 847.21, 24.92, 70.82
2.842, 0.44, 889.00, 847.21, 24.92, 70.82
2.884, 0.69, 889.00, 847.21, 24.92, 70.82
2.904, 1.67, 889.00, 847.21, 24.92, 70.82
2.950, 3.24, 889.00, 847.21, 24.92, 70.82
2.971, 5.20, 889.00, 847.21, 24.92, 70.82
3.013, 7.17, 889.00, 847.21, 24.92, 70.82
3.044, 8.24, 889.00, 847.21, 24.92, 70.82
3.080, 8.95, 889.00, 847.21, 24.92, 70.82
3.111, 9.40, 889.00, 847.21, 24.92, 70.82
3.149, 9.70, 889.00, 847.21, 24.92, 70.82
3.177, 9.89, 889.00, 847.21, 24.92, 70.82
3.210, 9.92, 889.00, 847.21, 24.92, 70.82
3.254, 9.81, 730.00, 788.60, 24.18, 76.08
3.280, 9.58, 730.00, 788.60, 24.18, 76.08
3.309, 9.16, 730.00, 788.60, 24.18, 76.08
3.336, 8.59, 730.00, 788.60, 24.18, 76.08
3.381, 7.91, 730.00, 788.60, 24.18, 76.08
3.406, 7.14, 730.00, 788.60, 24.18, 76.08
3.448, 6.34, 730.00, 788.60, 24.18, 76.08
3.474, 5.17, 730.00, 788.60, 24.18, 76.08
3.504, 3.53, 730.00, 788.60, 24.18, 76.08
3.541, 1.36, 730.00, 788.60, 24.18, 76.08
3.579, 0.61, 730.00, 788.60, 24.18, 76.08
3.620, 0.52, 730.00, 788.60, 24.18, 76.08
3.648, 1.13, 730.00, 788.60, 24.18, 76.08
3.675, 2.50, 730.00, 788.60, 24.18, 76.08
3.716, 4.39, 730.00, 788.60, 24.18, 76.08
3.749, 6.42, 730.00, 788.60, 24.18, 76.08
3.784, 7.89, 730.00, 788.60, 24.18, 76.08
3.807, 8.95, 730.00, 788.60, 24.18, 76.08
3.851, 9.65, 730.00, 788.60, 24.18, 76.08
3.883, 9.84, 730.00, 788.60, 24.18, 76.08
3.916, 9.74, 678.00, 733.30, 23.58, 81.82
3.939, 9.40, 678.00, 733.30, 23.58, 81.82
