経過時間_秒, Green, SinWave
0.052, 9.70, 9.15
0.090, 9.53, 8.55
0.125, 9.36, 7.96
0.163, 9.27, 8.26
0.200, 9.27, 7.71
0.232, 9.34, 7.02
0.261, 9.43, 6.34
0.291, 9.45, 5.60
0.325, 9.33, 4.75
0.360, 9.08, 3.89
0.393, 8.72, 3.10
0.426, 8.11, 2.37
0.460, 7.05, 1.70
0.493, 5.26, 0.85
0.527, 1.27, 0.28
0.560, 1.50, 0.19
0.594, 2.23, 0.58
0.626, 2.07, 1.35
0.655, 1.24, 2.35
0.687, 1.23, 3.66
0.721, 2.57, 5.19
0.754, 4.90, 6.65
0.787, 5.71, 7.96
0.819, 6.47, 8.72
0.852, 7.37, 9.18
0.884, 8.42, 9.52
0.916, 9.04, 9.72
0.948, 9.25, 9.80
0.979, 9.23, 9.75
1.014, 9.12, 9.54
1.049, 8.98, 7.31
1.081, 8.93, 5.16
1.115, 8.83, 4.27
1.147, 8.80, 3.49
1.188, 8.83, 2.60
1.222, 8.95, 1.90
1.253, 9.05, 1.44
1.287, 9.11, 1.22
1.319, 9.21, 1.29
1.353, 9.30, 1.65
1.381, 9.39, 2.16
1.413, 9.42, 2.93
1.445, 9.50, 3.86
1.476, 9.62, 4.86
1.507, 9.70, 5.88
1.541, 9.71, 6.96
1.572, 9.46, 7.87
1.605, 9.20, 8.55
1.643, 8.98, 9.04
1.675, 8.86, 9.22
1.707, 8.84, 9.44
1.739, 8.89, 9.60
1.771, 9.22, 9.69
1.802, 9.62, 9.72
1.838, 9.84, 9.67
1.870, 9.77, 9.56
1.900, 9.41, 9.40
1.935, 8.78, 9.15
1.967, 7.94, 8.87
2.005, 6.93, 8.47
2.037, 5.78, 8.11
2.069, 4.62, 7.72
2.107, 3.51, 7.24
2.136, 2.37, 6.88
2.168, 1.37, 6.49
2.202, 1.31, 6.11
2.236, 1.25, 5.76
2.269, 1.09, 5.35
2.307, 0.99, 4.97
2.335, 0.95, 4.90
2.380, 0.83, 5.18
2.412, 0.65, 5.64
2.443, 0.50, 6.25
2.475, 0.26, 6.98
2.507, 0.29, 7.74
2.539, 0.71, 8.47
2.571, 1.64, 9.04
2.606, 3.04, 9.32
2.634, 4.93, 9.49
2.670, 7.09, 9.64
2.704, 8.66, 9.71
2.737, 9.46, 9.71
2.772, 9.69, 9.63
2.804, 9.47, 9.48
2.844, 9.01, 9.22
2.877, 8.46, 5.34
2.910, 7.88, 5.14
2.946, 7.31, 4.99
2.978, 6.77, 4.92
3.011, 6.25, 4.90
3.042, 5.75, 4.94
3.075, 5.28, 5.05
3.104, 4.83, 5.19
3.142, 3.94, 5.43
3.176, 2.18, 5.71
3.210, 0.61, 6.03
3.239, 0.71, 6.33
3.273, 0.98, 6.71
3.309, 1.23, 7.12
3.340, 1.28, 7.49
3.374, 0.81, 7.88
3.407, 0.49, 8.25
3.440, 0.70, 8.60
3.476, 1.66, 8.93
3.502, 3.34, 9.30
3.541, 5.60, 9.69
3.578, 7.55, 9.63
3.610, 8.79, 9.24
3.644, 9.61, 8.55
3.677, 9.81, 7.70
3.713, 9.65, 6.72
3.744, 9.33, 5.94
3.778, 8.92, 9.36
3.809, 8.45, 9.17
3.841, 7.86, 8.92
3.873, 7.09, 8.65
3.906, 6.17, 8.33
3.939, 5.15, 7.99
3.969, 4.10, 7.67
3.996, 3.06, 7.37
4.038, 1.44, 6.91
4.070, 0.97, 6.57
4.108, 0.92, 6.19
4.141, 0.91, 5.88
4.175, 1.12, 5.58
4.209, 0.83, 5.01
4.238, 0.43, 4.91
4.271, 0.37, 5.24
4.306, 1.05, 6.05
4.345, 2.47, 7.27
4.377, 4.78, 8.30
4.411, 6.33, 9.07
4.444, 7.27, 9.30
4.473, 8.21, 9.46
4.510, 9.10, 9.61
4.541, 9.64, 9.69
4.573, 9.87, 9.72
4.614, 9.86, 9.68
4.645, 9.73, 9.60
4.686, 9.57, 7.37
4.717, 9.42, 7.72
4.750, 9.24, 7.04
4.783, 9.09, 6.30
4.816, 8.91, 5.54
4.859, 8.74, 4.53
4.890, 8.58, 3.79
4.922, 8.30, 3.11
4.954, 7.76, 2.45
4.986, 6.76, 1.86
5.013, 4.40, 1.06
5.045, 2.23, 0.44
5.072, 2.17, 0.41
5.113, 1.73, 1.21
5.146, 0.94, 2.49
5.180, 1.10, 4.20
5.217, 2.60, 6.20
5.252, 4.82, 7.93
5.284, 5.94, 8.78
5.313, 6.84, 9.17
5.341, 7.90, 9.48
5.380, 8.99, 9.76
5.412, 9.60, 9.86
5.445, 9.60, 9.85
5.477, 9.27, 9.70
5.510, 8.79, 9.44
5.560, 8.34, 8.36
5.593, 7.92, 7.10
5.625, 7.50, 6.30
5.656, 7.07, 5.49
5.690, 6.51, 4.59
5.722, 5.93, 3.78
5.756, 5.27, 2.97
5.785, 4.42, 2.36
5.817, 2.77, 1.66
5.848, 1.38, 1.16
5.881, 1.12, 0.91
5.912, 1.02, 0.98
5.948, 0.93, 1.39
5.988, 0.77, 2.25
6.019, 0.40, 3.15
6.051, 0.41, 4.22
6.083, 1.01, 5.36
6.115, 2.25, 6.50
6.146, 4.10, 7.53
6.180, 6.29, 8.48
6.221, 7.62, 9.13
6.249, 8.65, 9.45
6.280, 9.40, 9.66
6.312, 9.53, 9.73
6.347, 9.22, 9.61
6.380, 8.59, 9.34
6.421, 7.97, 8.42
6.453, 7.25, 5.14
6.485, 6.53, 4.28
6.516, 5.78, 3.47
6.550, 4.89, 2.63
6.581, 4.06, 1.96
6.613, 3.21, 1.13
6.660, 2.34, 0.42
6.695, 0.85, 0.54
6.727, 0.52, 1.13
6.758, 0.47, 2.09
6.790, 0.52, 3.37
6.820, 0.61, 4.73
6.851, 0.55, 6.15
6.884, 0.38, 7.53
6.917, 0.51, 8.46
6.954, 1.15, 9.01
6.985, 2.37, 9.33
7.025, 4.14, 9.52
7.053, 6.09, 9.51
7.090, 8.40, 9.30
7.122, 9.37, 8.95
7.154, 9.76, 8.46
7.184, 9.62, 7.86
7.219, 9.24, 7.10
7.252, 8.72, 5.10
7.280, 8.18, 7.74
7.314, 7.60, 6.98
7.354, 6.92, 6.00
