経過時間_秒, Green, IBI, Smoothed_IBI, bpmSD, Smoothed_BPM
0.052, 9.70, 934.00, 913.03, 9.93, 65.72
0.090, 9.53, 885.00, 899.02, 9.49, 66.74
0.125, 9.36, 885.00, 899.02, 9.49, 66.74
0.163, 9.27, 885.00, 899.02, 9.49, 66.74
0.200, 9.27, 885.00, 899.02, 9.49, 66.74
0.232, 9.34, 885.00, 899.02, 9.49, 66.74
0.261, 9.43, 885.00, 899.02, 9.49, 66.74
0.291, 9.45, 885.00, 899.02, 9.49, 66.74
0.325, 9.33, 885.00, 899.02, 9.49, 66.74
0.360, 9.08, 885.00, 899.02, 9.49, 66.74
0.393, 8.72, 885.00, 899.02, 9.49, 66.74
0.426, 8.11, 885.00, 899.02, 9.49, 66.74
0.460, 7.05, 885.00, 899.02, 9.49, 66.74
0.493, 5.26, 885.00, 899.02, 9.49, 66.74
0.527, 1.27, 885.00, 899.02, 9.49, 66.74
0.560, 1.50, 885.00, 899.02, 9.49, 66.74
0.594, 2.23, 885.00, 899.02, 9.49, 66.74
0.626, 2.07, 885.00, 899.02, 9.49, 66.74
0.655, 1.24, 885.00, 899.02, 9.49, 66.74
0.687, 1.23, 885.00, 899.02, 9.49, 66.74
0.721, 2.57, 885.00, 899.02, 9.49, 66.74
0.754, 4.90, 885.00, 899.02, 9.49, 66.74
0.787, 5.71, 885.00, 899.02, 9.49, 66.74
0.819, 6.47, 885.00, 899.02, 9.49, 66.74
0.852, 7.37, 885.00, 899.02, 9.49, 66.74
0.884, 8.42, 885.00, 899.02, 9.49, 66.74
0.916, 9.04, 885.00, 899.02, 9.49, 66.74
0.948, 9.25, 885.00, 899.02, 9.49, 66.74
0.979, 9.23, 912.00, 905.51, 9.16, 66.26
1.014, 9.12, 912.00, 905.51, 9.16, 66.26
1.049, 8.98, 912.00, 905.51, 9.16, 66.26
1.081, 8.93, 912.00, 905.51, 9.16, 66.26
1.115, 8.83, 912.00, 905.51, 9.16, 66.26
1.147, 8.80, 912.00, 905.51, 9.16, 66.26
1.188, 8.83, 912.00, 905.51, 9.16, 66.26
1.222, 8.95, 912.00, 905.51, 9.16, 66.26
1.253, 9.05, 912.00, 905.51, 9.16, 66.26
1.287, 9.11, 912.00, 905.51, 9.16, 66.26
