経過時間_秒, Green, SinWave
0.023, 0.62, 7.87
0.054, 1.28, 8.66
0.097, 2.75, 9.27
0.131, 4.77, 9.34
0.155, 6.82, 9.16
0.194, 7.98, 8.50
0.217, 9.00, 7.92
0.260, 9.19, 6.54
0.292, 8.52, 5.36
0.333, 7.31, 3.82
0.357, 5.98, 7.09
0.390, 4.79, 4.40
0.420, 3.86, 3.40
0.455, 3.11, 2.34
0.490, 2.53, 1.30
0.531, 1.96, 0.57
0.561, 1.34, 0.72
0.588, 1.21, 1.35
0.621, 0.81, 2.64
0.656, 0.59, 4.40
0.694, 0.99, 6.41
0.726, 2.14, 7.85
0.767, 3.89, 8.71
0.787, 5.90, 8.98
0.824, 7.56, 9.19
0.862, 8.83, 9.02
0.888, 9.32, 8.69
0.929, 9.02, 7.84
0.961, 8.12, 6.95
0.995, 7.02, 5.31
1.032, 5.96, 5.36
1.063, 5.11, 4.30
1.091, 4.41, 3.37
1.121, 3.81, 2.45
1.153, 3.24, 1.53
1.200, 2.60, 0.53
1.222, 1.87, 0.56
1.254, 1.16, 1.18
1.288, 0.59, 2.47
1.330, 0.73, 4.64
1.353, 1.54, 5.89
1.396, 2.95, 7.95
1.432, 4.73, 8.74
1.461, 6.51, 9.13
1.498, 8.07, 9.32
1.532, 9.19, 9.18
1.561, 9.15, 8.82
1.599, 8.47, 8.05
1.632, 7.42, 6.37
1.666, 6.40, 4.95
1.689, 5.48, 4.16
1.727, 4.73, 2.92
1.759, 4.05, 2.00
1.798, 3.40, 0.85
1.824, 2.72, 0.52
1.868, 1.92, 1.04
1.894, 1.16, 1.93
1.930, 0.64, 3.67
1.961, 0.77, 5.38
2.001, 1.58, 7.42
2.027, 2.97, 8.24
2.065, 4.67, 8.89
2.093, 6.32, 9.14
2.131, 7.56, 9.14
2.153, 9.05, 8.96
2.194, 9.21, 8.30
2.235, 8.53, 7.28
2.267, 7.61, 6.29
2.299, 6.76, 4.97
2.334, 6.08, 4.04
2.363, 5.52, 3.00
2.398, 4.96, 1.92
2.430, 4.35, 1.06
2.464, 3.59, 0.61
2.500, 2.71, 0.73
2.531, 1.75, 1.32
2.565, 0.80, 2.40
