経過時間_秒, Green, IBI, Smoothed_IBI, bpmSD, Smoothed_BPM
0.023, 0.62, 636.00, 650.88, 15.37, 92.18
0.054, 1.28, 636.00, 650.88, 15.37, 92.18
0.097, 2.75, 636.00, 650.88, 15.37, 92.18
0.131, 4.77, 636.00, 650.88, 15.37, 92.18
0.155, 6.82, 636.00, 650.88, 15.37, 92.18
0.194, 7.98, 636.00, 650.88, 15.37, 92.18
0.217, 9.00, 636.00, 650.88, 15.37, 92.18
0.260, 9.19, 636.00, 650.88, 15.37, 92.18
0.292, 8.52, 657.00, 653.94, 14.40, 91.75
0.333, 7.31, 657.00, 653.94, 14.40, 91.75
0.357, 5.98, 657.00, 653.94, 14.40, 91.75
0.390, 4.79, 657.00, 653.94, 14.40, 91.75
0.420, 3.86, 657.00, 653.94, 14.40, 91.75
0.455, 3.11, 657.00, 653.94, 14.40, 91.75
0.490, 2.53, 657.00, 653.94, 14.40, 91.75
0.531, 1.96, 657.00, 653.94, 14.40, 91.75
0.561, 1.34, 657.00, 653.94, 14.40, 91.75
0.588, 1.21, 657.00, 653.94, 14.40, 91.75
0.621, 0.81, 657.00, 653.94, 14.40, 91.75
0.656, 0.59, 657.00, 653.94, 14.40, 91.75
0.694, 0.99, 657.00, 653.94, 14.40, 91.75
0.726, 2.14, 657.00, 653.94, 14.40, 91.75
0.767, 3.89, 657.00, 653.94, 14.40, 91.75
0.787, 5.90, 657.00, 653.94, 14.40, 91.75
0.824, 7.56, 657.00, 653.94, 14.40, 91.75
0.862, 8.83, 657.00, 653.94, 14.40, 91.75
0.888, 9.32, 657.00, 653.94, 14.40, 91.75
0.929, 9.02, 650.00, 651.97, 14.58, 92.03
0.961, 8.12, 650.00, 651.97, 14.58, 92.03
0.995, 7.02, 650.00, 651.97, 14.58, 92.03
1.032, 5.96, 650.00, 651.97, 14.58, 92.03
1.063, 5.11, 650.00, 651.97, 14.58, 92.03
1.091, 4.41, 650.00, 651.97, 14.58, 92.03
1.121, 3.81, 650.00, 651.97, 14.58, 92.03
1.153, 3.24, 650.00, 651.97, 14.58, 92.03
1.200, 2.60, 650.00, 651.97, 14.58, 92.03
1.222, 1.87, 650.00, 651.97, 14.58, 92.03
1.254, 1.16, 650.00, 651.97, 14.58, 92.03
1.288, 0.59, 650.00, 651.97, 14.58, 92.03
1.330, 0.73, 650.00, 651.97, 14.58, 92.03
1.353, 1.54, 650.00, 651.97, 14.58, 92.03
1.396, 2.95, 650.00, 651.97, 14.58, 92.03
1.432, 4.73, 650.00, 651.97, 14.58, 92.03
1.461, 6.51, 650.00, 651.97, 14.58, 92.03
1.498, 8.07, 650.00, 651.97, 14.58, 92.03
1.532, 9.19, 650.00, 651.97, 14.58, 92.03
1.561, 9.15, 644.00, 647.98, 14.72, 92.59
1.599, 8.47, 644.00, 647.98, 14.72, 92.59
1.632, 7.42, 644.00, 647.98, 14.72, 92.59
1.666, 6.40, 644.00, 647.98, 14.72, 92.59
1.689, 5.48, 644.00, 647.98, 14.72, 92.59
1.727, 4.73, 644.00, 647.98, 14.72, 92.59
1.759, 4.05, 644.00, 647.98, 14.72, 92.59
1.798, 3.40, 644.00, 647.98, 14.72, 92.59
1.824, 2.72, 644.00, 647.98, 14.72, 92.59
1.868, 1.92, 644.00, 647.98, 14.72, 92.59
1.894, 1.16, 644.00, 647.98, 14.72, 92.59
1.930, 0.64, 644.00, 647.98, 14.72, 92.59
1.961, 0.77, 644.00, 647.98, 14.72, 92.59
2.001, 1.58, 644.00, 647.98, 14.72, 92.59
