経過時間_秒, Green, IBI, Smoothed_IBI, bpmSD, Smoothed_BPM
0.027, 6.16, 723.00, 753.73, 11.11, 79.60
0.059, 5.19, 723.00, 753.73, 11.11, 79.60
0.095, 3.82, 723.00, 753.73, 11.11, 79.60
0.128, 2.04, 723.00, 753.73, 11.11, 79.60
0.152, 0.54, 723.00, 753.73, 11.11, 79.60
0.195, 0.51, 723.00, 753.73, 11.11, 79.60
0.228, 1.06, 723.00, 753.73, 11.11, 79.60
0.261, 2.16, 723.00, 753.73, 11.11, 79.60
0.296, 3.66, 723.00, 753.73, 11.11, 79.60
0.323, 5.32, 723.00, 753.73, 11.11, 79.60
0.362, 6.89, 723.00, 753.73, 11.11, 79.60
0.398, 8.13, 723.00, 753.73, 11.11, 79.60
0.418, 9.01, 723.00, 753.73, 11.11, 79.60
0.459, 9.65, 723.00, 753.73, 11.11, 79.60
0.496, 9.67, 723.00, 753.73, 11.11, 79.60
0.533, 9.26, 686.00, 719.87, 7.92, 83.35
0.559, 8.63, 686.00, 719.87, 7.92, 83.35
0.598, 7.84, 686.00, 719.87, 7.92, 83.35
0.619, 6.94, 686.00, 719.87, 7.92, 83.35
0.662, 5.96, 686.00, 719.87, 7.92, 83.35
0.689, 5.04, 686.00, 719.87, 7.92, 83.35
0.722, 4.12, 686.00, 719.87, 7.92, 83.35
0.763, 3.29, 686.00, 719.87, 7.92, 83.35
0.785, 2.25, 686.00, 719.87, 7.92, 83.35
0.819, 1.36, 686.00, 719.87, 7.92, 83.35
0.859, 1.29, 686.00, 719.87, 7.92, 83.35
0.890, 1.06, 686.00, 719.87, 7.92, 83.35
0.931, 0.58, 686.00, 719.87, 7.92, 83.35
0.964, 0.55, 686.00, 719.87, 7.92, 83.35
0.998, 1.10, 686.00, 719.87, 7.92, 83.35
1.019, 2.29, 686.00, 719.87, 7.92, 83.35
1.057, 3.95, 686.00, 719.87, 7.92, 83.35
1.092, 5.94, 686.00, 719.87, 7.92, 83.35
1.129, 7.81, 686.00, 719.87, 7.92, 83.35
1.161, 8.80, 686.00, 719.87, 7.92, 83.35
1.197, 9.46, 686.00, 719.87, 7.92, 83.35
1.221, 9.82, 686.00, 719.87, 7.92, 83.35
1.259, 9.85, 686.00, 719.87, 7.92, 83.35
1.295, 9.72, 767.00, 743.43, 7.92, 80.71
1.331, 9.50, 767.00, 743.43, 7.92, 80.71
1.360, 9.21, 767.00, 743.43, 7.92, 80.71
1.397, 8.87, 767.00, 743.43, 7.92, 80.71
1.430, 8.43, 767.00, 743.43, 7.92, 80.71
1.462, 7.86, 767.00, 743.43, 7.92, 80.71
1.490, 7.17, 767.00, 743.43, 7.92, 80.71
1.529, 6.44, 767.00, 743.43, 7.92, 80.71
1.561, 5.55, 767.00, 743.43, 7.92, 80.71
1.595, 4.22, 767.00, 743.43, 7.92, 80.71
1.628, 2.13, 767.00, 743.43, 7.92, 80.71
1.662, 0.61, 767.00, 743.43, 7.92, 80.71
1.697, 0.58, 767.00, 743.43, 7.92, 80.71
1.729, 1.20, 767.00, 743.43, 7.92, 80.71
1.758, 2.59, 767.00, 743.43, 7.92, 80.71
1.806, 4.59, 767.00, 743.43, 7.92, 80.71
1.827, 6.54, 767.00, 743.43, 7.92, 80.71
1.868, 7.38, 767.00, 743.43, 7.92, 80.71
1.894, 8.46, 767.00, 743.43, 7.92, 80.71
1.930, 9.26, 767.00, 743.43, 7.92, 80.71
1.958, 9.75, 767.00, 743.43, 7.92, 80.71
2.000, 9.82, 767.00, 743.43, 7.92, 80.71
2.029, 9.73, 743.00, 743.22, 7.29, 80.73
2.063, 9.52, 743.00, 743.22, 7.29, 80.73
2.099, 9.32, 743.00, 743.22, 7.29, 80.73
2.130, 9.09, 743.00, 743.22, 7.29, 80.73
2.162, 8.77, 743.00, 743.22, 7.29, 80.73
2.197, 8.36, 743.00, 743.22, 7.29, 80.73
2.230, 7.79, 743.00, 743.22, 7.29, 80.73
2.262, 7.08, 743.00, 743.22, 7.29, 80.73
2.297, 6.26, 743.00, 743.22, 7.29, 80.73
2.331, 4.88, 743.00, 743.22, 7.29, 80.73
2.360, 2.96, 743.00, 743.22, 7.29, 80.73
2.399, 0.80, 743.00, 743.22, 7.29, 80.73
2.431, 0.53, 743.00, 743.22, 7.29, 80.73
2.463, 1.03, 743.00, 743.22, 7.29, 80.73
2.500, 2.27, 743.00, 743.22, 7.29, 80.73
2.531, 4.08, 743.00, 743.22, 7.29, 80.73
2.563, 6.19, 743.00, 743.22, 7.29, 80.73
2.598, 7.56, 743.00, 743.22, 7.29, 80.73
2.629, 8.81, 743.00, 743.22, 7.29, 80.73
2.670, 9.62, 743.00, 743.22, 7.29, 80.73
2.694, 9.88, 743.00, 743.22, 7.29, 80.73
2.725, 9.69, 701.00, 722.11, 7.18, 83.09
2.763, 9.34, 701.00, 722.11, 7.18, 83.09
2.803, 8.83, 701.00, 722.11, 7.18, 83.09
2.826, 8.24, 701.00, 722.11, 7.18, 83.09
2.862, 7.57, 701.00, 722.11, 7.18, 83.09
2.904, 6.74, 701.00, 722.11, 7.18, 83.09
2.929, 5.80, 701.00, 722.11, 7.18, 83.09
2.962, 4.55, 701.00, 722.11, 7.18, 83.09
2.999, 3.14, 701.00, 722.11, 7.18, 83.09
3.032, 2.29, 701.00, 722.11, 7.18, 83.09
3.063, 2.14, 701.00, 722.11, 7.18, 83.09
3.097, 1.93, 701.00, 722.11, 7.18, 83.09
3.128, 1.63, 701.00, 722.11, 7.18, 83.09
3.163, 0.88, 701.00, 722.11, 7.18, 83.09
3.197, 0.38, 701.00, 722.11, 7.18, 83.09
3.235, 0.31, 701.00, 722.11, 7.18, 83.09
3.267, 0.75, 701.00, 722.11, 7.18, 83.09
3.298, 1.46, 701.00, 722.11, 7.18, 83.09
3.326, 2.35, 701.00, 722.11, 7.18, 83.09
3.363, 3.25, 701.00, 722.11, 7.18, 83.09
3.403, 3.89, 701.00, 722.11, 7.18, 83.09
3.427, 4.30, 701.00, 722.11, 7.18, 83.09
3.464, 4.36, 701.00, 722.11, 7.18, 83.09
3.493, 4.30, 765.00, 743.55, 6.69, 80.69
3.534, 4.19, 765.00, 743.55, 6.69, 80.69
