経過時間_秒, Green, SinWave
0.024, 5.54, 8.24
0.055, 4.79, 7.62
0.092, 3.99, 6.70
0.125, 3.09, 5.80
0.156, 2.06, 4.92
0.198, 1.25, 3.74
0.229, 0.81, 2.92
0.260, 0.40, 2.18
0.291, 0.53, 1.44
0.324, 1.37, 0.79
0.358, 2.86, 0.52
0.390, 4.87, 0.66
0.419, 6.86, 1.10
0.452, 7.82, 1.94
0.488, 8.86, 3.16
0.520, 9.53, 4.43
0.558, 9.67, 5.98
0.588, 9.49, 7.16
0.626, 9.13, 8.29
0.663, 8.78, 3.84
0.694, 8.44, 0.97
0.723, 8.08, 0.46
0.757, 7.72, 0.42
0.788, 7.28, 0.92
0.820, 6.84, 1.90
0.859, 6.41, 3.58
0.890, 5.90, 5.11
0.923, 4.96, 6.72
0.952, 3.29, 7.97
0.989, 0.67, 9.01
1.022, 1.49, 9.54
1.056, 3.26, 9.70
1.079, 5.65, 9.58
1.117, 6.58, 9.00
1.156, 7.50, 7.97
1.185, 8.70, 6.98
1.215, 9.45, 5.82
1.245, 9.55, 4.62
1.279, 9.17, 3.25
1.317, 8.56, 1.99
1.362, 7.95, 6.31
1.391, 7.37, 6.73
1.423, 6.82, 5.75
1.450, 6.29, 4.89
1.494, 5.79, 3.53
1.527, 5.33, 2.60
1.555, 4.90, 1.90
1.584, 4.51, 1.13
1.624, 3.55, 0.67
1.646, 1.71, 0.73
1.691, 0.37, 1.53
1.712, 0.89, 2.18
1.759, 2.43, 4.08
1.790, 4.80, 5.49
1.825, 5.89, 7.03
1.857, 6.79, 8.22
1.891, 7.69, 8.90
1.918, 8.75, 9.28
1.956, 9.52, 9.54
1.984, 9.80, 9.53
2.021, 9.74, 9.24
2.051, 9.59, 8.79
2.097, 9.47, 7.25
2.127, 9.38, 3.95
2.157, 9.27, 3.04
2.183, 9.12, 2.32
2.222, 8.90, 1.09
2.257, 8.61, 0.35
2.288, 8.38, 0.69
2.328, 8.17, 2.40
2.361, 7.86, 4.51
2.390, 7.32, 6.49
2.416, 6.37, 8.06
2.459, 4.79, 9.14
2.499, 3.44, 9.64
2.530, 4.51, 9.81
2.558, 5.67, 9.78
2.591, 6.58, 9.53
2.626, 7.47, 9.02
2.661, 8.49, 8.28
2.695, 9.22, 7.40
2.727, 9.22, 6.46
2.763, 8.64, 5.32
2.801, 7.72, 7.07
2.833, 6.81, 7.85
2.866, 6.00, 7.17
2.898, 5.24, 6.48
2.930, 4.52, 5.79
2.967, 3.75, 5.04
2.998, 2.93, 4.48
3.031, 2.08, 3.88
3.061, 1.24, 3.53
3.093, 0.56, 3.44
3.123, 0.29, 3.64
3.160, 0.16, 4.23
3.188, 0.21, 4.89
3.226, 0.64, 5.98
3.257, 1.57, 6.93
3.289, 3.00, 7.87
3.328, 5.17, 8.78
3.365, 7.15, 9.25
3.398, 8.12, 9.51
3.430, 9.12, 9.60
3.466, 9.50, 9.52
3.503, 9.24, 9.22
3.535, 8.61, 8.83
3.571, 7.88, 8.83
3.604, 7.17, 4.93
3.633, 6.55, 4.04
3.663, 5.90, 3.15
3.690, 5.20, 2.41
3.730, 4.38, 1.39
3.763, 3.47, 0.36
3.798, 2.60, 0.20
3.830, 1.38, 0.93
3.864, 0.80, 2.45
3.896, 0.76, 4.34
3.931, 0.44, 6.49
3.967, 0.50, 8.24
3.997, 1.18, 8.80
4.029, 2.51, 9.24
4.064, 4.48, 9.49
4.097, 6.61, 9.51
