method,series,target,filters,n,mae,rmse,corr,signed_bias,centered_mae,centered_rmse,centered_corr,tracking_gain,amplitude_ratio,direction_agreement,inversion_like,pp_mae,pp_signed_bias
RTBP,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,5.401805471461647,5.731808414536921,0.064780880609062,-5.396124737351948,1.557718546494414,2.0054152051315213,0.06478088060906202,0.009276606778919132,0.4950775108779252,0.5272727272727272,0,8.064921454681345,-8.058177310111024
RTBP,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,2.6631159832196993,2.830326521407002,0.08440325875826596,2.6620525727590754,0.7729361277793395,0.9910864501528528,0.084403258758266,0.022416020537469585,0.48410370521092794,0.5636363636363636,0,8.064921454681345,-8.058177310111024
RTBP,raw,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,0.045145046940101095,0.054909005139620666,-0.21838281141485982,-0.02400653061126639,0.03792878667332695,0.049542647863304805,-0.2183828114148598,-0.023832046883912984,0.10403885837482858,0.38181818181818183,0,8.064921454681345,-8.058177310111024
RTBP,raw,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,8.064921454681345,8.56149044909644,0.07140200932076778,-8.058177310111024,2.344205455113039,3.029712425274638,0.07140200932076778,0.007065259812523126,0.49175436485872304,0.5283018867924528,0,8.064921454681345,-8.058177310111024
RTBP,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,5.369056154378333,5.670975019082687,0.06621636040668076,-5.369056154378333,1.4255574757047391,1.8505861138931912,0.06621636040668075,0.018014204085973134,0.30739251690405234,0.5272727272727272,0,8.018334515781179,-8.018334515781179
RTBP,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,2.6492783614028474,2.802683733815672,0.07945671268336589,2.6492783614028474,0.7137964852889395,0.9233498700360447,0.0794567126833659,0.02196054009886751,0.30165302140840217,0.5272727272727272,0,8.018334515781179,-8.018334515781179
RTBP,smoothed,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,0.04454174487206407,0.05388712645590052,-0.15320311587347255,-0.02349981052421235,0.03722907171577283,0.048589040622020886,-0.15320311587347255,-0.007883355715156932,0.05175692286781306,0.45454545454545453,0,8.018334515781179,-8.018334515781179
RTBP,smoothed,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,8.018334515781179,8.473014672192251,0.07070304762698522,-8.018334515781179,2.152904741832965,2.7942287202201133,0.07070304762698522,0.01851182115577527,0.3056894260268277,0.5283018867924528,0,8.018334515781179,-8.018334515781179
RTBP,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,5.369056154378333,5.670975019082687,0.06621636040668076,-5.369056154378333,1.4255574757047391,1.8505861138931912,0.06621636040668075,0.018014204085973134,0.30739251690405234,0.5272727272727272,0,8.018334515781179,-8.018334515781179
RTBP,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,2.6492783614028474,2.802683733815672,0.07945671268336589,2.6492783614028474,0.7137964852889395,0.9233498700360447,0.0794567126833659,0.02196054009886751,0.30165302140840217,0.5272727272727272,0,8.018334515781179,-8.018334515781179
RTBP,calibrated,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,0.04454174487206407,0.05388712645590052,-0.15320311587347255,-0.02349981052421235,0.03722907171577283,0.048589040622020886,-0.15320311587347255,-0.007883355715156932,0.05175692286781306,0.45454545454545453,0,8.018334515781179,-8.018334515781179
RTBP,calibrated,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,8.018334515781179,8.473014672192251,0.07070304762698522,-8.018334515781179,2.152904741832965,2.7942287202201133,0.07070304762698522,0.01851182115577527,0.3056894260268277,0.5283018867924528,0,8.018334515781179,-8.018334515781179
RTBP,tracking_aligned,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,5.3535716736366314,5.602038033900759,0.45712966291500995,-5.3535716736366314,1.3063275136867578,1.6797672541580158,0.4571296629150099,0.08328032473784958,0.19340029101020123,0.6,0,7.994776032795506,-7.994776032795506
RTBP,tracking_aligned,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,2.641204359158876,2.768779969548143,0.45792356266759343,2.641204359158876,0.6609490044463483,0.8413898880368519,0.45792356266759365,0.08424415463965677,0.1925046436353249,0.6363636363636364,0,7.994776032795506,-7.994776032795506
RTBP,tracking_aligned,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,0.043712272393752825,0.05284033303390684,0.3443262530496741,-0.023720985106293262,0.036459897917258184,0.047321079961264,0.3443262530496741,0.0184757356209107,0.05418052786606482,0.5636363636363636,0,7.994776032795506,-7.994776032795506
RTBP,tracking_aligned,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,7.994776032795506,8.370191652862013,0.4576131953782841,-7.994776032795506,1.9745265692567897,2.5445992367139922,0.4576131953782842,0.08148509358920182,0.19322882541811331,0.6037735849056604,0,7.994776032795506,-7.994776032795506
SinBP_D,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",52,5.6821347362443975,6.064702076577163,-0.14603075436947097,-5.6761088354988525,1.6857066377395724,2.1568333160826176,-0.1460307543694709,-0.0785996913258667,0.49557467748567946,0.43137254901960786,0,8.480310322898585,-8.473110150436822
SinBP_D,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",52,2.798175586654187,2.9952433002059315,-0.15327283730882155,2.79700131493797,0.8459862887060583,1.0783026574288561,-0.15327283730882155,-0.07829178964496658,0.4850294978118461,0.45098039215686275,0,8.480310322898585,-8.473110150436822
SinBP_D,raw,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",52,0.045818639167396376,0.0549205105926731,0.05505560536961659,-0.027368735207636028,0.03643523553386775,0.04774996656270087,0.0550556053696166,0.005029165241848318,0.10074991335052122,0.5294117647058824,0,8.480310322898585,-8.473110150436822
SinBP_D,raw,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",52,8.480310322898585,9.059348266711446,-0.14854298603201013,-8.473110150436822,2.5276582805994776,3.2269068502634872,-0.1485429860320101,-0.07730649749680678,0.49238340107816214,0.4489795918367347,1,8.480310322898585,-8.473110150436822
SinBP_D,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",52,5.646354383137032,5.961417601327733,-0.007070103193506238,-5.646354383137032,1.5008143543221888,1.9221149595868128,-0.007070103193506229,-0.0040994992923939055,0.33135135436017416,0.39215686274509803,0,8.428787819083027,-8.428787819083027
SinBP_D,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",52,2.7824334359459963,2.9439412592971363,-0.013185627138155891,2.7824334359459963,0.7566512604345592,0.964021480732528,-0.01318562713815587,-0.00540083599466204,0.3257039790356115,0.4117647058823529,0,8.428787819083027,-8.428787819083027
SinBP_D,smoothed,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",52,0.046042342923623365,0.054925378259176844,-0.016149743495975637,-0.027162503748345355,0.0366319047287805,0.04786166480175052,-0.01614974349597569,-0.0010889936988742798,0.05099857564626851,0.5686274509803921,0,8.428787819083027,-8.428787819083027
SinBP_D,smoothed,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",52,8.428787819083027,8.90474842729485,-0.009103307553889857,-8.428787819083027,2.2542972879238365,2.879798789770742,-0.009103307553889875,-0.004154149911396149,0.3296872489195573,0.40816326530612246,1,8.428787819083027,-8.428787819083027
SinBP_D,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",52,5.646354383137032,5.961417601327733,-0.007070103193506238,-5.646354383137032,1.5008143543221888,1.9221149595868128,-0.007070103193506229,-0.0040994992923939055,0.33135135436017416,0.39215686274509803,0,8.428787819083027,-8.428787819083027
SinBP_D,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",52,2.7824334359459963,2.9439412592971363,-0.013185627138155891,2.7824334359459963,0.7566512604345592,0.964021480732528,-0.01318562713815587,-0.00540083599466204,0.3257039790356115,0.4117647058823529,0,8.428787819083027,-8.428787819083027
SinBP_D,calibrated,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",52,0.046042342923623365,0.054925378259176844,-0.016149743495975637,-0.027162503748345355,0.0366319047287805,0.04786166480175052,-0.01614974349597569,-0.0010889936988742798,0.05099857564626851,0.5686274509803921,0,8.428787819083027,-8.428787819083027
SinBP_D,calibrated,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",52,8.428787819083027,8.90474842729485,-0.009103307553889857,-8.428787819083027,2.2542972879238365,2.879798789770742,-0.009103307553889875,-0.004154149911396149,0.3296872489195573,0.40816326530612246,1,8.428787819083027,-8.428787819083027
SinBP_D,tracking_aligned,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",52,5.687288853865171,5.974974839003932,0.19128547487384248,-5.687288853865171,1.4515754669576233,1.8460825925539845,0.1912854748738425,0.07893849338511329,0.4341937610018604,0.5294117647058824,0,8.49005690295036,-8.49005690295036
SinBP_D,tracking_aligned,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",52,2.802768049085194,2.9502149601749106,0.1889509857645666,2.802768049085194,0.7273995083365465,0.9247658941253939,0.18895098576456656,0.07896827053154196,0.4299067139323619,0.5490196078431373,0,8.49005690295036,-8.49005690295036
SinBP_D,tracking_aligned,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",52,0.046076870040457206,0.05482590892038757,0.052646294594127556,-0.027250918564927673,0.03642033195821744,0.04769711492773339,0.052646294594127556,0.0019940822248497164,0.04320267631778453,0.6,0,8.49005690295036,-8.49005690295036
SinBP_D,tracking_aligned,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",52,8.49005690295036,8.924587663444978,0.19062995236603475,-8.49005690295036,2.177634952353946,2.763200834908606,0.19062995236603483,0.08006245870510516,0.4330541695829715,0.5306122448979592,0,8.49005690295036,-8.49005690295036
