経過時間_秒, Green, SinWave
0.000, 7.57, 4.35
0.024, 6.89, 5.28
0.054, 6.28, 4.42
0.086, 5.68, 3.52
0.117, 5.05, 2.71
0.150, 4.37, 1.94
0.185, 3.61, 0.98
0.218, 2.83, 0.45
0.257, 1.61, 0.59
0.292, 0.92, 1.38
0.324, 0.88, 2.56
0.352, 0.89, 3.84
0.387, 0.88, 5.57
0.418, 0.52, 7.03
0.452, 0.41, 8.27
0.485, 0.81, 8.83
0.521, 1.92, 9.26
0.554, 3.77, 9.45
0.595, 6.18, 9.41
0.618, 7.61, 9.26
0.660, 8.91, 8.74
0.686, 9.48, 8.28
0.718, 9.30, 7.60
0.754, 8.58, 6.70
0.782, 7.61, 8.10
0.821, 6.62, 6.29
0.850, 5.64, 5.54
0.890, 4.64, 4.47
0.919, 3.69, 3.71
0.955, 2.68, 2.82
0.984, 1.68, 2.16
1.021, 1.62, 1.21
1.053, 1.43, 0.46
1.092, 1.29, 0.46
1.127, 1.27, 1.31
1.155, 1.18, 2.47
1.183, 0.93, 3.91
1.219, 0.49, 5.91
1.257, 0.28, 7.80
1.286, 0.54, 8.51
1.319, 1.40, 8.98
1.355, 2.89, 9.33
1.387, 4.89, 9.47
1.421, 7.19, 9.45
1.453, 8.28, 9.26
1.494, 9.26, 8.81
1.519, 9.62, 8.42
1.558, 9.51, 7.66
1.586, 9.13, 7.03
1.621, 8.66, 7.35
1.655, 8.24, 6.99
1.693, 7.83, 6.06
1.715, 7.39, 5.50
1.757, 6.85, 4.41
1.786, 6.23, 3.67
1.820, 5.51, 2.84
1.855, 4.74, 2.06
1.887, 3.64, 1.31
1.923, 1.69, 0.33
1.949, 0.99, 0.18
1.987, 0.90, 0.86
2.027, 0.79, 2.53
2.057, 0.42, 4.19
2.086, 0.35, 5.90
2.126, 0.80, 7.99
2.155, 1.99, 8.64
2.190, 3.92, 9.12
2.221, 6.30, 9.42
2.254, 7.34, 9.59
2.290, 8.49, 9.61
2.327, 9.33, 9.42
2.356, 9.50, 9.15
2.391, 9.14, 8.68
2.419, 8.54, 8.20
2.456, 7.94, 6.39
2.489, 7.42, 6.65
2.528, 7.00, 5.65
2.551, 6.61, 5.04
2.589, 6.16, 4.04
2.620, 5.60, 3.24
2.657, 4.93, 2.37
2.688, 4.18, 1.72
2.732, 2.83, 0.59
2.758, 1.18, 0.33
2.790, 0.99, 0.50
2.821, 0.92, 1.16
2.856, 1.00, 2.39
2.890, 0.83, 3.93
2.923, 0.45, 5.55
2.959, 0.51, 7.22
2.992, 1.27, 8.32
3.019, 2.88, 8.76
3.058, 5.30, 9.22
3.088, 6.72, 9.43
3.123, 7.75, 9.50
3.158, 8.95, 9.38
3.189, 9.58, 9.11
3.229, 9.57, 8.56
3.268, 9.12, 7.86
3.299, 8.50, 8.42
3.336, 7.86, 5.13
3.353, 7.27, 4.64
3.403, 6.68, 3.25
3.423, 6.09, 2.73
3.460, 5.43, 1.88
3.490, 4.65, 1.09
3.529, 3.77, 0.50
3.558, 2.64, 0.48
3.590, 1.43, 0.87
3.628, 1.25, 1.85
3.657, 1.10, 2.89
3.698, 0.99, 4.63
3.723, 0.78, 5.74
3.759, 0.66, 7.24
3.789, 0.36, 8.28
3.826, 0.29, 8.93
3.865, 0.64, 9.39
3.900, 1.52, 9.58
3.920, 2.88, 9.58
3.958, 4.57, 9.40
3.994, 6.27, 9.00
4.032, 7.78, 8.35
4.059, 8.79, 7.77
4.091, 8.99, 6.99
4.126, 8.06, 6.01
4.157, 6.88, 5.16
4.196, 5.74, 6.54
4.232, 4.74, 5.63
4.260, 3.86, 4.96
4.291, 3.06, 4.21
4.335, 2.25, 3.17
4.357, 1.49, 2.68
4.393, 1.43, 1.95
4.435, 1.34, 0.96
4.455, 1.24, 0.53
4.494, 1.00, 0.26
4.526, 0.79, 0.61
4.569, 0.70, 1.82
4.590, 0.49, 2.65
4.625, 0.33, 4.23
4.660, 0.60, 5.87
4.693, 1.46, 7.26
4.729, 3.06, 8.08
4.766, 5.39, 8.55
4.790, 6.98, 8.77
4.828, 7.94, 8.96
4.868, 9.08, 8.96
4.889, 9.56, 8.87
4.931, 9.43, 8.52
4.960, 8.90, 8.17
5.001, 8.25, 6.73
5.021, 7.62, 8.42
5.061, 7.05, 7.70
5.104, 6.57, 6.80
5.131, 6.08, 6.18
