method,prefix,term,term_kind,n,pp_term_mean,pp_term_median,pp_term_std,corr_to_ref_pp,centered_corr_to_ref_pp,centered_corr_to_pred_pp,gain_to_ref_pp,amplitude_ratio_to_ref_pp,direction_agreement_to_ref_pp,inverse_strength
RTBP,M1,A,dynamic,71,0.47367639490912816,0.49437433451900836,0.06929365049266803,-0.13071832961426222,-0.13071832961426222,-0.3461090378248013,-0.004892510957475929,0.02754948808444875,0.6290322580645161,0.00013478617232601806
RTBP,M1,HR,dynamic,71,-1.2183841402175384,-1.2189894186458423,0.057779591704151124,0.21277442871857583,0.21277442871857585,0.2187520258863952,0.0047832033558786215,0.02297177536268282,0.5,0.0
RTBP,M1,P2V_relTTP,dynamic,71,14.133717041661606,12.94192574105093,4.285884725676191,0.2167137959428021,0.2167137959428021,0.9664439143523932,0.43880542593087024,1.7039646394994095,0.5,0.0
RTBP,M1,V2P_relTTP,dynamic,71,-8.22475021999689,-8.348851338882563,1.5008769157304196,-0.018326203260896644,-0.018326203260896665,0.6978646246218799,-0.0022248634510069224,0.5967125474290671,0.46875,0.0013276039375321662
RTBP,M1,intercept,baseline,71,29.274858157485742,29.27485815748574,3.197442310920451e-14,3.740070604309095e-15,,,0.0,0.0,,0.0
SinBP_D,M2,A,dynamic,58,0.2671579221287314,0.2705526695661507,0.020479036106868187,0.030842354034046667,0.03084235403404668,-0.1052056491979097,0.00019452958223080643,0.00957962730380855,0.5,0.0
SinBP_D,M2,E,dynamic,58,-27.181619945501165,-27.94331329695882,3.3128491383734784,0.26055839199957664,0.2605583919995767,0.1286338035229171,0.42456424314012675,1.5496754775835238,0.6153846153846154,0.0
SinBP_D,M2,HR,dynamic,58,-1.8133121026173176,-1.8226705793432405,0.08376497525350482,0.1357736755443191,0.13577367554431913,-0.0028304913066375275,0.0055739969383321675,0.03918335022477954,0.5192307692307693,0.0
SinBP_D,M2,P2V_relTTP,dynamic,58,14.065117144774469,12.947804249473998,3.6713594698147185,-0.08990932122047023,-0.08990932122047027,0.9384218824754855,-0.12096319549234259,1.717378456466409,0.4230769230769231,0.2077395859638838
SinBP_D,M2,Stiffness,dynamic,58,23.15225505129333,23.765121833952126,3.002570377338065,-0.23402434328590252,-0.23402434328590252,-0.15903737307791074,-0.34540255130960335,1.4045341303298866,0.4230769230769231,0.4851296720173578
SinBP_D,M2,V2P_relTTP,dynamic,58,-8.118879734276215,-8.431656869925272,1.3870906587540899,-0.1370296853411102,-0.1370296853411102,0.5499495217718057,-0.07936809186899857,0.6488494613768486,0.36538461538461536,0.05149794365970796
SinBP_D,M2,intercept,baseline,58,33.03905629465872,33.03905629465872,4.263256414560601e-14,,,,0.0,0.0,,0.0
SinBP_M,M3,A,dynamic,74,-2.320267817487272,-2.352525576659994,0.19172050419019598,0.09830693145340373,0.09830693145340373,0.018358802139607923,0.006472251469075184,0.07716930216318969,0.6290322580645161,0.0
SinBP_M,M3,HR,dynamic,74,-5.529291112332336,-5.4928518367177865,0.3626177884758361,0.12280319270825339,0.12280319270825339,0.014081796228521905,0.019003696074209594,0.1459570628965119,0.5625,0.0
SinBP_M,M3,Mean,dynamic,74,9.869070388788732,9.932570299085109,1.1040284307001937,-0.10715022231223376,-0.10715022231223376,0.366799012706791,-0.0452021520920905,0.4443818042588484,0.546875,0.020087013903066053
SinBP_M,M3,cosPhi,dynamic,74,-1.0338138385048732,-1.9704419948920058,3.4428779049792553,-0.29770961209477426,-0.2977096120947742,0.9514711302219059,-0.44064051669210874,1.385790666900927,0.53125,0.6106355154903265
SinBP_M,M3,intercept,baseline,74,31.876001152054574,31.87600115205457,3.552713678800501e-15,1.855135909144792e-15,,,0.0,0.0,,0.0
SinBP_M,M3,sinPhi,dynamic,74,1.0056673395167006,1.0407609348901303,0.1743981645739646,-0.1797013542269737,-0.17970135422697364,0.24403822684918278,-0.011373093655784962,0.07019689790385067,0.515625,0.0007983558942060687
