method,series,target,filters,n,mae,rmse,corr,signed_bias,centered_mae,centered_rmse,centered_corr,tracking_gain,amplitude_ratio,direction_agreement,inversion_like,pp_mae,pp_signed_bias
RTBP,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,3.831756458115413,4.641856013840358,0.12316494897554692,-3.3530440682290017,2.5478315267900697,3.2140987220750596,0.12316494897554695,0.08549258814920367,0.6925019975169318,0.5471698113207547,0,5.75535935241358,-5.041071438932466
RTBP,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,1.9236028942981656,2.3215830580654258,0.12828407548767617,1.688027370703464,1.2672899872655874,1.5958574055521755,0.1282840754876762,0.0875746095951874,0.6827904444375276,0.5377358490566038,0,5.75535935241358,-5.041071438932466
RTBP,raw,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,0.03913403643303429,0.049999556661439945,-0.15988815056525144,0.007670224392642731,0.03916617773169432,0.049489986032967524,-0.1598881505652514,-0.03480744383341262,0.22657650723614461,0.5754716981132075,0,5.75535935241358,-5.041071438932466
RTBP,raw,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,5.75535935241358,6.9626313104909965,0.12491960280669216,-5.041071438932466,3.8143257301142524,4.808424060418497,0.12491960280669216,0.08644593396564003,0.6894500369268496,0.5686274509803921,0,5.75535935241358,-5.041071438932466
RTBP,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,3.741920823898287,4.4124302451536455,0.1640837994212536,-3.3457475071953557,2.235718012766227,2.876850233122112,0.16408379942125367,0.0728553212471942,0.44375592643558376,0.5377358490566038,0,5.6221382299560325,-5.030064092443353
RTBP,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,1.8808710150188406,2.212544973395247,0.1673371205739462,1.684316585247998,1.1146355079100336,1.4349437200598447,0.1673371205739462,0.07355565494016744,0.4395962466773057,0.5283018867924528,0,5.6221382299560325,-5.030064092443353
RTBP,smoothed,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,0.037545685863464295,0.0478522880096754,-0.07214408191138277,0.007628554433548309,0.037491597433881904,0.04732802983671876,-0.07214408191138272,-0.006607214323279245,0.10830314090260076,0.5471698113207547,0,5.6221382299560325,-5.030064092443353
RTBP,smoothed,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,5.6221382299560325,6.624203536562322,0.16521780487535143,-5.030064092443353,3.3494313223763057,4.310461832839317,0.16521780487535137,0.07318231440396375,0.4424886449517888,0.5588235294117647,0,5.6221382299560325,-5.030064092443353
RTBP,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,3.741920823898287,4.4124302451536455,0.1640837994212536,-3.3457475071953557,2.235718012766227,2.876850233122112,0.16408379942125367,0.0728553212471942,0.44375592643558376,0.5377358490566038,0,5.6221382299560325,-5.030064092443353
RTBP,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,1.8808710150188406,2.212544973395247,0.1673371205739462,1.684316585247998,1.1146355079100336,1.4349437200598447,0.1673371205739462,0.07355565494016744,0.4395962466773057,0.5283018867924528,0,5.6221382299560325,-5.030064092443353
RTBP,calibrated,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,0.037545685863464295,0.0478522880096754,-0.07214408191138277,0.007628554433548309,0.037491597433881904,0.04732802983671876,-0.07214408191138272,-0.006607214323279245,0.10830314090260076,0.5471698113207547,0,5.6221382299560325,-5.030064092443353
RTBP,calibrated,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,5.6221382299560325,6.624203536562322,0.16521780487535143,-5.030064092443353,3.3494313223763057,4.310461832839317,0.16521780487535137,0.07318231440396375,0.4424886449517888,0.5588235294117647,0,5.6221382299560325,-5.030064092443353
RTBP,tracking_aligned,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,3.8365779558187207,4.4561476806984786,0.0062855053232442615,-3.3811655312584166,2.24822416336537,2.9028984579787775,0.00628550532324427,0.0016667109237443226,0.27146296320011,0.5188679245283019,0,5.773444451632785,-5.084753868398935
RTBP,tracking_aligned,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,1.9368664958140651,2.2393748096741506,1.4505258749704484e-05,1.70358833714052,1.121893401526566,1.453550272049772,1.450525874970401e-05,7.102607439147156e-06,0.27139028754182637,0.46226415094339623,0,5.773444451632785,-5.084753868398935
RTBP,tracking_aligned,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,0.037714121635726565,0.047730437370498015,-0.0826865986420136,0.008670381007543556,0.037540420159132025,0.04708508906708428,-0.08268659864201361,-0.005370109204099737,0.06227758661140535,0.5849056603773585,0,5.773444451632785,-5.084753868398935
RTBP,tracking_aligned,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,5.773444451632785,6.69477594598721,0.004207422295356454,-5.084753868398935,3.3700215226378045,4.355500551440827,0.004207422295356431,0.0010807362130569244,0.27150973630632275,0.5,0,5.773444451632785,-5.084753868398935
SinBP_D,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",100,3.7555789689529773,4.485626631051811,0.22626498739872616,-3.143241209947722,2.5621626136292956,3.2204671554077478,0.22626498739872616,0.16536572147598394,0.71389688721074,0.4583333333333333,0,5.6476686523674315,-4.731986356617052
SinBP_D,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",100,1.892089683414456,2.2507181613480722,0.22683762259861995,1.58874514666933,1.2699584016809244,1.6037271003240907,0.22683762259862003,0.1629625737450989,0.7041513564091608,0.46875,0,5.6476686523674315,-4.731986356617052
SinBP_D,raw,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",100,0.0405949452478373,0.05135703603121846,-0.1069821641832401,0.011416361130313817,0.04032041734306631,0.05074661036236481,-0.10698216418324011,-0.027703680633278962,0.21792905161682316,0.40625,0,5.6476686523674315,-4.731986356617052
SinBP_D,raw,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",100,5.6476686523674315,6.735473048130574,0.2265327527497366,-4.731986356617052,3.830063871990427,4.821387586233903,0.22653275274973664,0.16512707474847163,0.7108312360283758,0.43157894736842106,0,5.6476686523674315,-4.731986356617052
SinBP_D,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",100,3.562960501911492,4.278556685583406,0.2815004892146368,-3.1555741633334806,2.2390312692776377,2.889960618042619,0.2815004892146368,0.14111109475854908,0.49726356408606387,0.4375,0,5.3649939038525964,-4.750038907310945
SinBP_D,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",100,1.8020334019411046,2.153198376044644,0.2776404212956511,1.5944647439774622,1.1178874284105722,1.4475381429453213,0.2776404212956511,0.13786927090568316,0.492706621711724,0.46875,0,5.3649939038525964,-4.750038907310945
SinBP_D,smoothed,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",100,0.038629900337761,0.049174983915146284,0.05121256014060613,0.011118441540481569,0.038493101596509406,0.048285950793330305,0.05121256014060614,0.006973102255846685,0.11402498841003292,0.4166666666666667,0,5.3649939038525964,-4.750038907310945
