経過時間_秒, Green, SinWave
0.021, 7.58, 8.49
0.035, 8.07, 8.44
0.068, 8.76, 8.12
0.109, 8.95, 7.44
0.144, 8.26, 6.61
0.177, 7.33, 5.75
0.211, 6.16, 1.13
0.241, 4.78, 1.64
0.274, 3.26, 0.87
0.316, 2.24, 0.39
0.339, 1.77, 0.39
0.374, 0.85, 0.76
0.424, 0.48, 1.97
0.448, 0.81, 2.77
0.482, 1.87, 4.05
0.515, 3.48, 5.35
0.542, 5.47, 6.38
0.576, 7.18, 7.51
0.611, 8.21, 8.34
0.643, 9.06, 8.80
0.680, 9.56, 8.96
0.713, 9.83, 8.75
0.752, 9.84, 8.10
0.777, 9.64, 7.49
0.805, 9.24, 6.65
0.851, 8.69, 6.80
0.881, 7.98, 7.78
0.911, 7.14, 6.71
0.947, 6.20, 5.31
0.978, 5.19, 4.09
1.014, 4.16, 2.76
1.042, 2.77, 1.88
1.081, 0.97, 0.99
1.110, 0.70, 0.59
1.146, 1.36, 0.44
1.185, 2.66, 0.72
1.214, 4.37, 1.22
1.239, 6.21, 1.79
1.285, 7.89, 3.21
1.323, 8.96, 4.59
1.356, 9.65, 5.83
1.390, 9.89, 7.06
1.422, 9.83, 8.12
1.441, 9.56, 8.62
1.482, 9.08, 5.98
1.513, 8.43, 2.53
1.545, 7.57, 1.52
1.591, 6.55, 0.75
1.613, 5.40, 0.70
1.648, 4.12, 1.05
1.675, 2.85, 1.67
1.722, 1.37, 3.31
1.745, 0.72, 4.29
1.784, 0.84, 6.04
1.823, 1.73, 7.68
1.845, 3.29, 8.47
1.886, 5.28, 9.55
1.913, 7.00, 9.88
1.949, 8.14, 9.81
1.983, 9.07, 9.21
2.009, 9.62, 8.45
2.046, 9.83, 7.02
2.079, 9.77, 5.55
2.112, 9.51, 4.04
2.143, 9.07, 8.03
2.177, 8.45, 4.91
2.223, 7.69, 3.14
2.255, 6.78, 2.09
2.289, 5.73, 1.15
2.318, 4.58, 0.73
2.349, 3.38, 0.71
2.379, 1.82, 1.14
2.423, 0.73, 2.45
2.454, 0.76, 3.73
2.487, 1.64, 5.26
2.521, 3.19, 6.83
2.546, 5.29, 7.88
2.584, 6.79, 9.05
2.608, 7.83, 9.52
2.655, 8.88, 9.88
2.689, 9.53, 9.66
2.716, 9.86, 9.20
2.747, 9.88, 8.42
2.782, 9.72, 7.26
2.821, 9.37, 5.75
2.854, 8.86, 2.11
2.886, 8.21, 1.50
2.914, 7.41, 0.96
2.945, 6.48, 0.72
2.981, 5.41, 0.94
3.023, 4.35, 1.83
3.045, 3.22, 2.53
3.088, 1.81, 4.22
3.122, 0.82, 5.70
3.145, 1.82, 6.68
3.188, 3.40, 8.32
3.221, 5.33, 9.26
3.249, 7.14, 9.75
3.284, 8.53, 9.90
3.315, 9.33, 9.59
3.351, 9.55, 8.76
3.392, 9.49, 7.26
3.421, 8.90, 6.07
3.455, 8.09, 7.78
3.485, 7.07, 6.77
3.516, 5.83, 5.64
3.554, 4.40, 4.23
3.591, 2.78, 2.95
3.617, 2.33, 2.18
3.648, 1.86, 1.34
3.689, 1.08, 0.81
3.716, 0.57, 0.89
3.752, 0.72, 1.51
3.787, 1.54, 2.60
3.821, 2.92, 3.99
3.855, 4.59, 5.53
3.891, 6.25, 7.12
3.926, 7.64, 8.43
3.954, 8.63, 9.08
3.990, 9.27, 9.60
4.020, 9.69, 9.73
4.055, 9.28, 9.53
4.088, 8.66, 9.02
4.124, 7.88, 5.15
4.155, 6.96, 3.47
4.186, 5.90, 2.42
4.221, 4.68, 1.29
4.254, 3.34, 0.58
4.287, 2.15, 0.64
4.317, 1.81, 1.35
4.359, 1.16, 3.20
4.387, 0.60, 4.76
4.425, 0.57, 6.91
4.450, 1.14, 8.13
4.498, 2.23, 9.29
4.521, 3.65, 9.58
4.557, 5.15, 9.70
4.592, 6.48, 9.42
4.615, 7.69, 9.04
4.652, 8.74, 8.12
4.685, 9.66, 7.06
4.721, 9.80, 5.74
4.758, 9.56, 4.32
4.789, 9.17, 3.19
4.830, 8.62, -0.39
4.858, 7.92, 1.39
4.881, 7.14, 0.91
4.916, 6.24, 0.56
4.957, 5.28, 0.80
4.994, 4.36, 1.54
5.021, 3.27, 2.37
5.062, 2.13, 3.95
5.089, 1.09, 5.10
5.124, 2.43, 6.60
5.157, 4.51, 7.87
5.192, 6.17, 8.96
5.222, 7.15, 9.58
5.259, 8.09, 9.82
5.289, 8.87, 9.59
5.322, 9.28, 8.91
5.358, 9.58, 7.74
5.390, 9.79, 6.43
5.430, 9.85, 4.65
5.463, 9.73, 3.19
5.490, 9.47, 2.21
5.528, 9.10, 5.49
5.562, 8.59, 4.74
5.585, 7.98, 3.98
5.629, 7.33, 2.68
5.655, 6.84, 1.95
5.691, 6.41, 1.21
5.724, 6.26, 1.08
5.756, 6.63, 1.48
5.796, 6.33, 2.63
5.828, 6.16, 3.93
5.858, 7.06, 5.31
5.889, 8.06, 6.76
5.928, 8.85, 8.36
5.958, 9.32, 9.09
5.990, 9.64, 9.58
6.026, 9.82, 9.84
6.056, 9.84, 9.79
6.096, 9.71, 9.36
6.130, 9.44, 8.70
6.165, 9.06, 9.93
6.197, 8.53, 8.53
6.223, 7.87, 8.12
6.254, 7.09, 7.64
6.291, 6.36, 7.09
6.331, 5.62, 6.59
6.358, 4.99, 6.34
6.386, 4.88, 6.18
6.423, 5.17, 6.16
6.463, 5.64, 6.38
