method,prefix,term,term_kind,n,pp_term_mean,pp_term_median,pp_term_std,corr_to_ref_pp,centered_corr_to_ref_pp,centered_corr_to_pred_pp,gain_to_ref_pp,amplitude_ratio_to_ref_pp,direction_agreement_to_ref_pp,inverse_strength
RTBP,M1,A,dynamic,113,0.4452386328958086,0.4831400014771798,0.08703136843632028,0.11232718037694209,0.1123271803769421,-0.3527719218820919,0.0010801113067765394,0.008488759009733764,0.5825242718446602,0.0
RTBP,M1,HR,dynamic,113,-1.6164785905352899,-1.6159542099753121,0.09632266925567742,0.2114407170194668,0.21144071701946676,-0.049485921540555505,0.001985878856776921,0.009395002528128792,0.5188679245283019,0.0
RTBP,M1,P2V_relTTP,dynamic,113,13.90158714519257,13.847519394630337,1.7278213768957793,-0.03423080501930509,-0.03423080501930511,0.8975921621366394,-0.005944105051516453,0.16852612504957157,0.41346153846153844,0.001001736991219652
RTBP,M1,V2P_relTTP,dynamic,113,-7.870596900994374,-7.7872503315447865,1.0447023573284615,-0.0208267525307207,-0.02082675253072071,0.7207880810894979,-0.0018387557631901628,0.1018968988721675,0.47115384615384615,0.00018736351005240321
RTBP,M1,intercept,baseline,113,29.274858157485724,29.27485815748574,3.197442310920451e-14,8.831666168420675e-16,,,0.0,0.0,,0.0
SinBP_D,M2,A,dynamic,95,0.2657715353922545,0.2705526695661507,0.02249528761342496,0.0786782924313493,0.0786782924313493,-0.10543434028853707,0.00016361678794074949,0.002061215535359534,0.5833333333333334,0.0
SinBP_D,M2,E,dynamic,95,-21.273392165724452,-22.806470828069102,4.5313326513728125,-0.1397399512794271,-0.1397399512794271,0.21970358454129038,-0.05848300245195986,0.41520043741594537,0.4659090909090909,0.02428216819945154
SinBP_D,M2,HR,dynamic,95,-2.4107526868969362,-2.4015854515505284,0.12568471412119944,0.18062677714032302,0.18062677714032296,-0.1361716250361707,0.0020829077898571807,0.01151633576577307,0.5454545454545454,0.0
SinBP_D,M2,P2V_relTTP,dynamic,95,13.967730497608425,13.971223507516255,1.5929912824094465,0.04970504066932914,0.04970504066932918,0.8876067855004329,0.0072561153512843415,0.14596383186650602,0.4883720930232558,0.0
SinBP_D,M2,Stiffness,dynamic,95,18.145585345132936,19.53222270256292,4.093469098854328,0.14225636101297798,0.1422563610129779,-0.22118542358557475,0.053776136244002515,0.3750795386602348,0.5340909090909091,0.0
SinBP_D,M2,V2P_relTTP,dynamic,95,-7.747440542132753,-7.7176144455694775,0.9076844553654413,0.054018647345765586,0.054018647345765544,0.7163770455027074,0.00450170081949224,0.08317001021525279,0.5116279069767442,0.0
SinBP_D,M2,intercept,baseline,95,33.03905629465872,33.03905629465872,6.394884621840902e-14,,,,0.0,0.0,,0.0
SinBP_M,M3,A,dynamic,94,-1.8900061138468425,-2.003086961134953,0.38078278543699484,-0.07274320355282986,-0.07274320355282986,0.10777844616916363,-0.002869571428062208,0.034930982166651976,0.4482758620689655,0.00010023694837957503
SinBP_M,M3,HR,dynamic,94,-7.3524968461839055,-7.318374190835499,0.3845705249450203,0.18578072062738157,0.1857807206273816,-0.2238730392551904,0.006647301684785612,0.03527844919054834,0.4942528735632184,0.0
SinBP_M,M3,Mean,dynamic,94,10.330708166885271,10.267478877132717,2.2610486712517286,-0.13462350964863345,-0.13462350964863348,0.4500887863636827,-0.028079830454055744,0.2074165477905896,0.46511627906976744,0.005824221495325307
SinBP_M,M3,cosPhi,dynamic,94,-0.012272988440617265,-0.013556532472597228,3.143223734950971,0.09536984522673993,0.09536984522673989,0.7335108603746003,0.02746737253571698,0.28834258383126576,0.5747126436781609,0.0
SinBP_M,M3,intercept,baseline,94,31.87600115205457,31.87600115205457,3.197442310920451e-14,,,,0.0,0.0,,0.0
SinBP_M,M3,sinPhi,dynamic,94,1.0346086702364168,1.0509796052812783,0.040687819797315415,-0.05497601392571641,-0.054976013925716424,0.17484466680053187,-0.00015704325470874956,0.0037324836155838764,0.4883720930232558,5.861613751383732e-07
