経過時間_秒, Green, IBI, Smoothed_IBI, bpmSD, Smoothed_BPM
0.033, 0.56, 808.00, 735.91, 7.47, 81.53
0.066, 0.98, 808.00, 735.91, 7.47, 81.53
0.107, 1.99, 808.00, 735.91, 7.47, 81.53
0.133, 3.32, 808.00, 735.91, 7.47, 81.53
0.173, 4.61, 808.00, 735.91, 7.47, 81.53
0.207, 5.63, 808.00, 735.91, 7.47, 81.53
0.243, 6.20, 808.00, 735.91, 7.47, 81.53
0.269, 6.28, 808.00, 735.91, 7.47, 81.53
0.311, 6.02, 498.00, 616.96, 10.58, 97.25
0.338, 5.43, 498.00, 616.96, 10.58, 97.25
0.373, 5.02, 498.00, 616.96, 10.58, 97.25
0.400, 4.42, 498.00, 616.96, 10.58, 97.25
0.432, 3.68, 498.00, 616.96, 10.58, 97.25
0.469, 3.03, 498.00, 616.96, 10.58, 97.25
0.497, 2.60, 498.00, 616.96, 10.58, 97.25
0.541, 2.20, 498.00, 616.96, 10.58, 97.25
0.563, 1.68, 498.00, 616.96, 10.58, 97.25
0.610, 0.81, 498.00, 616.96, 10.58, 97.25
0.636, 0.52, 498.00, 616.96, 10.58, 97.25
0.666, 1.00, 498.00, 616.96, 10.58, 97.25
0.725, 2.18, 498.00, 616.96, 10.58, 97.25
0.743, 3.85, 498.00, 616.96, 10.58, 97.25
0.766, 5.70, 498.00, 616.96, 10.58, 97.25
0.808, 7.32, 498.00, 616.96, 10.58, 97.25
0.843, 8.47, 498.00, 616.96, 10.58, 97.25
0.876, 9.32, 498.00, 616.96, 10.58, 97.25
0.897, 9.77, 498.00, 616.96, 10.58, 97.25
0.935, 9.46, 637.00, 626.98, 10.67, 95.70
0.972, 8.98, 637.00, 626.98, 10.67, 95.70
1.007, 8.35, 637.00, 626.98, 10.67, 95.70
1.037, 7.61, 637.00, 626.98, 10.67, 95.70
1.071, 6.65, 637.00, 626.98, 10.67, 95.70
1.096, 5.46, 637.00, 626.98, 10.67, 95.70
1.134, 4.13, 637.00, 626.98, 10.67, 95.70
1.168, 2.67, 637.00, 626.98, 10.67, 95.70
1.204, 1.61, 637.00, 626.98, 10.67, 95.70
1.241, 0.83, 637.00, 626.98, 10.67, 95.70
1.275, 0.74, 637.00, 626.98, 10.67, 95.70
1.298, 1.46, 637.00, 626.98, 10.67, 95.70
1.333, 2.89, 637.00, 626.98, 10.67, 95.70
1.367, 4.79, 637.00, 626.98, 10.67, 95.70
