method,series,target,filters,n,mae,rmse,corr,signed_bias,centered_mae,centered_rmse,centered_corr,tracking_gain,amplitude_ratio,direction_agreement,inversion_like,pp_mae,pp_signed_bias
RTBP,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,3.7474684405996426,4.192915427647326,0.03528338039655614,-3.7474684405996426,1.4853523096929537,1.883243789581466,0.03528338039655617,0.01244735107998893,0.36947617873294597,0.46788990825688076,0,5.565896447993345,-5.564786556804557
RTBP,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,1.8191391179035556,2.0493338853400562,0.029712599975586562,1.8173181162049135,0.7447172780997201,0.9489777169688324,0.02971259997558654,0.009678140361296309,0.36026033947875075,0.47706422018348627,0,5.565896447993345,-5.564786556804557
RTBP,raw,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,0.04303253018084751,0.05541010945697842,0.05366502755462229,-0.037610736063271456,0.032648949174783067,0.04097601598080144,0.05366502755462231,0.004624798032399612,0.09421319694683003,0.5137614678899083,0,5.565896447993345,-5.564786556804557
RTBP,raw,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,5.565896447993345,6.24149834053316,0.03343932862186814,-5.564786556804557,2.2318854024959576,2.8346270428763867,0.03343932862186814,0.010655492052137536,0.366573895725297,0.49038461538461536,0,5.565896447993345,-5.564786556804557
RTBP,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,3.7431725923277352,4.148925240285553,0.10948879873543742,-3.7431725923277352,1.3914834405798684,1.7900235373385585,0.10948879873543742,0.026245434224381504,0.24110980677090169,0.5504587155963303,0,5.560293487623258,-5.5584240646644645
RTBP,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,1.8172253750905492,2.027537902558317,0.10132534275057865,1.8152514723367283,0.7014558837462791,0.9037264530770351,0.10132534275057864,0.023684503265506546,0.2359982302187966,0.5688073394495413,0,5.560293487623258,-5.5584240646644645
RTBP,smoothed,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,0.04308218569326553,0.05524707233804403,0.11844535718422645,-0.037556549218091755,0.03272298193021754,0.04075824269015062,0.11844535718422651,0.006914651390613304,0.05235745787047921,0.5045871559633027,0,5.560293487623258,-5.5584240646644645
RTBP,smoothed,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,5.560293487623258,6.1757077114805945,0.10680261464834051,-5.5584240646644645,2.0949559671671865,2.694574295439991,0.10680261464834054,0.025164591592780464,0.23951765024507427,0.5769230769230769,0,5.560293487623258,-5.5584240646644645
RTBP,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,3.7431725923277352,4.148925240285553,0.10948879873543742,-3.7431725923277352,1.3914834405798684,1.7900235373385585,0.10948879873543742,0.026245434224381504,0.24110980677090169,0.5504587155963303,0,5.560293487623258,-5.5584240646644645
RTBP,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,1.8172253750905492,2.027537902558317,0.10132534275057865,1.8152514723367283,0.7014558837462791,0.9037264530770351,0.10132534275057864,0.023684503265506546,0.2359982302187966,0.5688073394495413,0,5.560293487623258,-5.5584240646644645
RTBP,calibrated,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,0.04308218569326553,0.05524707233804403,0.11844535718422645,-0.037556549218091755,0.03272298193021754,0.04075824269015062,0.11844535718422651,0.006914651390613304,0.05235745787047921,0.5045871559633027,0,5.560293487623258,-5.5584240646644645
RTBP,calibrated,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,5.560293487623258,6.1757077114805945,0.10680261464834051,-5.5584240646644645,2.0949559671671865,2.694574295439991,0.10680261464834054,0.025164591592780464,0.23951765024507427,0.5769230769230769,0,5.560293487623258,-5.5584240646644645
RTBP,tracking_aligned,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,3.752954804324491,4.138769489634248,0.15942489309898084,-3.7449682736977423,1.3587531488240496,1.7623781347808793,0.15942489309898092,0.02697058022459631,0.16976211481811254,0.5596330275229358,0,5.575126480132245,-5.561074460147407
RTBP,tracking_aligned,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,1.8221716758077569,2.022209162125593,0.1511242289735009,1.8161061864496657,0.6862516232983695,0.8898616645096638,0.15112422897350086,0.024902037103176802,0.16568877826841694,0.5412844036697247,0,5.575126480132245,-5.561074460147407
RTBP,tracking_aligned,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,0.04316459672683354,0.05527319640398798,0.12552486219751902,-0.0375853002661361,0.032797759767988634,0.040772987263571606,0.12552486219751904,0.006181758134157257,0.04469639807876347,0.5045871559633027,0,5.575126480132245,-5.561074460147407
RTBP,tracking_aligned,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",110,5.575126480132245,6.16022409905369,0.1567148259313234,-5.561074460147407,2.044070494553263,2.6528444222840504,0.15671482593132344,0.02614153774150952,0.16848163286514786,0.5576923076923077,0,5.575126480132245,-5.561074460147407
SinBP_D,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",80,4.119640923293647,4.451311962186869,0.35174881728433516,-4.117651919573862,1.2928411704399256,1.6962311270837795,0.3517488172843352,0.1136601037707422,0.3243473912564053,0.6266666666666667,0,6.122399612689154,-6.11932668789185
