method,prefix,term,term_kind,n,pp_term_mean,pp_term_median,pp_term_std,corr_to_ref_pp,centered_corr_to_ref_pp,centered_corr_to_pred_pp,gain_to_ref_pp,amplitude_ratio_to_ref_pp,direction_agreement_to_ref_pp,inverse_strength
RTBP,M1,A,dynamic,110,0.4926640741133491,0.49207121664458525,0.004890804483438054,0.17055842204314478,0.17055842204314484,0.010795292972381946,0.0003016470977597147,0.0018228712301683462,0.5543478260869565,0.0
RTBP,M1,HR,dynamic,110,-1.187242420874872,-1.1804847876669975,0.034675147085358696,-0.34191785302014377,-0.3419178530201437,-0.13780629072191433,-0.004311998900554745,0.012923912259793106,0.3173076923076923,5.572789545509387e-05
RTBP,M1,P2V_relTTP,dynamic,110,9.353835120592342,9.375375393049836,0.8158217579789577,0.18497104559683727,0.18497104559683722,0.687028331582692,0.05647368861299277,0.3040681786812714,0.6530612244897959,0.0
RTBP,M1,V2P_relTTP,dynamic,110,-9.881199541984754,-9.988272461313047,0.7150200578255094,-0.149636460254196,-0.14963646025419602,0.5982475478200678,-0.04139856486273018,0.2664979752957112,0.3942307692307692,0.011032633716065764
RTBP,M1,intercept,baseline,110,29.27485815748572,29.27485815748574,3.197442310920451e-14,5.778091958081521e-17,,,0.0,0.0,,0.0
SinBP_D,M2,A,dynamic,80,0.27055266956615076,0.2705526695661507,1.6653345369377348e-16,-2.6161237655930954e-16,,,0.0,0.0,,0.0
SinBP_D,M2,E,dynamic,80,-26.979799534649555,-27.09984354738522,1.4928288166969659,0.14012824009010658,0.14012824009010655,0.4627396615870342,0.07630517298143384,0.5496396977650244,0.4794520547945205,0.0
SinBP_D,M2,HR,dynamic,80,-1.7686266141575508,-1.7559482869235215,0.05441087843145527,-0.3376251692057599,-0.3376251692057599,-0.3715067653913089,-0.006688606351264988,0.020033361120644393,0.3424657534246575,0.00013399526642872718
SinBP_D,M2,P2V_relTTP,dynamic,80,9.52000875500921,9.5503624398216,0.6933035981338751,0.056005526409466745,0.05600552640946669,0.6268130764339575,0.014468646710703902,0.25526515557279805,0.5416666666666666,0.0
SinBP_D,M2,Stiffness,dynamic,80,23.154628604946282,23.25773268251413,1.2811674871582677,-0.1401119145657496,-0.14011191456574956,-0.4627028772007711,-0.06547804770483646,0.4717088138652873,0.5205479452054794,0.030886572217063105
SinBP_D,M2,V2P_relTTP,dynamic,80,-9.673573060727609,-9.739907389226602,0.6887448463521297,0.3711293073119791,0.3711293073119791,0.5250636853032218,0.09370564589357026,0.25358668385288025,0.6027397260273972,0.0
SinBP_D,M2,intercept,baseline,80,33.03905629465873,33.03905629465872,5.684341886080802e-14,-2.6161237655930954e-16,,,0.0,0.0,,0.0
SinBP_M,M3,A,dynamic,103,-2.2794596702069585,-2.287185776885098,0.08608472786252182,0.16993348079624124,0.16993348079624127,0.2712570992808444,0.005070564665396747,0.03186240366087609,0.5591397849462365,0.0
SinBP_M,M3,HR,dynamic,103,-5.374504210366207,-5.3436897799522844,0.1645892866777719,-0.3563373598543614,-0.35633735985436144,-0.23542826392337915,-0.020334925428566554,0.06091917138610094,0.2903225806451613,0.001238786807306428
SinBP_M,M3,Mean,dynamic,103,9.303601402513298,9.346060017395487,0.6690637415881724,-0.02890101321537219,-0.0289010132153722,0.25868201073759267,-0.005499098834684315,0.24763950050912026,0.3333333333333333,0.0013617940886715089
SinBP_M,M3,cosPhi,dynamic,103,-5.550781448473986,-5.761526300853818,1.4480631339980463,0.06717703956647439,0.06717703956647439,0.901020697816791,0.02777068212217263,0.5359693089297228,0.4731182795698925,0.0
SinBP_M,M3,intercept,baseline,103,31.876001152054567,31.87600115205457,4.263256414560601e-14,2.0171235268954676e-15,,,0.0,0.0,,0.0
SinBP_M,M3,sinPhi,dynamic,103,0.9496005359683676,0.9628967953992448,0.14298048280673198,-0.008251814792972613,-0.008251814792972604,0.2765081315623131,6.39659048611629e-05,0.05292113911413591,0.4782608695652174,0.0
