経過時間_秒, Green, SinWave
0.040, 7.94, 6.70
0.072, 7.48, 6.05
0.104, 6.89, 5.32
0.139, 6.19, 4.52
0.172, 5.11, 3.77
0.206, 3.26, 3.04
0.239, 1.69, 2.39
0.271, 1.42, 1.82
0.304, 1.18, 0.93
0.336, 0.97, 0.48
0.368, 0.80, 0.50
0.400, 0.71, 1.00
0.432, 0.56, 1.92
0.464, 0.33, 3.17
0.496, 0.49, 4.62
0.529, 1.22, 6.16
0.560, 2.62, 7.50
0.598, 4.63, 8.60
0.628, 6.65, 9.02
0.659, 7.61, 9.35
0.691, 8.68, 9.59
0.723, 9.44, 9.72
0.759, 9.63, 9.73
0.792, 9.38, 9.60
0.824, 8.94, 9.36
0.860, 8.52, 6.24
0.892, 8.13, 4.62
0.925, 7.82, 3.78
0.958, 7.48, 2.98
0.992, 7.06, 2.22
1.024, 6.54, 1.53
1.053, 5.90, 0.77
1.089, 5.09, 0.34
1.126, 3.73, 0.55
1.160, 1.44, 1.30
1.194, 1.22, 2.50
1.226, 1.09, 3.90
1.258, 0.97, 5.42
1.289, 0.85, 6.85
1.321, 0.78, 8.12
1.356, 0.72, 8.78
1.381, 0.69, 9.12
1.428, 0.49, 9.53
1.460, 0.33, 9.63
1.491, 0.54, 9.59
1.524, 1.30, 9.40
1.559, 2.62, 9.03
1.593, 4.51, 8.53
1.626, 6.84, 7.92
1.658, 8.11, 7.24
1.691, 9.21, 6.45
1.720, 9.64, 5.73
1.756, 9.55, 4.77
1.786, 9.15, 4.03
1.827, 8.68, 8.62
1.863, 8.29, 7.03
1.895, 7.95, 6.36
1.927, 7.65, 5.65
1.959, 7.27, 4.93
1.990, 6.76, 4.23
2.022, 6.11, 3.52
2.055, 5.33, 2.84
2.088, 4.23, 2.20
2.123, 2.33, 1.53
2.155, 1.39, 0.71
2.189, 1.18, 0.33
2.230, 1.03, 0.60
2.263, 0.92, 1.37
2.293, 0.86, 2.43
2.317, 0.61, 3.44
2.359, 0.38, 5.41
2.391, 0.58, 6.87
2.425, 1.41, 8.20
2.458, 2.89, 8.73
2.489, 4.92, 9.11
2.523, 6.92, 9.41
2.547, 7.95, 9.55
2.590, 9.04, 9.65
2.616, 9.64, 9.60
2.659, 9.73, 9.38
2.687, 9.52, 9.09
2.723, 9.22, 8.69
2.761, 8.96, 8.18
2.793, 8.75, 8.62
2.822, 8.53, 8.20
2.849, 8.23, 7.76
2.884, 7.80, 7.13
2.922, 7.22, 6.39
2.961, 6.53, 5.59
2.992, 5.60, 4.94
3.023, 4.06, 4.29
3.058, 1.53, 3.58
3.098, 1.30, 2.81
3.129, 1.16, 2.26
3.159, 1.06, 1.79
3.191, 0.99, 0.84
3.223, 0.80, 0.39
3.258, 0.48, 0.62
3.291, 0.39, 1.49
3.326, 0.95, 2.97
3.359, 2.37, 4.67
3.390, 4.63, 6.32
3.425, 6.19, 7.99
3.452, 7.08, 8.62
3.491, 8.02, 9.09
3.527, 9.02, 9.42
3.559, 9.63, 9.62
3.595, 9.75, 9.73
3.628, 9.56, 9.72
3.664, 9.27, 9.60
3.703, 8.99, 7.49
3.743, 8.77, 6.31
3.775, 8.56, 5.54
3.804, 8.32, 4.83
3.837, 7.98, 4.03
3.864, 7.53, 3.40
3.896, 6.95, 2.70
3.933, 6.10, 1.97
3.965, 4.69, 1.17
3.997, 2.21, 0.56
4.031, 1.38, 0.40
4.059, 1.16, 0.66
4.098, 0.98, 1.58
4.130, 0.91, 2.72
4.168, 0.80, 4.37
4.208, 0.72, 6.21
4.241, 0.62, 7.61
4.272, 0.46, 8.54
4.299, 0.33, 8.96
4.333, 0.65, 9.35
4.366, 1.56, 9.62
4.398, 3.17, 9.74
