経過時間_秒, Green, IBI, Smoothed_IBI, bpmSD, Smoothed_BPM
0.040, 7.94, 872.00, 908.34, 6.52, 66.05
0.072, 7.48, 872.00, 908.34, 6.52, 66.05
0.104, 6.89, 872.00, 908.34, 6.52, 66.05
0.139, 6.19, 872.00, 908.34, 6.52, 66.05
0.172, 5.11, 872.00, 908.34, 6.52, 66.05
0.206, 3.26, 872.00, 908.34, 6.52, 66.05
0.239, 1.69, 872.00, 908.34, 6.52, 66.05
0.271, 1.42, 872.00, 908.34, 6.52, 66.05
0.304, 1.18, 872.00, 908.34, 6.52, 66.05
0.336, 0.97, 872.00, 908.34, 6.52, 66.05
0.368, 0.80, 872.00, 908.34, 6.52, 66.05
0.400, 0.71, 872.00, 908.34, 6.52, 66.05
0.432, 0.56, 872.00, 908.34, 6.52, 66.05
0.464, 0.33, 872.00, 908.34, 6.52, 66.05
0.496, 0.49, 872.00, 908.34, 6.52, 66.05
0.529, 1.22, 872.00, 908.34, 6.52, 66.05
0.560, 2.62, 872.00, 908.34, 6.52, 66.05
0.598, 4.63, 872.00, 908.34, 6.52, 66.05
0.628, 6.65, 872.00, 908.34, 6.52, 66.05
0.659, 7.61, 872.00, 908.34, 6.52, 66.05
0.691, 8.68, 872.00, 908.34, 6.52, 66.05
0.723, 9.44, 872.00, 908.34, 6.52, 66.05
0.759, 9.63, 872.00, 908.34, 6.52, 66.05
0.792, 9.38, 956.00, 932.17, 6.32, 64.37
0.824, 8.94, 956.00, 932.17, 6.32, 64.37
0.860, 8.52, 956.00, 932.17, 6.32, 64.37
0.892, 8.13, 956.00, 932.17, 6.32, 64.37
0.925, 7.82, 956.00, 932.17, 6.32, 64.37
0.958, 7.48, 956.00, 932.17, 6.32, 64.37
0.992, 7.06, 956.00, 932.17, 6.32, 64.37
1.024, 6.54, 956.00, 932.17, 6.32, 64.37
1.053, 5.90, 956.00, 932.17, 6.32, 64.37
1.089, 5.09, 956.00, 932.17, 6.32, 64.37
1.126, 3.73, 956.00, 932.17, 6.32, 64.37
1.160, 1.44, 956.00, 932.17, 6.32, 64.37
1.194, 1.22, 956.00, 932.17, 6.32, 64.37
1.226, 1.09, 956.00, 932.17, 6.32, 64.37
1.258, 0.97, 956.00, 932.17, 6.32, 64.37
1.289, 0.85, 956.00, 932.17, 6.32, 64.37
1.321, 0.78, 956.00, 932.17, 6.32, 64.37
1.356, 0.72, 956.00, 932.17, 6.32, 64.37
1.381, 0.69, 956.00, 932.17, 6.32, 64.37
1.428, 0.49, 956.00, 932.17, 6.32, 64.37
1.460, 0.33, 956.00, 932.17, 6.32, 64.37
1.491, 0.54, 956.00, 932.17, 6.32, 64.37
1.524, 1.30, 956.00, 932.17, 6.32, 64.37
1.559, 2.62, 956.00, 932.17, 6.32, 64.37
1.593, 4.51, 956.00, 932.17, 6.32, 64.37
1.626, 6.84, 956.00, 932.17, 6.32, 64.37
1.658, 8.11, 956.00, 932.17, 6.32, 64.37
1.691, 9.21, 956.00, 932.17, 6.32, 64.37
1.720, 9.64, 956.00, 932.17, 6.32, 64.37
1.756, 9.55, 977.00, 954.59, 6.13, 62.85
1.786, 9.15, 977.00, 954.59, 6.13, 62.85
1.827, 8.68, 977.00, 954.59, 6.13, 62.85
1.863, 8.29, 977.00, 954.59, 6.13, 62.85
1.895, 7.95, 977.00, 954.59, 6.13, 62.85
1.927, 7.65, 977.00, 954.59, 6.13, 62.85
1.959, 7.27, 977.00, 954.59, 6.13, 62.85
1.990, 6.76, 977.00, 954.59, 6.13, 62.85
2.022, 6.11, 977.00, 954.59, 6.13, 62.85
2.055, 5.33, 977.00, 954.59, 6.13, 62.85
2.088, 4.23, 977.00, 954.59, 6.13, 62.85
2.123, 2.33, 977.00, 954.59, 6.13, 62.85
2.155, 1.39, 977.00, 954.59, 6.13, 62.85
2.189, 1.18, 977.00, 954.59, 6.13, 62.85
2.230, 1.03, 977.00, 954.59, 6.13, 62.85
2.263, 0.92, 977.00, 954.59, 6.13, 62.85
2.293, 0.86, 977.00, 954.59, 6.13, 62.85
2.317, 0.61, 977.00, 954.59, 6.13, 62.85
2.359, 0.38, 977.00, 954.59, 6.13, 62.85
2.391, 0.58, 977.00, 954.59, 6.13, 62.85
2.425, 1.41, 977.00, 954.59, 6.13, 62.85
2.458, 2.89, 977.00, 954.59, 6.13, 62.85
2.489, 4.92, 977.00, 954.59, 6.13, 62.85
2.523, 6.92, 977.00, 954.59, 6.13, 62.85
2.547, 7.95, 977.00, 954.59, 6.13, 62.85
2.590, 9.04, 977.00, 954.59, 6.13, 62.85
2.616, 9.64, 977.00, 954.59, 6.13, 62.85
2.659, 9.73, 977.00, 954.59, 6.13, 62.85
2.687, 9.52, 912.00, 933.29, 6.03, 64.29
2.723, 9.22, 912.00, 933.29, 6.03, 64.29
2.761, 8.96, 912.00, 933.29, 6.03, 64.29
2.793, 8.75, 912.00, 933.29, 6.03, 64.29
2.822, 8.53, 912.00, 933.29, 6.03, 64.29
2.849, 8.23, 912.00, 933.29, 6.03, 64.29
2.884, 7.80, 912.00, 933.29, 6.03, 64.29
