method,series,target,filters,n,mae,rmse,corr,signed_bias,pp_mae,pp_signed_bias
RTBP_INITIAL_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,2.850734564847695,3.29875652550277,-0.0836947711854237,-2.7094521704159846,4.254954893479265,-4.027786470507947
RTBP_INITIAL_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,1.406934472608432,1.6273781002449828,-0.09691547955669487,1.3183343000919614,4.254954893479265,-4.027786470507947
RTBP_INITIAL_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,2.8339425001084986,3.2886189738402876,-0.12640499880258851,-2.7084567256889915,4.2306663387578896,-4.026524622210494
RTBP_INITIAL_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,1.398646748586902,1.622412212822747,-0.14072775750284625,1.318067896521502,4.2306663387578896,-4.026524622210494
RTBP_INITIAL_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,2.8339425001084986,3.2886189738402876,-0.12640499880258851,-2.7084567256889915,4.2306663387578896,-4.026524622210494
RTBP_INITIAL_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,1.398646748586902,1.622412212822747,-0.14072775750284625,1.318067896521502,4.2306663387578896,-4.026524622210494
SinBP_D_INITIAL_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",87,2.5180550658365495,2.9960120053406194,-0.0792891744888594,-2.4487169652690848,3.7552466981878085,-3.6412468753306353
SinBP_D_INITIAL_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",87,1.2400749398061457,1.4733319095035875,-0.07543743384670167,1.192529910061551,3.7552466981878085,-3.6412468753306353
SinBP_D_INITIAL_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",87,2.520938646447858,2.9837386269727357,-0.1204967741688958,-2.451433293867215,3.7619590036587764,-3.6451048456312916
SinBP_D_INITIAL_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",87,1.243377284385972,1.4674679707439127,-0.1232238047092184,1.1936715517640755,3.7619590036587764,-3.6451048456312916
SinBP_D_INITIAL_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",87,2.520938646447858,2.9837386269727357,-0.1204967741688958,-2.451433293867215,3.7619590036587764,-3.6451048456312916
SinBP_D_INITIAL_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",87,1.243377284385972,1.4674679707439127,-0.1232238047092184,1.1936715517640755,3.7619590036587764,-3.6451048456312916
SinBP_M_INITIAL_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",72,3.657241830872791,4.066356519401052,-0.06333383518274521,-3.5685282370651112,5.460979436258997,-5.320697830852299
SinBP_M_INITIAL_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",72,1.8037376053862058,2.011800302288166,-0.0691835827723873,1.752169593787187,5.460979436258997,-5.320697830852299
SinBP_M_INITIAL_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",72,3.6518099178983983,4.0791395453021675,-0.1541432737880563,-3.5845386064070084,5.4508001264937365,-5.344444152058319
SinBP_M_INITIAL_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",72,1.800518447441165,2.0182956956114295,-0.16400860566853495,1.7599055456513104,5.4508001264937365,-5.344444152058319
SinBP_M_INITIAL_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",72,3.6518099178983983,4.0791395453021675,-0.1541432737880563,-3.5845386064070084,5.4508001264937365,-5.344444152058319
SinBP_M_INITIAL_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",72,1.800518447441165,2.0182956956114295,-0.16400860566853495,1.7599055456513104,5.4508001264937365,-5.344444152058319
RTBP_RICH_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,2.0575096921732476,2.5371057003061472,-0.08369477118542402,-1.7018348285749496,3.0834287121401887,-2.521772845996892
RTBP_RICH_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,1.0264750820653639,1.2580351770804468,-0.09691547955669401,0.8199380174219421,3.0834287121401887,-2.521772845996892
RTBP_RICH_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,2.043242011418231,2.524308128937654,-0.12640499880260367,-1.700839383847957,3.0619528483576324,-2.5205109976994398
RTBP_RICH_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,1.0194461189545863,1.2517108144574278,-0.14072775750282562,0.8196716138514827,3.0619528483576324,-2.5205109976994398
RTBP_RICH_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,2.043242011418231,2.524308128937654,-0.12640499880260367,-1.700839383847957,3.0619528483576324,-2.5205109976994398
RTBP_RICH_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,1.0194461189545863,1.2517108144574278,-0.14072775750282562,0.8196716138514827,3.0619528483576324,-2.5205109976994398
SinBP_D_RICH_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",87,1.39423809680465,1.733692528617694,-0.0792891744888621,0.16067552282885017,2.0911197186442574,0.25968979111244567
SinBP_D_RICH_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",87,0.6990623014386305,0.8708519704828204,-0.07543743384669978,-0.09901426828359547,2.0911197186442574,0.25968979111244567
SinBP_D_RICH_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",87,1.367960911347541,1.708251183769675,-0.12049677416889273,0.15795919423071733,2.0520255644948393,0.2558318208117882
SinBP_D_RICH_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",87,0.6850476235871613,0.8591795637131266,-0.12322380470922108,-0.09787262658107088,2.0520255644948393,0.2558318208117882
SinBP_D_RICH_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",87,1.367960911347541,1.708251183769675,-0.12049677416889273,0.15795919423071733,2.0520255644948393,0.2558318208117882
SinBP_D_RICH_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",87,0.6850476235871613,0.8591795637131266,-0.12322380470922108,-0.09787262658107088,2.0520255644948393,0.2558318208117882
