method,series,target,filters,n,mae,rmse,corr,signed_bias,pp_mae,pp_signed_bias
RTBP_INITIAL_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,2.1928006296041676,2.6635998353765555,0.004597937410847885,-1.9135366908125004,3.284716418218751,-2.8359922817395833
RTBP_INITIAL_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,1.094258803135417,1.3177708881462193,-0.011398596377590884,0.9224555909270831,3.284716418218751,-2.8359922817395833
RTBP_INITIAL_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,2.1928006296041676,2.6635998353765555,0.004597937410847885,-1.9135366908125004,3.284716418218751,-2.8359922817395833
RTBP_INITIAL_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,1.094258803135417,1.3177708881462193,-0.011398596377590884,0.9224555909270831,3.284716418218751,-2.8359922817395833
RTBP_INITIAL_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,2.1928006296041676,2.6635998353765555,0.004597937410847885,-1.9135366908125004,3.284716418218751,-2.8359922817395833
RTBP_INITIAL_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,1.094258803135417,1.3177708881462193,-0.011398596377590884,0.9224555909270831,3.284716418218751,-2.8359922817395833
RTBP_RICH_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,10.0547866908125,10.224099981538702,0.004489092570362242,-10.0547866908125,14.99984644840625,-14.99984644840625
RTBP_RICH_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,4.945059757593749,5.033754262892703,-0.009297611625086783,4.945059757593749,14.99984644840625,-14.99984644840625
RTBP_RICH_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,10.0547866908125,10.224099981538702,0.004489092570362242,-10.0547866908125,14.99984644840625,-14.99984644840625
RTBP_RICH_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,4.945059757593749,5.033754262892703,-0.009297611625086783,4.945059757593749,14.99984644840625,-14.99984644840625
RTBP_RICH_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,10.0547866908125,10.224099981538702,0.004489092570362242,-10.0547866908125,14.99984644840625,-14.99984644840625
RTBP_RICH_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,4.945059757593749,5.033754262892703,-0.009297611625086783,4.945059757593749,14.99984644840625,-14.99984644840625
RTBP_SHARED_D_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,12.6460366908125,12.780641175799996,0.0002785990071515016,-12.6460366908125,18.786825615072917,-18.786825615072917
RTBP_SHARED_D_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,6.1407889242604154,6.212201430000851,-0.013758320152339572,6.1407889242604154,18.786825615072917,-18.786825615072917
RTBP_SHARED_D_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,12.6460366908125,12.780641175799996,0.0002785990071515016,-12.6460366908125,18.786825615072917,-18.786825615072917
RTBP_SHARED_D_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,6.1407889242604154,6.212201430000851,-0.013758320152339572,6.1407889242604154,18.786825615072917,-18.786825615072917
RTBP_SHARED_D_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,12.6460366908125,12.780641175799996,0.0002785990071515016,-12.6460366908125,18.786825615072917,-18.786825615072917
RTBP_SHARED_D_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,6.1407889242604154,6.212201430000851,-0.013758320152339572,6.1407889242604154,18.786825615072917,-18.786825615072917
RTBP_RICH_DYNAMIC,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,9.901974190812501,10.112215429772604,-0.03407007774336473,-9.901974190812501,14.772867281739584,-14.772867281739584
RTBP_RICH_DYNAMIC,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,4.8708930909270824,4.980904549355639,-0.0500076726854955,4.8708930909270824,14.772867281739584,-14.772867281739584
RTBP_RICH_DYNAMIC,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,9.901974190812501,10.112215429772604,-0.03407007774336473,-9.901974190812501,14.772867281739584,-14.772867281739584
RTBP_RICH_DYNAMIC,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,4.8708930909270824,4.980904549355639,-0.0500076726854955,4.8708930909270824,14.772867281739584,-14.772867281739584
RTBP_RICH_DYNAMIC,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,9.901974190812501,10.112215429772604,-0.03407007774336473,-9.901974190812501,14.772867281739584,-14.772867281739584
RTBP_RICH_DYNAMIC,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",96,4.8708930909270824,4.980904549355639,-0.0500076726854955,4.8708930909270824,14.772867281739584,-14.772867281739584
SinBP_D_INITIAL_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",87,4.122898517839081,4.49584786114164,-0.013562899010256972,-4.122898517839081,6.139467197045975,-6.139467197045975
SinBP_D_INITIAL_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",87,2.0168406611609178,2.207210202313679,-0.0031090331532403308,2.016568679206895,6.139467197045975,-6.139467197045975
SinBP_D_INITIAL_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",87,4.122898517839081,4.49584786114164,-0.013562899010256972,-4.122898517839081,6.139467197045975,-6.139467197045975
