method,prefix,term,term_kind,n,pp_term_mean,pp_term_median,pp_term_std,corr_to_ref_pp,centered_corr_to_ref_pp,centered_corr_to_pred_pp,gain_to_ref_pp,amplitude_ratio_to_ref_pp,direction_agreement_to_ref_pp,inverse_strength
SinBP_D_EOnly,SinBP_D_EOnly,A,dynamic,81,-0.8247725367148673,-0.8355195534866411,0.06908627766101369,0.15276695136254884,0.15276695136254886,-0.09329427740155379,0.004445300456758464,0.02785006679359608,0.3333333333333333,0.0
SinBP_D_EOnly,SinBP_D_EOnly,E,dynamic,81,-4.65003885460774,-4.791190245408833,0.8003510192733179,-0.10416101103181663,-0.10416101103181663,-0.31673122669614845,-0.0309104672065701,0.32263757868754056,0.47297297297297297,0.009972878295628403
SinBP_D_EOnly,SinBP_D_EOnly,HR,dynamic,81,-0.4382313520372331,-0.4486334618221174,0.05735357006887759,0.04044700242555353,0.040447002425553526,-0.5607600017562027,0.0011265434473242358,0.023120376597895804,0.52,0.0
SinBP_D_EOnly,SinBP_D_EOnly,P2V_relTTP,dynamic,81,14.731218840266028,13.709912672428295,4.148238705324507,-0.0813429382061724,-0.08134293820617237,-0.06694074159171282,-0.11674764793626795,1.6722383797537026,0.48,0.19522989762500043
SinBP_D_EOnly,SinBP_D_EOnly,V2P_relTTP,dynamic,81,-18.732046231378995,-19.392742801134602,3.3555996067961114,-0.12805949080745913,-0.12805949080745915,-0.15576520828361856,-0.1605750080945928,1.3527096312872202,0.44,0.21721135999357902
SinBP_D_EOnly,SinBP_D_EOnly,intercept,baseline,81,42.268829598445166,42.268829598445166,4.263256414560601e-14,,,,0.0,0.0,,0.0
SinBP_D_E2,SinBP_D_E2,A,dynamic,81,-0.42710092667112504,-0.4326661711692715,0.035775698020699756,0.1527669513625488,0.1527669513625488,-0.1085440017165241,0.0023019582489680773,0.014421902774279407,0.3333333333333333,0.0
SinBP_D_E2,SinBP_D_E2,E,dynamic,81,-30.60622134643428,-31.53526965017792,5.267852853842404,-0.10416101103181666,-0.10416101103181666,-0.16710157160590705,-0.20345047231348093,2.123577341338467,0.47297297297297297,0.4320428130895172
SinBP_D_E2,SinBP_D_E2,E2,dynamic,81,15.939251412830469,16.434739049329295,4.429373791462945,0.10690022126414585,0.10690022126414582,0.1972682321957997,0.18125928100644986,1.785569582303022,0.527027027027027,0.0
SinBP_D_E2,SinBP_D_E2,HR,dynamic,81,1.5645517599752001,1.6016888545617447,0.20476086107253114,-0.04044700242555351,-0.04044700242555354,0.5861182564987812,-0.004021929341673196,0.08254321770765036,0.48,0.00033198298925451753
SinBP_D_E2,SinBP_D_E2,P2V_relTTP,dynamic,81,13.996262718054053,13.02591059745737,3.9412786794139936,-0.08134293820617236,-0.08134293820617236,-0.04192995123127857,-0.1109229840347262,1.5888086345082904,0.48,0.17623539479979822
SinBP_D_E2,SinBP_D_E2,V2P_relTTP,dynamic,81,-19.09266698201752,-19.766082978683915,3.420200069238812,-0.12805949080745915,-0.12805949080745915,-0.16640370702501509,-0.1636663244002218,1.378751375825176,0.44,0.22565516994305537
SinBP_D_E2,SinBP_D_E2,intercept,baseline,81,50.88573191401804,50.88573191401804,7.815970093361102e-14,,,,0.0,0.0,,0.0
SinBP_D_LocalA,SinBP_D_LocalA,A_local,dynamic,82,-21.29717083473549,-21.688228656527116,2.133767257251252,-0.08128223683196453,-0.08128223683196453,-0.07085191187009315,-0.06455558083509619,0.8493876175419561,0.7142857142857143,0.05483271100455951
SinBP_D_LocalA,SinBP_D_LocalA,E,dynamic,82,-13.960743786825336,-14.617140403797546,2.904282591034114,-0.1465491826876498,-0.14654918268764977,-0.32846009776438617,-0.16185567983413424,1.156106253989899,0.47368421052631576,0.18712236370002935
SinBP_D_LocalA,SinBP_D_LocalA,HR,dynamic,82,2.96580354855798,3.0386992816086846,0.3857464892334802,0.08789962777265947,0.08789962777265946,0.7293134473468857,0.012660874010587854,0.15355390347833936,0.4868421052631579,0.0
SinBP_D_LocalA,SinBP_D_LocalA,P2V_relTTP,dynamic,82,15.385809201933847,14.357888160461446,4.354341846363919,-0.019956088130700562,-0.019956088130700576,0.006963938672568636,-0.022921558028858226,1.7333305843350417,0.4605263157894737,0.039730637572030394
SinBP_D_LocalA,SinBP_D_LocalA,Stiffness,dynamic,82,14.08113222434241,14.776580383469774,3.054983613658324,0.1458988111954124,0.14589881119541237,0.3219918093827745,0.16940744634351532,1.2160957313487422,0.5263157894736842,0.0
SinBP_D_LocalA,SinBP_D_LocalA,V2P_relTTP,dynamic,82,-16.89100412266758,-17.421774608633108,3.055141966584173,-0.21406341947601434,-0.21406341947601434,-0.3202709991942744,-0.2541134018601806,1.2161587668152205,0.4473684210526316,0.3090422414374978
SinBP_D_LocalA,SinBP_D_LocalA,intercept,baseline,82,51.913281295776656,51.91328129577667,8.526512829121202e-14,-3.4493338497452487e-16,,,0.0,0.0,,0.0
