method,series,target,filters,n,mae,rmse,corr,signed_bias,centered_mae,centered_rmse,centered_corr,tracking_gain,amplitude_ratio,direction_agreement,inversion_like,pp_mae,pp_signed_bias
RTBP,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,6.716002521875001,7.450021729355021,-0.22319698128443285,-6.7044831701607155,2.3053071153392852,3.2806952526299833,-0.22319698128443285,-0.30313699155086565,1.321483365931294,0.45454545454545453,0,4.389032432589283,4.134439847803569
RTBP,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,10.838923017964285,11.363615316962358,0.09655967859496108,-10.838923017964285,2.6985186085714266,3.4136840114505684,0.09655967859496102,0.3837910779335406,3.7759448185111686,0.43636363636363634,0,4.389032432589283,4.134439847803569
RTBP,raw,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,9.460776402029763,9.927745876338351,-0.09247191548986251,-9.460776402029763,2.2938795341488087,3.0164155820521,-0.09247191548986258,-6.033999812307423,62.521346521372934,0.45454545454545453,0,4.389032432589283,4.134439847803569
RTBP,raw,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,4.389032432589283,5.208538473920337,-0.12324054463687152,4.134439847803569,2.5469517175892835,3.215902405943345,-0.12324054463687154,-0.06448784809938386,0.5254057410851417,0.4339622641509434,1,4.389032432589283,4.134439847803569
RTBP,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,6.417885884129065,6.757150383570107,-0.29101685276421835,-6.417885884129065,1.6691810196508998,2.12146635082088,-0.29101685276421835,-0.10852981585034015,0.4145428787185465,0.5454545454545454,0,4.249138850544911,4.0303396588769544
RTBP,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,10.44822554300602,10.576180314721416,0.05730829686710333,-10.44822554300602,1.3557028740084502,1.6544927453193485,0.05730829686710336,0.07538663530661296,1.592985664179999,0.4909090909090909,0,4.249138850544911,4.0303396588769544
RTBP,smoothed,MAP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,9.104778990047034,9.176158875199915,-0.03525609992459308,-9.104778990047034,0.9374249015747514,1.1432721934285823,-0.03525609992459304,-0.890433579003358,23.717367557002554,0.4909090909090909,0,4.249138850544911,4.0303396588769544
RTBP,smoothed,PP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,4.249138850544911,5.014666434039168,-0.12418574902495887,4.0303396588769544,2.3432835477792424,3.0372232401162225,-0.12418574902495887,-0.04947214835981033,0.388084841409348,0.4716981132075472,1,4.249138850544911,4.0303396588769544
RTBP,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,6.417885884129065,6.757150383570107,-0.29101685276421835,-6.417885884129065,1.6691810196508998,2.12146635082088,-0.29101685276421835,-0.10852981585034015,0.4145428787185465,0.5454545454545454,0,4.249138850544911,4.0303396588769544
RTBP,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,10.44822554300602,10.576180314721416,0.05730829686710333,-10.44822554300602,1.3557028740084502,1.6544927453193485,0.05730829686710336,0.07538663530661296,1.592985664179999,0.4909090909090909,0,4.249138850544911,4.0303396588769544
