method,series,target,filters,n,mae,rmse,corr,signed_bias,pp_mae,pp_signed_bias
RTBP_INITIAL_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,3.6051036231391813,3.914466326418894,0.07733946896940923,-3.489563448459221,5.404028891036536,-5.22950090132103
RTBP_INITIAL_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,1.7989252678973544,1.9561425038450815,0.06728815204422182,1.7399374528618086,5.404028891036536,-5.22950090132103
RTBP_INITIAL_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,3.605732976700455,3.908792451022393,0.14445493126000947,-3.4870701666557418,5.404844871821039,-5.225652296525005
RTBP_INITIAL_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,1.7991118951205838,1.9528815578956724,0.14034649248534878,1.7385821298692625,5.404844871821039,-5.225652296525005
RTBP_INITIAL_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,3.605732976700455,3.908792451022393,0.14445493126000947,-3.4870701666557418,5.404844871821039,-5.225652296525005
RTBP_INITIAL_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,1.7991118951205838,1.9528815578956724,0.14034649248534878,1.7385821298692625,5.404844871821039,-5.225652296525005
SinBP_D_INITIAL_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",52,2.6810473585782053,3.037256955423669,0.01938454028660997,-2.4324858697938705,4.0177385467536695,-3.6489648304224853
SinBP_D_INITIAL_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",52,1.3366911881754648,1.521996659458026,0.020090773489305918,1.2164789606286144,4.0177385467536695,-3.6489648304224853
SinBP_D_INITIAL_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",52,2.683505634407566,3.02903464485435,0.02916457592659502,-2.4269924504515954,4.021568246226623,-3.640731466330491
SinBP_D_INITIAL_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",52,1.338062611819058,1.517692041672914,0.03220572240415499,1.2137390158788957,4.021568246226623,-3.640731466330491
SinBP_D_INITIAL_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",52,2.683505634407566,3.02903464485435,0.02916457592659502,-2.4269924504515954,4.021568246226623,-3.640731466330491
SinBP_D_INITIAL_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",52,1.338062611819058,1.517692041672914,0.03220572240415499,1.2137390158788957,4.021568246226623,-3.640731466330491
SinBP_M_INITIAL_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",42,2.7854107329063873,3.145238881109751,-0.06990409810957839,-2.586843716119005,4.170393821973733,-3.8740933335731365
SinBP_M_INITIAL_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",42,1.3849830890673456,1.5740998991572022,-0.07217039618203684,1.287249617454131,4.170393821973733,-3.8740933335731365
SinBP_M_INITIAL_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",42,2.7814521735897806,3.1385584574735597,-0.16212347823600842,-2.57938638216756,4.164393959460889,-3.8627929044089653
SinBP_M_INITIAL_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",42,1.382941785871108,1.5707867002789786,-0.16658628513138743,1.2834065222414044,4.164393959460889,-3.8627929044089653
SinBP_M_INITIAL_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",42,2.7814521735897806,3.1385584574735597,-0.16212347823600842,-2.57938638216756,4.164393959460889,-3.8627929044089653
SinBP_M_INITIAL_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",42,1.382941785871108,1.5707867002789786,-0.16658628513138743,1.2834065222414044,4.164393959460889,-3.8627929044089653
RTBP_RICH_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,1.409627617088276,1.7757909941896508,0.07733946896939746,-0.08625598646028264,2.116413829353155,-0.1430373718787456
RTBP_RICH_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,0.7101002717086775,0.8957317015759252,0.06728815204424414,0.056781385418462955,2.116413829353155,-0.1430373718787456
RTBP_RICH_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,1.396773467961167,1.7680543737907408,0.14445493126000736,-0.0837627046568054,2.09706469426357,-0.13918876708271938
RTBP_RICH_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,0.7019217694033717,0.8911512807959878,0.14034649248534187,0.05542606242591397,2.09706469426357,-0.13918876708271938
RTBP_RICH_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",56,1.396773467961167,1.7680543737907408,0.14445493126000736,-0.0837627046568054,2.09706469426357,-0.13918876708271938
