method,prefix,term,term_kind,n,pp_term_mean,pp_term_median,pp_term_std,corr_to_ref_pp,centered_corr_to_ref_pp,centered_corr_to_pred_pp,gain_to_ref_pp,amplitude_ratio_to_ref_pp,direction_agreement_to_ref_pp,inverse_strength
RTBP,M1,A,dynamic,56,-1.5324313263548335,-1.5641119166900364,0.13105997235085637,0.2699123996650764,0.26991239966507646,0.21701134623223248,0.010511522540492283,0.04904887530161945,0.5510204081632653,0.0
RTBP,M1,HR,dynamic,56,-37.16686940320307,-37.148888490107815,1.0209655615932192,-0.19800937390728832,-0.19800937390728832,0.7783088298174025,-0.07158965528877949,0.3820938736639865,0.49056603773584906,0.027353968703559252
RTBP,M1,P2V_relTTP,dynamic,56,6.413903542823571,6.319049842389049,0.6339260781938959,0.013446582321077384,0.013446582321077372,0.09311905655895679,-0.0036276525762491004,0.23724529009160814,0.4117647058823529,0.0008606434878037874
RTBP,M1,V2P_relTTP,dynamic,56,2.6188436279364247,2.6055947933765085,0.16885458271938197,-0.16171138345452987,-0.16171138345452984,-0.030397411728654056,-0.010776911276793422,0.06319341613882035,0.41509433962264153,0.0006810298390055524
RTBP,M1,intercept,baseline,56,58.90644339888558,58.90644339888557,7.105427357601002e-15,1.614507531224438e-15,,,0.0,0.0,,0.0
SinBP_D,M2,A,dynamic,52,-0.8724677689550612,-0.8724677689550612,4.440892098500626e-16,,,,0.0,0.0,,0.0
SinBP_D,M2,E,dynamic,52,-8.389411825729665,-8.50306026812508,0.5212200863919043,-0.01158026852273021,-0.01158026852273023,-0.40473015823318903,-0.004514116575018547,0.19158888354165474,0.46938775510204084,0.0008648545547846817
SinBP_D,M2,HR,dynamic,52,-37.43538467598359,-37.356764463729064,0.9720362274328975,-0.19349144092595758,-0.19349144092595763,0.8458343801360988,-0.06733101083307654,0.3572988463761619,0.5102040816326531,0.024057292495999104
SinBP_D,M2,P2V_relTTP,dynamic,52,6.454716815479136,6.301356400218153,0.5616199085629086,-0.19740770183988154,-0.19740770183988157,0.061986145436089116,-0.043735176168101866,0.20643895748758528,0.40816326530612246,0.009028644173678834
SinBP_D,M2,Stiffness,dynamic,52,8.07230544750587,8.181616088164368,0.5015063021262065,0.011579527401745067,0.011579527401745058,0.4047358715904573,0.00434244866602045,0.1843425359498119,0.5306122448979592,0.0
SinBP_D,M2,V2P_relTTP,dynamic,52,2.5897092297621005,2.597120029621563,0.16435341998729563,0.01736833910214737,0.017368339102147384,0.47807266983839775,0.0011961946225032291,0.06041265304948871,0.5102040816326531,0.0
SinBP_D,M2,intercept,baseline,52,58.5898851785918,58.5898851785918,4.973799150320701e-14,,,,0.0,0.0,,0.0
SinBP_D_EOnly,SinBP_D_EOnly,A,dynamic,48,2.3821507628029983,2.3821507628029983,1.7763568394002505e-15,,,,0.0,0.0,,0.0
SinBP_D_EOnly,SinBP_D_EOnly,E,dynamic,48,3.705551263639967,3.7558683688449617,0.232124804678226,0.00239792416934953,0.00239792416934951,0.25231332489746394,0.0011708173870958885,0.0827183132472686,0.5652173913043478,0.0
SinBP_D_EOnly,SinBP_D_EOnly,HR,dynamic,48,-27.188636873666677,-27.117214917106253,0.7072135652601348,-0.24783087408314014,-0.24783087408314008,0.4787689688316512,-0.06089205255873512,0.25201750112401017,0.5217391304347826,0.015345862924164315
