method,series,target,filters,n,mae,rmse,corr,signed_bias,pp_mae,pp_signed_bias
RTBP_INITIAL_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",71,1.250914763656907,1.6505288632744743,0.17218939616176016,-0.050927705413899085,1.8751520555883143,-0.07267552455388482
RTBP_INITIAL_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",71,0.6257802833571751,0.8285367260990554,0.18598159524598495,0.02174781913998573,1.8751520555883143,-0.07267552455388482
RTBP_INITIAL_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",71,1.2219938818433753,1.6266537460328556,0.28875254761825603,-0.05177429208049969,1.8321420472679906,-0.07388499840179603
RTBP_INITIAL_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",71,0.6140836313102948,0.818548871634024,0.29733281055685706,0.02211070632129634,1.8321420472679906,-0.07388499840179603
RTBP_INITIAL_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",71,1.2219938818433753,1.6266537460328556,0.28875254761825603,-0.05177429208049969,1.8321420472679906,-0.07388499840179603
RTBP_INITIAL_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",71,0.6140836313102948,0.818548871634024,0.29733281055685706,0.02211070632129634,1.8321420472679906,-0.07388499840179603
SinBP_D_INITIAL_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",58,1.273066419888364,1.6944587332950727,-0.05366796194863255,-0.8169288868686446,1.9115754251356827,-1.233405158045251
SinBP_D_INITIAL_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",58,0.6405083248779306,0.8504245226797137,-0.07966351442610797,0.4164762711766064,1.9115754251356827,-1.233405158045251
SinBP_D_INITIAL_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",58,1.247960555438485,1.6628875030877568,-0.02804829223132337,-0.8195591471238022,1.87586344468598,-1.2373185396485986
SinBP_D_INITIAL_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",58,0.6308223866887307,0.8335238356235098,-0.051915493019820506,0.4177593925247965,1.87586344468598,-1.2373185396485986
