method,series,target,filters,n,mae,rmse,corr,signed_bias,pp_mae,pp_signed_bias
RTBP_INITIAL_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",71,7.925520316140845,8.109761761572376,-0.15819108486888003,-7.925520316140845,11.83865171476056,-11.83865171476056
RTBP_INITIAL_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",71,3.9131313986197185,4.008180064372653,-0.17330520868549598,3.9131313986197185,11.83865171476056,-11.83865171476056
RTBP_INITIAL_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",71,7.925520316140845,8.109761761572376,-0.15819108486888003,-7.925520316140845,11.83865171476056,-11.83865171476056
RTBP_INITIAL_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",71,3.9131313986197185,4.008180064372653,-0.17330520868549598,3.9131313986197185,11.83865171476056,-11.83865171476056
RTBP_INITIAL_BASELINE,calibrated,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",71,7.925520316140845,8.109761761572376,-0.15819108486888003,-7.925520316140845,11.83865171476056,-11.83865171476056
RTBP_INITIAL_BASELINE,calibrated,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",71,3.9131313986197185,4.008180064372653,-0.17330520868549598,3.9131313986197185,11.83865171476056,-11.83865171476056
RTBP_RICH_BASELINE,raw,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",71,11.853689330225352,11.977702404653527,-0.15863699718221003,-11.853689330225352,17.690623545746476,-17.690623545746476
RTBP_RICH_BASELINE,raw,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",71,5.836934215521127,5.90110531946337,-0.17380635664283425,5.836934215521127,17.690623545746476,-17.690623545746476
RTBP_RICH_BASELINE,smoothed,SBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",71,11.853689330225352,11.977702404653527,-0.15863699718221003,-11.853689330225352,17.690623545746476,-17.690623545746476
RTBP_RICH_BASELINE,smoothed,DBP,"abs_time_delta_ms<=350.0, output_valid, reject_reason=ok, artifact_flag=0, ref_pp_inlier",71,5.836934215521127,5.90110531946337,-0.17380635664283425,5.836934215521127,17.690623545746476,-17.690623545746476
