method,prefix,term,term_kind,n,pp_term_mean,pp_term_median,pp_term_std,corr_to_ref_pp,centered_corr_to_ref_pp,centered_corr_to_pred_pp,gain_to_ref_pp,amplitude_ratio_to_ref_pp,direction_agreement_to_ref_pp,inverse_strength
RTBP,M1,A,dynamic,71,-11.520212536767605,-12.0236307733,1.685282797325417,0.13071454979553343,0.1307145497955334,0.300959404073797,0.11898949233298291,0.6700278887566423,0.3709677419354839,0.0
RTBP,M1,HR,dynamic,71,16.93867033851268,16.947074864,0.8032850330943188,-0.2127753025355039,-0.21277530253550384,0.3800864056327539,-0.06649840516675204,0.3193668004255244,0.5,0.02123738289150576
RTBP,M1,P2V_relTTP,dynamic,71,-7.565093924935212,-6.9275123682,2.29403444784539,-0.21663180518720068,-0.21663180518720068,0.7121042253913529,-0.23477733354560779,0.912052897154245,0.5,0.21412934724642008
RTBP,M1,V2P_relTTP,dynamic,71,-0.5330315135774648,-0.5410813679,0.09727074111988368,-0.018385471998390666,-0.01838547199839059,-0.4372292456071644,-0.00014594596157859637,0.03867250612999931,0.46875,5.644096093796912e-06
RTBP,M1,intercept,baseline,71,32.97177442879999,32.97177442879999,2.1316282072803006e-14,,,,0.0,0.0,,0.0
SinBP_D,M2,A,dynamic,58,-6.4975544339534475,-6.5801204362,0.49807897067644163,-0.03084167879224971,-0.03084167879224973,-0.14430034240172968,-0.0047310479706194645,0.23299001388764934,0.5,0.0011022869323777643
SinBP_D,M2,E,dynamic,58,-15.305504472249998,-15.7344176872,1.865416594369482,0.26055152580335394,0.26055152580335394,0.5275509570600564,0.23906034707959564,0.8725994547373377,0.6153846153846154,0.0
SinBP_D,M2,HR,dynamic,58,16.976060587520692,17.0636829743,0.7842003764827019,-0.1357738740176262,-0.13577387401762625,0.33635335239565395,-0.05218361339022305,0.3668310998138807,0.4807692307692308,0.019142572292197874
SinBP_D,M2,P2V_relTTP,dynamic,58,-7.528564238575862,-6.930885061650001,1.9651632150470826,0.08996735677130553,0.08996735677130557,0.7520925264718838,0.06481219363908243,0.9192586551957675,0.5769230769230769,0.0
SinBP_D,M2,Stiffness,dynamic,58,3.819508679763793,3.9206175747,0.4953425511071369,-0.2340178224458589,-0.23401782244585886,-0.44031706111142593,-0.056980607728602015,0.2317099790518305,0.4230769230769231,0.013202975423154944
SinBP_D,M2,V2P_relTTP,dynamic,58,-0.5261811019758621,-0.5464544378,0.08989978975595751,-0.13706446340745937,-0.1370644634074594,-0.25786243418982463,-0.005145392703971552,0.04205307691527483,0.36538461538461536,0.00021637959513940962
SinBP_D,M2,intercept,baseline,58,38.216135910199995,38.216135910199995,2.1316282072803006e-14,,,,0.0,0.0,,0.0
SinBP_D_EOnly,SinBP_D_EOnly,A,dynamic,39,-6.381062942753844,-6.5801204362,0.8171183926428284,0.05753562771446467,0.057535627714464674,0.3558843685294928,0.022025703078112833,0.3655149416902144,0.6666666666666666,0.0
SinBP_D_EOnly,SinBP_D_EOnly,E,dynamic,39,7.7936821617589755,8.029501654099999,0.9362470366838661,-0.2925066227694225,-0.29250662276942246,0.25645311763964745,-0.12367005051987542,0.41880379159538067,0.4722222222222222,0.05179348606451611
SinBP_D_EOnly,SinBP_D_EOnly,HR,dynamic,39,16.82483889295385,17.0636829743,0.9308824498959306,-0.20634056503902362,-0.20634056503902365,0.4226388223889262,-0.08710798942404648,0.41640409450786026,0.4444444444444444,0.03627212346052034
SinBP_D_EOnly,SinBP_D_EOnly,P2V_relTTP,dynamic,39,-7.445901337517949,-6.934257755100001,2.0549264145931496,-0.015870125190489488,-0.015870125190489477,0.8168090935350392,-0.01715194278043435,0.9192135624047981,0.5263157894736842,0.015766298425366317
SinBP_D_EOnly,SinBP_D_EOnly,V2P_relTTP,dynamic,39,-0.5365271885076922,-0.5491165959,0.08717539179511857,-0.024302437856552322,-0.024302437856552315,-0.3689803356798817,-0.0008844334723501053,0.038995460799451674,0.5,3.448889080075146e-05
SinBP_D_EOnly,SinBP_D_EOnly,intercept,baseline,39,23.45876207770001,23.4587620777,1.4210854715202004e-14,-5.949337485045174e-15,,,0.0,0.0,,0.0
SinBP_D_E2,SinBP_D_E2,A,dynamic,39,-6.381062942753844,-6.5801204362,0.8171183926428284,0.05753562771446467,0.057535627714464674,0.33985515313729947,0.022025703078112833,0.3655149416902144,0.6666666666666666,0.0
SinBP_D_E2,SinBP_D_E2,E,dynamic,39,-8.40358210577436,-8.6578558141,1.0095136907970956,0.29250662276230965,0.29250662276230965,-0.3740888260634831,0.13334793515590748,0.45157756960252926,0.5277777777777778,0.0
SinBP_D_E2,SinBP_D_E2,E2,dynamic,39,9.935248707928203,10.395563753199998,2.290277067371093,-0.2888612427640945,-0.28886124276409464,0.3730072454162783,-0.29820690896495505,1.0244910606246749,0.4722222222222222,0.30551031245111265
SinBP_D_E2,SinBP_D_E2,HR,dynamic,39,16.82483889295385,17.0636829743,0.9308824498959306,-0.20634056503902362,-0.20634056503902365,0.41306326219370054,-0.08710798942404648,0.41640409450786026,0.4444444444444444,0.03627212346052034
SinBP_D_E2,SinBP_D_E2,P2V_relTTP,dynamic,39,-7.445901337517949,-6.934257755100001,2.0549264145931496,-0.015870125190489488,-0.015870125190489477,0.7603170000551768,-0.01715194278043435,0.9192135624047981,0.5263157894736842,0.015766298425366317
SinBP_D_E2,SinBP_D_E2,V2P_relTTP,dynamic,39,-0.5365271885076922,-0.5491165959,0.08717539179511857,-0.024302437856552322,-0.024302437856552315,-0.3186560909573764,-0.0008844334723501053,0.038995460799451674,0.5,3.448889080075146e-05
SinBP_D_E2,SinBP_D_E2,intercept,baseline,39,29.643449596700002,29.643449596699995,3.552713678800501e-15,-5.949337485045174e-15,,,0.0,0.0,,0.0
SinBP_D_LocalA,SinBP_D_LocalA,A_local,dynamic,38,-6.580120436199998,-6.5801204362,2.6645352591003757e-15,-2.9743415926220895e-15,,,0.0,0.0,,0.0
SinBP_D_LocalA,SinBP_D_LocalA,E,dynamic,38,9.373327248860527,9.6991636692,1.140799606531607,-0.29157168355391994,-0.29157168355391994,0.32366629010201076,-0.1493838796979778,0.5040702879324562,0.42857142857142855,0.07529997525182708
SinBP_D_LocalA,SinBP_D_LocalA,HR,dynamic,38,16.92518453469474,17.07020655075,0.7047305946909973,-0.3094895992046857,-0.3094895992046858,0.4236957075108262,-0.09743620740961748,0.311390144024265,0.42857142857142855,0.030340674658458945
SinBP_D_LocalA,SinBP_D_LocalA,P2V_relTTP,dynamic,38,-7.425440289865789,-6.930885061650001,2.077864125289388,-0.018205663559531335,-0.01820566355953137,0.8437234823393506,-0.020434742585860026,0.9181188018669989,0.5405405405405406,0.018761521379390345
SinBP_D_LocalA,SinBP_D_LocalA,Stiffness,dynamic,38,-0.8073911785026314,-0.8354577811499997,0.0982651639365066,0.29157168360143815,0.29157168360143804,-0.3236662900840422,0.012867493419762798,0.04341915021324346,0.5714285714285714,0.0
SinBP_D_LocalA,SinBP_D_LocalA,V2P_relTTP,dynamic,38,-0.5405078546605263,-0.5523710584999999,0.08474405375422372,-0.014398934431572126,-0.014398934431572159,-0.30651234217607204,-0.0004496626528342691,0.037444753076597045,0.5135135135135135,1.6837507003146787e-05
SinBP_D_LocalA,SinBP_D_LocalA,intercept,baseline,38,22.601383809000016,22.601383809000012,1.0658141036401503e-14,-2.9743415926220895e-15,,,0.0,0.0,,0.0
SinBP_M,M3,A,dynamic,74,-18.220486563066213,-18.47382015435,1.5055309692387155,0.09831986910646943,0.09831986910646948,0.423282644547473,0.050831965169668994,0.605990343974713,0.6290322580645161,0.0
SinBP_M,M3,HR,dynamic,74,11.228425360036486,11.1544299639,0.7363738949114554,-0.12280405770459808,-0.1228040577045982,0.09217633359761901,-0.03859129182949971,0.29639740330086656,0.4375,0.011438358688289662
SinBP_M,M3,Mean,dynamic,74,0.4987873023094595,0.50199622815,0.055798146684115084,-0.10716155388981288,-0.107161553889813,-0.29007587222696796,-0.0022848049502214186,0.02245927768550407,0.546875,5.1315068834237144e-05
SinBP_M,M3,cosPhi,dynamic,74,0.07206183722027026,0.1373716499,0.23996727113579674,0.2976932175689694,0.29769321756896927,0.14853782508945546,0.030711798208460084,0.09658907863701169,0.46875,0.0
SinBP_M,M3,intercept,baseline,74,66.86931016289998,66.86931016289999,0.0,,,,0.0,0.0,,0.0
SinBP_M,M3,sinPhi,dynamic,74,-29.903665722016218,-30.94669612745,5.185671060512146,0.17968701895290648,0.1796870189529064,0.9616572045399154,0.3381607649384913,2.0872812674776697,0.484375,0.0
