経過時間_秒, Green, IBI, Smoothed_IBI, bpmSD, Smoothed_BPM
0.008, 8.48, 902.00, 921.45, 18.78, 65.11
0.045, 7.71, 902.00, 921.45, 18.78, 65.11
0.079, 6.72, 902.00, 921.45, 18.78, 65.11
0.113, 5.37, 902.00, 921.45, 18.78, 65.11
0.145, 3.63, 902.00, 921.45, 18.78, 65.11
0.176, 1.27, 902.00, 921.45, 18.78, 65.11
0.208, 1.18, 902.00, 921.45, 18.78, 65.11
0.238, 1.07, 902.00, 921.45, 18.78, 65.11
0.263, 1.03, 902.00, 921.45, 18.78, 65.11
0.305, 0.58, 902.00, 921.45, 18.78, 65.11
0.342, 0.62, 902.00, 921.45, 18.78, 65.11
0.369, 1.36, 902.00, 921.45, 18.78, 65.11
0.407, 2.92, 902.00, 921.45, 18.78, 65.11
0.439, 5.09, 902.00, 921.45, 18.78, 65.11
0.468, 6.46, 902.00, 921.45, 18.78, 65.11
0.512, 7.28, 902.00, 921.45, 18.78, 65.11
0.544, 8.04, 902.00, 921.45, 18.78, 65.11
0.572, 8.78, 902.00, 921.45, 18.78, 65.11
0.609, 9.20, 902.00, 921.45, 18.78, 65.11
0.641, 9.39, 902.00, 921.45, 18.78, 65.11
0.671, 9.60, 902.00, 921.45, 18.78, 65.11
0.709, 9.67, 902.00, 921.45, 18.78, 65.11
0.744, 9.83, 902.00, 921.45, 18.78, 65.11
0.776, 9.86, 902.00, 921.45, 18.78, 65.11
0.806, 9.75, 1079.00, 1000.22, 19.02, 59.99
0.830, 9.46, 1079.00, 1000.22, 19.02, 59.99
0.878, 9.10, 1079.00, 1000.22, 19.02, 59.99
0.912, 8.65, 1079.00, 1000.22, 19.02, 59.99
0.944, 8.19, 1079.00, 1000.22, 19.02, 59.99
0.977, 7.60, 1079.00, 1000.22, 19.02, 59.99
1.011, 6.75, 1079.00, 1000.22, 19.02, 59.99
1.043, 5.55, 1079.00, 1000.22, 19.02, 59.99
1.077, 3.63, 1079.00, 1000.22, 19.02, 59.99
1.112, 1.32, 1079.00, 1000.22, 19.02, 59.99
1.144, 1.32, 1079.00, 1000.22, 19.02, 59.99
1.175, 1.34, 1079.00, 1000.22, 19.02, 59.99
1.211, 1.42, 1079.00, 1000.22, 19.02, 59.99
1.244, 1.26, 1079.00, 1000.22, 19.02, 59.99
1.275, 0.78, 1079.00, 1000.22, 19.02, 59.99
1.313, 0.48, 1079.00, 1000.22, 19.02, 59.99
1.344, 0.78, 1079.00, 1000.22, 19.02, 59.99
1.376, 1.77, 1079.00, 1000.22, 19.02, 59.99
1.412, 3.40, 1079.00, 1000.22, 19.02, 59.99
1.441, 5.77, 1079.00, 1000.22, 19.02, 59.99
1.474, 7.13, 1079.00, 1000.22, 19.02, 59.99
1.513, 8.09, 1079.00, 1000.22, 19.02, 59.99
1.546, 9.09, 1079.00, 1000.22, 19.02, 59.99
1.579, 9.56, 1079.00, 1000.22, 19.02, 59.99
1.612, 9.83, 1079.00, 1000.22, 19.02, 59.99
1.645, 9.92, 1079.00, 1000.22, 19.02, 59.99
1.676, 9.94, 1079.00, 1000.22, 19.02, 59.99
1.712, 9.90, 908.00, 954.11, 19.05, 62.89
1.748, 9.78, 908.00, 954.11, 19.05, 62.89
1.780, 9.56, 908.00, 954.11, 19.05, 62.89
1.812, 9.17, 908.00, 954.11, 19.05, 62.89
1.850, 8.65, 908.00, 954.11, 19.05, 62.89
1.882, 8.04, 908.00, 954.11, 19.05, 62.89
1.914, 7.37, 908.00, 954.11, 19.05, 62.89
1.947, 6.48, 908.00, 954.11, 19.05, 62.89
1.980, 5.08, 908.00, 954.11, 19.05, 62.89
2.011, 2.90, 908.00, 954.11, 19.05, 62.89
2.047, 1.31, 908.00, 954.11, 19.05, 62.89
2.079, 1.29, 908.00, 954.11, 19.05, 62.89
2.113, 1.40, 908.00, 954.11, 19.05, 62.89
2.146, 1.22, 908.00, 954.11, 19.05, 62.89
2.174, 1.07, 908.00, 954.11, 19.05, 62.89
2.214, 1.05, 908.00, 954.11, 19.05, 62.89
2.246, 0.84, 908.00, 954.11, 19.05, 62.89
2.281, 0.51, 908.00, 954.11, 19.05, 62.89
2.313, 0.67, 908.00, 954.11, 19.05, 62.89
2.346, 1.40, 908.00, 954.11, 19.05, 62.89
2.381, 2.75, 908.00, 954.11, 19.05, 62.89
2.414, 4.62, 908.00, 954.11, 19.05, 62.89
2.446, 6.88, 908.00, 954.11, 19.05, 62.89
2.478, 7.93, 908.00, 954.11, 19.05, 62.89
2.512, 8.94, 908.00, 954.11, 19.05, 62.89
2.551, 9.59, 908.00, 954.11, 19.05, 62.89
2.582, 9.87, 908.00, 954.11, 19.05, 62.89
2.614, 9.93, 908.00, 954.11, 19.05, 62.89
2.645, 9.92, 953.00, 953.56, 14.51, 62.92
2.679, 9.78, 953.00, 953.56, 14.51, 62.92
2.713, 9.57, 953.00, 953.56, 14.51, 62.92
2.750, 9.20, 953.00, 953.56, 14.51, 62.92
2.783, 8.76, 953.00, 953.56, 14.51, 62.92
2.814, 8.21, 953.00, 953.56, 14.51, 62.92
2.846, 7.55, 953.00, 953.56, 14.51, 62.92
2.877, 6.86, 953.00, 953.56, 14.51, 62.92
2.911, 5.88, 953.00, 953.56, 14.51, 62.92
2.955, 4.25, 953.00, 953.56, 14.51, 62.92
2.987, 1.80, 953.00, 953.56, 14.51, 62.92
3.019, 1.51, 953.00, 953.56, 14.51, 62.92
3.044, 1.37, 953.00, 953.56, 14.51, 62.92
3.078, 1.21, 953.00, 953.56, 14.51, 62.92
3.113, 1.10, 953.00, 953.56, 14.51, 62.92
3.141, 1.06, 953.00, 953.56, 14.51, 62.92
3.177, 1.08, 953.00, 953.56, 14.51, 62.92
3.213, 1.03, 953.00, 953.56, 14.51, 62.92
3.258, 0.67, 953.00, 953.56, 14.51, 62.92
3.288, 0.44, 953.00, 953.56, 14.51, 62.92
3.321, 0.63, 953.00, 953.56, 14.51, 62.92
3.349, 1.31, 953.00, 953.56, 14.51, 62.92
3.386, 2.50, 953.00, 953.56, 14.51, 62.92
3.420, 3.99, 953.00, 953.56, 14.51, 62.92
3.454, 5.90, 953.00, 953.56, 14.51, 62.92
3.483, 7.82, 953.00, 953.56, 14.51, 62.92
3.516, 9.21, 953.00, 953.56, 14.51, 62.92
3.543, 9.57, 953.00, 953.56, 14.51, 62.92
3.582, 9.57, 953.00, 953.56, 14.51, 62.92
3.617, 9.75, 953.00, 953.56, 14.51, 62.92
3.650, 9.88, 953.00, 953.56, 14.51, 62.92
3.682, 9.89, 953.00, 953.56, 14.51, 62.92
3.714, 9.70, 1043.00, 998.28, 6.05, 60.10
3.751, 9.28, 1043.00, 998.28, 6.05, 60.10
3.786, 8.61, 1043.00, 998.28, 6.05, 60.10
3.817, 7.80, 1043.00, 998.28, 6.05, 60.10
3.849, 6.91, 1043.00, 998.28, 6.05, 60.10
3.884, 6.09, 1043.00, 998.28, 6.05, 60.10
3.918, 4.96, 1043.00, 998.28, 6.05, 60.10
3.949, 3.40, 1043.00, 998.28, 6.05, 60.10
3.981, 1.03, 1043.00, 998.28, 6.05, 60.10
4.017, 0.85, 1043.00, 998.28, 6.05, 60.10
4.048, 0.75, 1043.00, 998.28, 6.05, 60.10
4.086, 0.73, 1043.00, 998.28, 6.05, 60.10
4.118, 0.83, 1043.00, 998.28, 6.05, 60.10
