経過時間_秒, Green, SinWave
0.000, 8.23, 6.32
0.038, 7.86, 5.30
0.069, 7.37, 4.46
0.101, 6.75, 3.62
0.133, 5.99, 2.83
0.162, 5.04, 2.19
0.195, 3.58, 1.27
0.232, 1.70, 0.58
0.269, 1.48, 0.76
0.296, 0.99, 1.44
0.327, 0.54, 2.68
0.358, 0.66, 4.26
0.403, 1.45, 6.70
0.435, 2.86, 8.20
0.465, 4.91, 8.85
0.502, 6.97, 9.35
0.531, 8.13, 9.61
0.568, 9.23, 9.75
0.609, 9.67, 9.65
0.642, 9.49, 9.38
0.674, 8.98, 8.96
0.714, 8.36, 11.00
0.744, 7.83, 7.08
0.773, 7.39, 6.29
0.805, 7.03, 5.37
0.832, 6.74, 4.58
0.864, 6.45, 3.67
0.904, 6.16, 2.62
0.938, 5.86, 1.84
0.971, 5.35, 0.94
1.002, 4.33, 0.52
1.034, 2.37, 0.58
1.068, 0.84, 1.18
1.100, 0.56, 2.19
1.140, 0.88, 3.87
1.164, 2.09, 5.00
1.205, 4.47, 6.91
1.239, 5.70, 8.25
1.277, 6.54, 8.98
1.309, 7.42, 9.40
1.340, 8.45, 9.63
1.372, 9.39, 9.68
1.407, 9.80, 9.53
1.434, 9.80, 9.26
1.478, 9.62, 8.56
1.504, 9.38, 8.02
1.548, 9.16, 4.74
1.580, 8.98, 3.84
1.613, 8.77, 2.89
1.644, 8.46, 2.09
1.676, 8.09, 1.22
1.708, 7.60, 0.67
1.740, 6.96, 0.59
1.771, 5.89, 0.97
1.803, 4.13, 1.79
1.834, 1.60, 2.92
1.866, 1.28, 4.32
1.899, 0.61, 5.86
1.941, 0.50, 7.69
1.966, 1.01, 8.55
2.003, 2.27, 9.24
2.034, 4.19, 9.62
2.066, 6.43, 9.81
2.108, 7.81, 9.72
2.135, 9.03, 9.47
2.175, 9.63, 8.83
2.208, 9.62, 8.09
2.243, 9.18, 7.15
2.278, 8.57, 6.98
2.309, 7.87, 6.71
2.343, 7.17, 5.68
2.375, 6.40, 4.68
2.403, 5.49, 3.82
2.438, 4.35, 2.80
2.471, 2.92, 1.97
2.502, 2.29, 1.18
2.536, 1.94, 0.62
2.567, 1.69, 0.48
2.603, 1.41, 0.78
2.637, 1.00, 1.48
2.672, 0.49, 2.57
2.698, 0.39, 3.55
2.739, 0.76, 5.24
2.772, 1.62, 6.60
2.804, 2.83, 7.78
2.838, 4.31, 8.67
2.870, 5.76, 9.20
2.903, 6.94, 9.54
2.942, 7.76, 9.64
2.977, 8.05, 9.46
3.005, 8.20, 9.14
3.035, 8.42, 8.62
3.071, 7.87, 7.76
3.121, 7.40, 6.39
3.156, 7.03, 6.50
3.182, 6.57, 3.63
3.209, 6.00, 2.99
3.238, 5.28, 2.34
3.266, 4.43, 1.78
3.306, 3.36, 0.79
3.344, 1.51, 0.39
3.376, 1.43, 0.67
3.404, 0.80, 1.36
3.440, 0.49, 2.72
3.476, 0.83, 4.38
3.508, 1.95, 5.87
3.546, 3.74, 7.30
3.577, 6.12, 7.78
3.606, 7.05, 8.11
3.639, 8.15, 8.35
3.678, 9.23, 8.42
3.707, 9.72, 8.32
3.740, 9.69, 8.04
3.779, 9.38, 7.54
3.814, 8.95, 5.26
3.846, 8.53, 9.27
3.876, 8.16, 8.81
3.901, 7.79, 8.33
3.941, 7.41, 7.38
3.968, 6.97, 6.65
4.011, 6.44, 5.41
4.040, 5.78, 4.55
4.073, 4.76, 3.60
4.098, 3.03, 2.92
4.139, 1.46, 1.94
4.175, 1.06, 1.05
4.208, 0.61, 0.57
4.240, 0.69, 0.49
4.278, 1.43, 0.91
4.309, 2.81, 1.61
4.342, 4.80, 2.67
4.375, 7.09, 3.95
4.410, 8.36, 5.41
4.443, 9.35, 6.76
4.478, 9.62, 8.03
4.512, 9.33, 8.84
4.544, 8.80, 9.31
4.580, 8.22, 4.67
4.612, 7.73, 2.92
4.644, 7.31, 2.02
4.676, 6.86, 1.11
4.714, 6.29, 0.61
4.742, 5.52, 0.72
4.781, 4.55, 1.54
4.815, 3.45, 2.77
4.848, 1.84, 4.28
4.879, 1.56, 5.79
4.911, 1.19, 7.27
4.947, 0.56, 8.53
4.977, 0.43, 9.11
5.008, 0.94, 9.49
5.044, 2.16, 9.61
5.070, 4.02, 9.49
5.109, 6.47, 8.97
5.147, 7.55, 8.12
5.177, 8.65, 7.27
5.210, 9.43, 6.20
5.241, 9.52, 5.13
5.279, 9.13, 3.79
5.315, 8.44, 2.68
5.350, 7.66, 8.44
5.381, 6.96, 5.40
5.412, 6.26, 4.45
5.442, 5.60, 3.56
5.481, 4.91, 2.48
5.513, 4.09, 1.71
5.548, 3.19, 0.75
5.584, 2.16, 0.40
5.614, 1.32, 0.65
5.647, 1.15, 1.44
5.673, 0.91, 2.39
5.711, 0.46, 4.13
5.744, 0.40, 5.77
5.778, 0.86, 7.34
5.814, 1.84, 8.49
5.844, 3.35, 9.00
5.869, 5.38, 9.31
5.909, 7.58, 9.54
5.943, 8.63, 9.47
5.983, 9.43, 9.10
6.015, 9.72, 8.59
6.043, 9.63, 7.98
6.078, 9.36, 7.12
6.119, 9.07, 5.29
6.151, 8.78, 5.46
6.182, 8.52, 4.55
6.220, 8.20, 3.45
6.248, 7.79, 2.69
6.281, 7.36, 1.90
6.312, 6.89, 0.93
6.350, 6.38, 0.30
6.387, 5.54, 0.69
6.418, 4.04, 1.73
6.450, 1.72, 3.31
6.483, 0.78, 5.22
6.514, 1.99, 6.99
6.548, 4.38, 8.46
6.587, 5.55, 9.14
6.613, 6.49, 9.46
6.652, 7.42, 9.71
6.684, 8.35, 9.70
6.721, 9.30, 9.46
6.748, 9.68, 9.13
6.784, 9.62, 8.51
6.816, 9.32, 7.81
6.853, 9.00, 8.17
6.886, 8.75, 8.08
6.919, 8.55, 7.32
6.947, 8.36, 6.60
6.979, 8.13, 5.73
7.017, 7.82, 4.67
7.050, 7.45, 3.77
7.081, 6.96, 2.99
7.117, 6.26, 2.18
7.149, 4.95, 1.31
7.182, 2.48, 0.80
7.215, 0.85, 0.84
7.253, 0.60, 1.57
7.284, 1.15, 2.62
7.315, 2.78, 3.96
7.349, 5.18, 5.58
7.388, 6.12, 7.37
7.419, 7.17, 8.47
7.452, 8.28, 9.03
7.486, 9.25, 9.44
7.519, 9.72, 9.65
7.551, 9.74, 9.68
7.588, 9.50, 9.49
7.619, 9.17, 9.16
7.657, 8.91, 7.35
7.690, 8.64, 3.61
7.721, 8.37, 2.69
7.753, 8.01, 1.87
7.784, 7.49, 1.00
7.820, 6.87, 0.56
7.853, 6.15, 0.75
7.884, 5.07, 1.41
7.918, 3.38, 2.60
7.950, 1.40, 4.03
7.986, 0.85, 5.78
8.022, 0.53, 7.44
8.049, 0.86, 8.45
8.091, 1.99, 9.25
8.119, 3.77, 9.59
8.151, 6.18, 9.75
8.182, 7.23, 9.68
8.217, 8.32, 9.34
8.254, 9.31, 8.71
8.285, 9.68, 7.98
8.318, 9.59, 7.05
8.350, 9.24, 6.06
8.395, 8.80, 7.50
8.424, 8.38, 6.52
8.455, 7.92, 5.59
8.488, 7.38, 4.58
8.526, 6.69, 3.45
8.557, 5.86, 2.60
8.593, 4.91, 1.70
8.625, 3.93, 0.89
8.656, 2.47, 0.54
8.690, 1.33, 0.67
8.722, 1.08, 1.28
8.753, 0.64, 2.26
8.784, 0.46, 3.52
8.819, 0.75, 5.13
8.855, 1.62, 6.78
8.890, 3.01, 8.17
8.923, 4.87, 8.90
8.959, 6.83, 9.41
8.999, 8.61, 9.69
9.028, 9.49, 9.69
9.057, 9.57, 9.51
9.085, 9.10, 9.19
