経過時間_秒, Green, IBI, Smoothed_IBI, bpmSD, Smoothed_BPM
0.000, 8.23, 794.00, 788.81, 12.44, 76.06
0.038, 7.86, 794.00, 788.81, 12.44, 76.06
0.069, 7.37, 794.00, 788.81, 12.44, 76.06
0.101, 6.75, 794.00, 788.81, 12.44, 76.06
0.133, 5.99, 794.00, 788.81, 12.44, 76.06
0.162, 5.04, 794.00, 788.81, 12.44, 76.06
0.195, 3.58, 794.00, 788.81, 12.44, 76.06
0.232, 1.70, 794.00, 788.81, 12.44, 76.06
0.269, 1.48, 794.00, 788.81, 12.44, 76.06
0.296, 0.99, 794.00, 788.81, 12.44, 76.06
0.327, 0.54, 794.00, 788.81, 12.44, 76.06
0.358, 0.66, 794.00, 788.81, 12.44, 76.06
0.403, 1.45, 794.00, 788.81, 12.44, 76.06
0.435, 2.86, 794.00, 788.81, 12.44, 76.06
0.465, 4.91, 794.00, 788.81, 12.44, 76.06
0.502, 6.97, 794.00, 788.81, 12.44, 76.06
0.531, 8.13, 794.00, 788.81, 12.44, 76.06
0.568, 9.23, 794.00, 788.81, 12.44, 76.06
0.609, 9.67, 794.00, 788.81, 12.44, 76.06
0.642, 9.49, 769.00, 778.91, 12.43, 77.03
0.674, 8.98, 769.00, 778.91, 12.43, 77.03
0.714, 8.36, 769.00, 778.91, 12.43, 77.03
0.744, 7.83, 769.00, 778.91, 12.43, 77.03
0.773, 7.39, 769.00, 778.91, 12.43, 77.03
0.805, 7.03, 769.00, 778.91, 12.43, 77.03
0.832, 6.74, 769.00, 778.91, 12.43, 77.03
0.864, 6.45, 769.00, 778.91, 12.43, 77.03
0.904, 6.16, 769.00, 778.91, 12.43, 77.03
0.938, 5.86, 769.00, 778.91, 12.43, 77.03
0.971, 5.35, 769.00, 778.91, 12.43, 77.03
1.002, 4.33, 769.00, 778.91, 12.43, 77.03
1.034, 2.37, 769.00, 778.91, 12.43, 77.03
1.068, 0.84, 769.00, 778.91, 12.43, 77.03
1.100, 0.56, 769.00, 778.91, 12.43, 77.03
